"","rab.all","rab.win.Control","rab.win.Treatment ","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
" c__Thermoplasmata",5.34793499181768,5.68124652733859,5.06261273822243,-0.869576342376909,5.0340924219402,-0.143612797742961,0.409646742722676,0.22812864310329,0.570323392701735,0.304184291400912,0.622520601161372
" g__Group_1.1c",5.26958311143424,5.94995530126904,4.77630725145134,-1.0462325024776,2.32723858423379,-0.332060212022736,0.30502718275627,0.0827879906346831,0.351947301771934,0.0296201551596603,0.186394043578094
" g__Nitrosotaleaceae",-0.801435060617179,-0.479139539064035,-1.05848697359312,-0.474286694036585,4.72820683803063,-0.0982137511621584,0.451766306220292,0.549642342017359,0.790225384153019,0.562911627672412,0.773048380366974
" f__Neisseriaceae",-0.694902947648567,-0.642343721520775,-0.789978513440053,-0.261244243862492,5.01641309113672,-0.0474579725478484,0.476578412306832,0.550678332502571,0.797363861763227,0.587765739930007,0.79479870835374
" g__Uliginosibacterium",-1.81412523227751,-1.65236396565386,-1.94981978878763,-0.308224911003223,4.26998227072075,-0.0611445092813737,0.468431773111395,0.482309499699027,0.735335566897291,0.488737894093759,0.714133460840804
" g__Collimonas",-1.67751255983751,-1.45524379337478,-1.95679297619294,-0.317574266200908,5.21736322051178,-0.0483995861752503,0.469110659710947,0.553693915026133,0.796894836530124,0.543390759392368,0.756551984081734
" f__Oxalobacteraceae",4.57482769928155,5.11205527361746,4.11797058275216,-1.33944977530277,3.25371402661926,-0.340230431749138,0.31093008315077,0.116013393810359,0.410362358805938,0.0324871675107887,0.195658368601366
" g__Duganella",-1.70661740142291,-1.57828690270792,-1.83491957417692,-0.206727173074345,4.42784051571005,-0.0354345644318184,0.477257298906524,0.500713777362891,0.751847567162327,0.535920356141192,0.751464266186052
" g__Massilia",-1.49549699764784,-1.55506857994142,-1.44337939459502,0.305477061868628,4.53088738962538,0.0578704891134071,0.466395113312821,0.53482393682338,0.77093674704386,0.52834295035589,0.741538629797419
" g__Ellin6067",-0.771201342230885,-1.57770259601442,0.749069131976148,2.78814843675547,4.9978901315073,0.4927945861479,0.29619566157387,0.0788573948710922,0.252335919730992,0.0601597084988681,0.197054377261266
" f__Nitrosomonadaceae",-1.31967132930168,-1.66224403840272,-0.920785865347097,0.911752232135303,4.45664820498087,0.158352716363551,0.417798916292707,0.419474749262437,0.68035095442608,0.396124950927481,0.618116988423651
" g__GOUTA6",-1.51845010198327,-1.56983777719892,-1.45873362398545,0.187081207664628,4.38935512325772,0.0354855821476713,0.482009505104624,0.495981210369739,0.75287753481949,0.526234327619314,0.746511197497484
" g__A21b",-1.39377974162803,-1.06761300001086,-1.67889041155548,-0.704374464075626,4.9522283641442,-0.122920640942813,0.437202989551668,0.481052760471181,0.721813061758169,0.476291403538225,0.689762259918552
