"","Intercept::Est","Intercept::SE","Intercept::t.val","Intercept::pval","TreatmentTreatment :Est","TreatmentTreatment :SE","TreatmentTreatment :t.val","TreatmentTreatment :pval","Time_PointSummer:Est","Time_PointSummer:SE","Time_PointSummer:t.val","Time_PointSummer:pval","TreatmentTreatment :Time_PointSummer:Est","TreatmentTreatment :Time_PointSummer:SE","TreatmentTreatment :Time_PointSummer:t.val","TreatmentTreatment :Time_PointSummer:pval","Intercept::pval.holm","TreatmentTreatment :pval.holm","Time_PointSummer:pval.holm","TreatmentTreatment :Time_PointSummer:pval.holm"
" c__Thermoplasmata",4.10920503186475,1.30666106031614,3.20334808009495,0.00729381746035183,-0.906467772490892,1.84789779292389,-0.487644271805063,0.626583369638351,1.47435340219263,1.73802168505922,0.851414727525479,0.417892820274493,-1.05065836259055,2.42204966684148,-0.440541883976732,0.652376558871295,0.642261396023122,1,1,1
" g__Group_1.1c",5.28835216349571,0.79334365378574,6.8753848751522,8.41762017458248e-05,-1.40463443713668,1.12195735480642,-1.28002951490701,0.239639379483967,0.47007464070696,1.05524570667938,0.435378161479994,0.671671206586192,0.139747687809667,1.4705555944842,0.108432869522115,0.787788922511446,0.00972714508936901,1,1,1
" g__Nitrosotaleaceae",-1.62847406007685,1.08731701499745,-1.47983022694732,0.249942356488493,0.757855279660982,1.53769846920842,0.494386122483357,0.534600003917588,1.23465133141316,1.44626683077416,0.860129554862291,0.429559722346312,-2.34314589795201,2.01546972960875,-1.17496597227812,0.34237829344488,0.983628739038822,1,0.996561881009886,0.993726125814457
" f__Neisseriaceae",-0.864857845213239,1.13526625300058,-0.718816751717448,0.485425990698511,0.242614478146348,1.60550893189791,0.129663427696067,0.537566497782542,-0.34915224451608,1.51004527949548,-0.257450003848937,0.548553522649434,-0.898998603548577,2.10434927110415,-0.421731940792709,0.530454631344434,1,1,1,1
" g__Uliginosibacterium",-2.21364358222165,1.01772320461381,-2.1818950819471,0.115819359254201,0.0353418828896549,1.43927795870666,0.0255619405731361,0.47618082922886,-0.0376190641712538,1.35369840942441,-0.0292755251930144,0.49085490039967,-0.56812758366154,1.8864694323066,-0.30988123857924,0.494871258573521,0.876944361417298,1,1,1
" g__Collimonas",-2.03718466970866,1.18188222664118,-1.7242665576606,0.180372664948888,-0.863879262817269,1.67143387404367,-0.514428294129339,0.507522990303023,0.305638727739853,1.57205032083184,0.191854086671164,0.566286099028077,0.809595958892892,2.19075745058903,0.3743127884243,0.532080440307938,0.96992016383422,1,1,1
" f__Oxalobacteraceae",4.54641944764173,0.916815562890099,5.11582064348534,0.000375531787138711,-1.36329108021392,1.2965730032339,-1.06713162523563,0.328232959050091,0.578022574216262,1.21947869872027,0.48806456859782,0.627076906122086,0.119067473816103,1.69942527262257,0.0604367358259587,0.737982663427714,0.0684687176271435,1,1,1
" g__Duganella",-2.26593503199341,1.03299747628046,-2.21335513905374,0.0974859411111842,0.448630435921797,1.46087904085301,0.320355613177179,0.544115412911553,-0.182607220223911,1.3740150899978,-0.134565399234164,0.505063779601503,-1.00297610615352,1.91478208791793,-0.547379723610936,0.500881289563363,0.891709932348204,1,1,1
" g__Massilia",-2.3413946252484,1.06549644018025,-2.20745872430011,0.0891295370136777,0.646765673053436,1.50683951636316,0.440771472033847,0.514774153639405,0.153619254754923,1.41724275302016,0.111136162293732,0.493919805614914,-0.559823065028805,1.97502273262431,-0.294226520294093,0.526359602707018,0.902237332900455,1,0.998361279331556,0.999188145559548
" g__Ellin6067",-2.15697816208809,1.16655774050877,-1.83560195108699,0.16961034695315,1.32652013017963,1.64976177791882,0.804946275363799,0.45066933315918,-0.110298319489508,1.55166684877515,-0.0929507887458594,0.50765260214749,1.85648125982696,2.16235171657064,0.894983595011574,0.38640830388992,0.940312284581936,0.99173050739716,1,0.99700416125153
" f__Nitrosomonadaceae",-2.25695854858953,1.05654647964215,-2.13229516668743,0.110682659456405,0.513838021672988,1.49418236078747,0.344790748855658,0.508925123978113,-0.200386564230922,1.40533819263486,-0.147926161534696,0.531985178483168,0.788963060383606,1.95843293011323,0.41312188128548,0.500178022329474,0.918704585903561,1,1,1
