"","rab.all","rab.win.Control","rab.win.Treatment ","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
" c__Thermoplasmata",2.10160966631905,2.35588328471034,1.50338350295022,-0.527298579001222,5.68534578251037,-0.0885995777923871,0.454131426485372,0.634899538722087,0.851485077789108,0.568800184752327,0.808464394367868
" g__Marine_Group_II",-2.51181882565533,-2.84466915222919,-2.12828253138998,0.547179993086117,4.50435751379947,0.0983614136783063,0.444010418669403,0.45899252949302,0.717248575161763,0.453770497089873,0.689777477983362
" g__Bathyarchaeia",-2.60797616543376,-2.70373288521466,-2.53945617361517,-0.0261676200172785,4.67178409721357,-0.00511188666562785,0.498046875068988,0.549922117893956,0.796417061762699,0.573282492452235,0.78701346803174
" g__Group_1.1c",5.99361941701685,6.10916777030587,5.68939184385687,-0.461413256908899,2.13998395381956,-0.169692089855201,0.404684453716797,0.127324271708638,0.502277911769955,0.254190722714566,0.611570869554895
" g__Nitrososphaeraceae",-2.59014037863998,-2.88318237525001,-2.22041032552759,0.619091871070585,4.56402296639055,0.108418966310176,0.445673391659517,0.482097127661045,0.741897260182666,0.479221945466332,0.718082986312208
" g__Candidatus_Nitrosotalea",-2.23496263197125,-2.1994117817694,-2.27680330216492,-0.281907310777773,5.23364438091982,-0.0441892032632972,0.475911459186151,0.551414946442315,0.803048195546165,0.581494887210183,0.796668807908899
" g__Nitrosotaleaceae",4.03723934845276,4.23882445474363,3.92150146498934,-1.15217941550603,5.08760672576215,-0.200148063177806,0.389322920777334,0.205287639626289,0.569583745623642,0.176360262786357,0.520736352654363
" g__SCGC_AAA011-D5",-2.27447844844145,-2.28226269582594,-2.26919693554587,0.0992327358592737,4.70066614222938,0.0169554725972599,0.490566038068754,0.500280847310131,0.769951996340266,0.5435253617643,0.778419262818759
" f__Neisseriaceae",-2.49854333184987,-3.11802511375658,-1.77978270874654,1.37171386890577,4.56202403580315,0.2538323398799,0.37865973128858,0.265989374773249,0.53615332382979,0.223134144491109,0.458563024503289
" g__Sideroxydans",-2.65610886691288,-2.88698688898626,-2.36341413392004,0.397229702841621,4.7773436017317,0.0765176909482843,0.461588543031463,0.52237155159241,0.773420483727377,0.487015024384826,0.721242110920681
" g__Collimonas",-2.47661100221211,-2.92007481431448,-1.99396408232527,1.19996587487669,4.84275722853821,0.225648509437238,0.399479509225499,0.366817742411095,0.644274440321071,0.346314573476426,0.59322956689352
