"","Intercept::Est","Intercept::SE","Intercept::t.val","Intercept::pval","TreatmentTreatment :Est","TreatmentTreatment :SE","TreatmentTreatment :t.val","TreatmentTreatment :pval","Time_PointSummer:Est","Time_PointSummer:SE","Time_PointSummer:t.val","Time_PointSummer:pval","TreatmentTreatment :Time_PointSummer:Est","TreatmentTreatment :Time_PointSummer:SE","TreatmentTreatment :Time_PointSummer:t.val","TreatmentTreatment :Time_PointSummer:pval","Intercept::pval.holm","TreatmentTreatment :pval.holm","Time_PointSummer:pval.holm","TreatmentTreatment :Time_PointSummer:pval.holm"
" c__Thermoplasmata",1.09763384995209,1.2628722465376,0.918683283513241,0.409954910730233,-0.442449389900517,1.78597105859806,-0.260250883768291,0.701359699571169,-0.27433301876274,1.63036105974256,-0.174522663656305,0.689840848534434,0.24040133069339,2.32208945406544,0.106455913264851,0.711122846221892,1,1,1,1
" g__Marine_Group_II",-3.16199879646101,1.07362287549983,-2.97517277907626,0.0255290574076547,0.682861758669718,1.51833203140586,0.446058752218724,0.500557761545635,-0.2336831233621,1.38604117230605,-0.184448636667639,0.513435981389206,-0.316742636298868,1.97410970403119,-0.140541059123149,0.504993291698534,0.640357916785418,0.999349235031702,1,1
" g__Bathyarchaeia",-2.27424193807562,1.03683916619629,-2.22238079904751,0.0878567950293647,-0.671296665345485,1.46631201083441,-0.450678322838247,0.487964422519503,-1.29421713020877,1.33855360779128,-0.988999099017386,0.397249574758191,1.10296267063111,1.90647415048306,0.580817826298524,0.474082792105352,0.876940593497348,1,1,1
" g__Group_1.1c",6.49515566161762,0.64567227288455,10.5302682173555,2.53199095426846e-05,-1.67569376384475,0.913118485161593,-1.81143372341857,0.0815602775029219,-0.621904302444675,0.833559319996585,-0.779706118116138,0.446209015431092,1.23573706081342,1.1872212567489,1.00597404355131,0.32970717664779,0.00530895280488112,1,1,1
" g__Nitrososphaeraceae",-3.31025277548407,1.07930069848833,-3.1005204497462,0.0267945049067784,0.861951206026822,1.52636168568095,0.579317439645937,0.463609353731663,-0.06587063039431,1.39337121026511,-0.0482999220935539,0.51730451650055,-0.55049151542701,1.98454972511788,-0.290423961149597,0.51688654381516,0.592359067375045,0.992464598979932,0.99732194826134,0.99243743717622
" g__Candidatus_Nitrosotalea",-2.23618088565515,1.17780392416747,-1.8764464532232,0.117983918899236,-0.769665616332949,1.6656662833739,-0.493410617193314,0.507454237887442,-0.198545767552859,1.52053832779946,-0.147884267164708,0.609210209471591,0.800486238607598,2.16567121398431,0.394794374695592,0.528067021183783,0.960332517725425,1,1,1
" g__Nitrosotaleaceae",4.38234989129765,1.1923235784199,3.76407536879517,0.0040103233355087,-1.57078866681358,1.68620017533864,-0.939811214505098,0.388855997555203,-1.09136139149174,1.5392831208369,-0.737670862044638,0.474943035106582,0.0107539960794667,2.19236903405967,0.0102850814352485,0.735789175977961,0.2738881243812,1,1,1
" g__SCGC_AAA011-D5",-2.73404019328324,1.07371038171544,-2.55475779215078,0.0445405555655403,-0.316148820213353,1.51845578388277,-0.227089847194147,0.549535475651447,-0.207158880230457,1.38615414234464,-0.15605264722259,0.538570548699227,0.644163915001919,1.97427060491488,0.342296511342963,0.567838112788744,0.826941242791959,1,1,1
" f__Neisseriaceae",-3.56578522577708,1.0804396466754,-3.36345758844704,0.0166073071942512,1.51887058180334,1.52797240165394,1.0380722022771,0.372590336404012,-0.272187704612157,1.39484158605201,-0.184022729604867,0.456981770060311,-0.1634223368843,1.98664395086492,-0.101692943535741,0.549178174822283,0.496042803322009,0.996660117741643,0.998341980089608,1
" g__Sideroxydans",-3.80670445383084,1.13711116382439,-3.38911594134618,0.0112368794670599,0.849914872079691,1.6081180298063,0.549393120167472,0.515209777477495,0.695940184414628,1.4680042000928,0.496223924024249,0.48985918680402,-0.760244882139381,2.09084794511561,-0.383046449904146,0.538897858103671,0.493734323868389,1,0.993758752579678,1
