"","rab.all","rab.win.Control","rab.win.Treatment ","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
" c__Thermoplasmata",1.92078669563854,3.19137673431843,-0.260725632004605,-2.6398065873719,7.10920708138125,-0.365428676729116,0.325959668664314,0.115470970272227,0.189512051697341,0.0633608020759762,0.112476188284342
" g__Group_1.1c",3.91053397456217,4.78471940242058,3.05346499189624,-2.24602555018746,4.02585412971724,-0.520535951571366,0.218750014532174,0.00786537056760229,0.0204249740993723,0.000724244029989596,0.00238911128551199
" g__Nitrosotaleaceae",-2.0072242717059,-0.760126665789154,-2.95573670332116,-2.14794631545148,4.47915501281384,-0.407153890220457,0.29993494659394,0.115452870244528,0.168775019168499,0.0550204654487975,0.0905455073756366
" f__Neisseriaceae",0.405281055960663,2.67284742532786,-1.70633463827782,-3.8070321489926,5.10713596414472,-0.671840501783614,0.214843764927265,0.00673051377003369,0.0141648559059547,0.00136121033506775,0.00386951866000743
" g__Rhizobacter",-2.37879505622398,-1.94337564592329,-2.78950294295536,-0.741698565129902,4.45273051217101,-0.144806618616683,0.426154849767747,0.445210106391756,0.532700004046661,0.419347209104895,0.498794988053078
" g__Uliginosibacterium",-2.39035078750825,-1.91387542075793,-2.81236856078458,-0.829155627880949,4.40568733194022,-0.159882712978533,0.418619794619338,0.413340443880978,0.508018371062503,0.390349001754871,0.474165894946189
" g__Collimonas",-2.18247042503378,-1.7315774782234,-2.67376713970682,-0.972754561802581,4.42956382840292,-0.186607893854986,0.400390628663736,0.354130710542273,0.434172198829741,0.348138555740869,0.417815112753851
" f__Oxalobacteraceae",5.58998782932431,6.81738501327235,3.37805549090346,-3.52528450247906,3.88502866231927,-0.811934668687094,0.130208362165613,0.00058296580124408,0.00201888217580639,3.0186565073292e-06,2.37054203016559e-05
" g__Duganella",-2.21424034980682,-1.88040967197383,-2.53116053574651,-0.44209027159955,4.63351775641639,-0.0874920738121917,0.455432662612694,0.501433685467614,0.592259056923968,0.49808895985011,0.576901322734842
" g__Janthinobacterium",-2.39471166665049,-1.72431273755405,-2.99642662047187,-1.23525962829367,4.71855884973552,-0.246205522759926,0.377604171265413,0.246657143148595,0.323752520989725,0.22221218369205,0.291345338553984
" g__Massilia",-0.776100122292164,-1.87550377979833,1.11151969636352,2.85045575378689,4.78023995621163,0.514371576319733,0.270833343580381,0.050250009991741,0.0862691411321918,0.019143748369391,0.03669450631827
" g__Ellin6067",0.87609143801727,-2.00780537387372,5.24149734742227,7.14439598249325,3.83419203844617,1.73913713431455,0.0488282107800465,2.39772583602856e-07,2.70879244542952e-06,1.01601709792639e-08,2.36176484792358e-07
" f__Nitrosomonadaceae",-0.657235481049985,-1.80973957978018,2.46706823477993,3.6626538115974,4.98810258992288,0.642320666091347,0.238126232638452,0.0165817800561486,0.032439785591625,0.00421016852563821,0.0103817941525114
