"","Intercept::Est","Intercept::SE","Intercept::t.val","Intercept::pval","TreatmentTreatment :Est","TreatmentTreatment :SE","TreatmentTreatment :t.val","TreatmentTreatment :pval","Time_PointSummer:Est","Time_PointSummer:SE","Time_PointSummer:t.val","Time_PointSummer:pval","TreatmentTreatment :Time_PointSummer:Est","TreatmentTreatment :Time_PointSummer:SE","TreatmentTreatment :Time_PointSummer:t.val","TreatmentTreatment :Time_PointSummer:pval","Intercept::pval.holm","TreatmentTreatment :pval.holm","Time_PointSummer:pval.holm","TreatmentTreatment :Time_PointSummer:pval.holm"
" c__Thermoplasmata",3.53697843631289,1.50834183709312,2.38627391104301,0.0409771892116912,-1.69891981074666,2.13311748271184,-0.803297654495488,0.45270583758269,-2.10384754660397,1.97488304067085,-1.06948839931361,0.320739424973671,-1.20864821084328,2.77344338086642,-0.444525720988475,0.623981432605678,0.976521101157705,1,1,1
" g__Group_1.1c",4.81421683955091,1.01694872217901,4.84926628682517,0.000946732307766995,-1.92345351350244,1.43818267514354,-1.36742531407271,0.208192405896219,-0.588390572028505,1.33149842779255,-0.46250174841703,0.628573007497558,-1.73202368527084,1.86990086255481,-0.925101711784504,0.390942094700271,0.0787677993971354,1,1,1
" g__Nitrosotaleaceae",-1.27386956694117,1.04913276395441,-1.21007212752495,0.33180026875812,-1.62705315666203,1.4836977835143,-1.11558553851884,0.322556605898514,-0.0778831412954111,1.37363722996552,-0.0447266366940524,0.53759201230784,-1.03482992972955,1.9290788389501,-0.566870823162282,0.53517008447233,0.990666910604615,0.997789730661783,1,1
" f__Neisseriaceae",2.25952098412545,1.17486151575924,1.9903768660827,0.10687812928874,-3.01954098004252,1.66150508949693,-1.84832152082848,0.131618684350344,-1.10132708351859,1.53825480773065,-0.732647889537961,0.462152076154262,-1.20887251407285,2.16026089987451,-0.570684890392424,0.543173979012144,0.983256885470542,1,1,1
" g__Rhizobacter",-2.32397342912626,1.0590134684546,-2.19390964946083,0.0994839331254116,-0.71925039433883,1.49767120982427,-0.494190779332547,0.491458532935662,-0.451078199121493,1.38657410890599,-0.343430695124157,0.497063948039754,-0.0318504476604003,1.9472468522084,-0.0119708679134694,0.535251658421756,0.903086242184633,1,1,1
" g__Uliginosibacterium",-2.21003010966283,1.01612569862414,-2.19209289755073,0.116433379422594,-0.111371652081615,1.4370187440701,-0.0669599508584918,0.544045424920113,-0.478869321206495,1.33042083701001,-0.375074488246352,0.506637049830735,-1.15825810199041,1.86838753900016,-0.648365645090367,0.434608966225652,0.897226168420221,1,0.997133032083757,1
" g__Collimonas",-2.19618254269529,1.05514412623107,-2.09727021252137,0.110020052556799,-0.736238262212027,1.49219913357428,-0.484856771737256,0.542768604032449,0.169831814543254,1.38150795072626,0.139976327104967,0.522412825845153,-0.73897978026324,1.94013215094223,-0.408348540078243,0.51085189128534,0.92169724311594,1,1,1
" f__Oxalobacteraceae",5.50451057660823,1.02800776297138,5.44017159173277,4.4927462194553e-05,-1.64495484913848,1.45382252061896,-1.13894831890838,0.289886968010859,1.99736072676735,1.34597811109102,1.49600862792291,0.151430449076819,-4.03107356263446,1.89023552591167,-2.15304103169184,0.0523334619004819,0.0166504675107015,1,1,1
" g__Duganella",-2.25805014707376,1.06915482115302,-2.11163544092882,0.108037928582779,0.096060745205439,1.51201324835118,0.0517261769545612,0.545173585117356,-0.465400873978248,1.39985225644591,-0.345405528157771,0.47959606323381,-1.04768173260363,1.96589412885535,-0.530322689034742,0.480093171851624,0.901454152208407,1,1,0.995636966146116
" g__Janthinobacterium",-1.65432838100558,1.09864667621742,-1.47910237617642,0.253815221726944,-1.44473595372287,1.55372102976281,-0.960192028306438,0.429552313851764,-1.0630469304288,1.43846615879371,-0.786090050826978,0.435971142094482,0.194294572972443,2.02012188294025,0.109687363133597,0.518494670758475,0.998027474841376,0.991338650542819,0.999073359381672,1
