feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.c__Bacteroidia	Groups	Treatment 	0.0163071924068067	0.00356679001017991	48	18	3.63872775722229e-05	0.00658609724057234
X.f__Comamonadaceae	Groups	Treatment 	0.0218879097722836	0.00618249262694489	48	13	0.000927556755649362	0.0466829405169642
X.g__AKYH767	Groups	Treatment 	0.0134696670820944	0.00384361781688663	48	17	0.00103166719374506	0.0466829405169642
X.f__Microscillaceae	Groups	Treatment 	0.0499663714702839	0.0135920633906926	48	16	0.000617345449647747	0.0466829405169642
X.o__Chitinophagales	Groups	Treatment 	0.0137587216946949	0.00409822759418638	48	21	0.00158758018637776	0.0480256010380654
X.g__Rhodanobacter	Groups	Treatment 	0.0190655945731816	0.00568058014974637	48	22	0.00159200887419001	0.0480256010380654
X.f__Rhodospirillaceae	Groups	Treatment 	0.00705908021224153	0.00239615722144864	48	10	0.00503786816279999	0.0580566454225055
X.g__SM2D12	Groups	Treatment 	0.014444839024896	0.00491460512850609	48	34	0.00513207915337065	0.0580566454225055
X.f__Micropepsaceae	Groups	Treatment 	0.0288957753552963	0.0097488798871514	48	48	0.00479729891478485	0.0580566454225055
X.g__Devosia	Groups	Treatment 	0.0157015661773417	0.00533398659350894	48	9	0.00506962845951498	0.0580566454225055
X.g__Hirschia	Groups	Treatment 	0.0102868269327863	0.00330230387952226	48	8	0.00316325127462312	0.0580566454225055
X.f__Sandaracinaceae	Groups	Treatment 	0.00892763021963949	0.00291056393247265	48	8	0.00361233943972524	0.0580566454225055
X.f__Methylacidiphilaceae	Groups	Treatment 	0.0191021646392606	0.00592570497522643	48	47	0.00232972720805444	0.0580566454225055
X.f__Pedosphaeraceae	Groups	Treatment 	0.0243462427109296	0.00767554703218045	48	48	0.00269669167375439	0.0580566454225055
X.f__Chthoniobacteraceae	Groups	Treatment 	-0.00852237123128744	0.00282257748853611	48	10	0.00412347122948139	0.0580566454225055
X.g__Granulicella	Groups	Treatment 	0.030739807049665	0.00994109559220822	48	48	0.00337128277255239	0.0580566454225055
X.g__BIrii41	Groups	Treatment 	0.0135606352804268	0.00467306560511135	48	9	0.00567576698080594	0.0604302249132868
X.g__OLB12	Groups	Treatment 	0.00969886638541567	0.00337281161733335	48	8	0.00609041857366133	0.061242542324039
X.g__CPla.3_termite_group	Groups	Treatment 	0.012433731026591	0.00437158455426744	48	15	0.00662275952313482	0.0630904986151265
X.g__Ellin6067	Groups	Treatment 	0.0132441391602905	0.00501057536037939	48	9	0.0111899293450625	0.0981265194912869
X.f__Rhizobiales_Incertae_Sedis	Groups	Treatment 	0.00828570368238617	0.00314271754210923	48	7	0.0113848448028565	0.0981265194912869
X.g__env.OPS_17	Groups	Treatment 	0.0140865341274138	0.00538162788103004	48	18	0.0119481009656833	0.0983002852176673
X.g__Candidatus_Endonucleariobacter	Groups	Treatment 	-0.00359815600035432	0.00139477124930022	48	5	0.0131474439285274	0.103464667437542
X.g__Ferruginibacter	Groups	Treatment 	0.0365654794345377	0.014490736706679	48	19	0.0151426068571746	0.109632473645944
X.g__Escherichia.Shigella	Groups	Treatment 	-0.00419381122748701	0.00165695492759611	48	5	0.0148560211230595	0.109632473645944
X.g__Kapabacteriales	Groups	Treatment 	0.0127107253090341	0.00507291425962332	48	17	0.0158260839265082	0.110173891949922
X.g__Reyranella	Groups	Treatment 	0.0146701975153744	0.00599864687888632	48	20	0.0183477946259854	0.119384540935718
X.g__Terrimonas	Groups	Treatment 	0.00916339718372202	0.00375102201672633	48	7	0.0184683267745862	0.119384540935718
X.f__Magnetospirillaceae	Groups	Treatment 	0.00545070415970916	0.00229234800792994	48	8	0.0216289667049662	0.120100661272942
X.g__Haliangium	Groups	Treatment 	0.0147239534214592	0.00616401886139078	48	14	0.0210676047924675	0.120100661272942
X.g__Vicinamibacteraceae	Groups	Treatment 	0.00684888637022222	0.00288657909641053	48	6	0.021896805646448	0.120100661272942
X.g__Edaphobaculum	Groups	Treatment 	0.0129127750918028	0.00539871922375951	48	43	0.0209091076276951	0.120100661272942
X.f__Saprospiraceae	Groups	Treatment 	0.00959594808366796	0.00403522462969873	48	7	0.0216152571370667	0.120100661272942
X.g__RCP2.54	Groups	Treatment 	-0.0438386779023694	0.0185877502648153	48	48	0.0226554666395132	0.120607042992702
X.g__Rhodovastum	Groups	Treatment 	0.00446577549454814	0.00191742199528434	48	5	0.0243034695276116	0.123550777877361
X.f__Devosiaceae	Groups	Treatment 	0.00678291281623355	0.00304275880635028	48	5	0.0307256181660958	0.123550777877361
X.g__Conexibacter	Groups	Treatment 	0.00901341239399294	0.00390242854177959	48	18	0.0254456489011072	0.123550777877361
X.g__Anaeromyxobacter	Groups	Treatment 	0.00501192891015769	0.0022269629541051	48	8	0.0292366802985679	0.123550777877361
X.g__possible_genus_04	Groups	Treatment 	0.00606958250552451	0.00266782792057183	48	5	0.0276064047018823	0.123550777877361
X.g__A4b	Groups	Treatment 	0.0203124600312386	0.00892576022044479	48	10	0.0275669682975528	0.123550777877361
X.g__Pedosphaeraceae	Groups	Treatment 	0.0139677877902561	0.00625640891225188	48	37	0.0304872410364172	0.123550777877361
X.g__Lacunisphaera	Groups	Treatment 	0.0118721650542353	0.00516179315783632	48	9	0.0260348902302647	0.123550777877361
X.g__Opitutus	Groups	Treatment 	0.00739905682974965	0.00333317019754357	48	8	0.031399645206401	0.123550777877361
X.f__Pirellulaceae	Groups	Treatment 	0.0119796269307006	0.00538402702741446	48	45	0.0310237097184482	0.123550777877361
X.g__JGI_0001001.H03	Groups	Treatment 	0.00447704275679963	0.00192757936839249	48	5	0.0246775106974926	0.123550777877361
X.g__R7C24	Groups	Treatment 	0.0174394777243176	0.00779028064805005	48	10	0.0300610291537007	0.123550777877361
X.f__Diplorickettsiaceae	Groups	Treatment 	-0.0124804976420223	0.00568328763755793	48	45	0.0331723909713751	0.123899370236585
X.g__Asticcacaulis	Groups	Treatment 	0.00454838874545983	0.00206899731660693	48	5	0.0329933540487536	0.123899370236585
X.f__Microbacteriaceae	Groups	Treatment 	0.00516750127472525	0.00235832248056537	48	5	0.033541818461838	0.123899370236585
X.o__Acidobacteriales	Groups	Treatment 	-0.0431019994641912	0.0200220740495462	48	48	0.0366194830650091	0.129963263426797
X.f__Spirosomaceae	Groups	Treatment 	0.0046950643424284	0.00217350190608502	48	5	0.0360074206905658	0.129963263426797
X.g__Pseudorhodobacter	Groups	Treatment 	0.00627741905272011	0.00293609042337962	48	5	0.0378605111216278	0.131783702173358
X.g__37.13	Groups	Treatment 	0.0105228229572705	0.00503659920382894	48	38	0.0422428367776965	0.144263272769115
X.g__Heliimonas	Groups	Treatment 	0.0103183420892736	0.00496409431117448	48	6	0.0432597756312023	0.145000359060141
X.g__Sphingomonas	Groups	Treatment 	0.00852555579577513	0.00418015582372297	48	6	0.0471649327401975	0.152443800463853
X.g__Bdellovibrio	Groups	Treatment 	0.00758982580258634	0.00371359342269617	48	26	0.0467241790790739	0.152443800463853
X.g__Candidatus_Solibacter	Groups	Treatment 	-0.0141900724895219	0.00704504146394629	48	48	0.0498585690465486	0.158322824516233
X.g__Nevskia	Groups	Treatment 	0.0076569931735798	0.00382193335850432	48	18	0.0510419854963242	0.159286196117839
X.g__Group_1.1c	Groups	Treatment 	-0.0116261573011227	0.00592211229219108	48	36	0.0556881784404722	0.16257355318912
X.g__Bauldia	Groups	Treatment 	0.00704451738045005	0.00358381483369554	48	6	0.0553929396124018	0.16257355318912
X.g__A0839	Groups	Treatment 	0.00945674931171915	0.0048151040449069	48	6	0.0555925764366823	0.16257355318912
X.g__Mucilaginibacter	Groups	Treatment 	0.0130163599404786	0.00655966669089362	48	17	0.0532066124273494	0.16257355318912
X.g__Pseudolabrys	Groups	Treatment 	0.00957579221615317	0.00496010255138915	48	5	0.059714807051213	0.171561588512215
X.f__Acetobacteraceae	Groups	Treatment 	0.0166677651727229	0.00881348204777781	48	48	0.0649090759979245	0.18357098055663
X.g__Dongia	Groups	Treatment 	0.00644349164349405	0.00346054776400403	48	5	0.0690003690772651	0.192139489276692
X.c__Gammaproteobacteria	Groups	Treatment 	0.00877164012097833	0.0047500375714458	48	26	0.0712374419107368	0.195363287664293
X.f__Anaerolineaceae	Groups	Treatment 	0.0142656384410563	0.00781201467635033	48	5	0.074327487564619	0.200795152973075
X.o__Gaiellales	Groups	Treatment 	0.00375404569772188	0.00219518882375887	48	11	0.093980827221186	0.25015484892698
X.g__0319.6G20	Groups	Treatment 	0.00863083889752369	0.00512534361972345	48	38	0.0989657908718644	0.259605915185615
d__Bacteria	Groups	Treatment 	-0.00989968251899222	0.00618347728620531	48	35	0.116225433588076	0.300239783525344
X.g__Acidipila	Groups	Treatment 	0.0151401727196557	0.00949792673382388	48	48	0.117773616741986	0.300239783525344
X.g__Unknown_Family	Groups	Treatment 	-0.00251391186448066	0.00159396993443809	48	5	0.121616684190869	0.305730831090935
X.f__Solirubrobacteraceae	Groups	Treatment 	0.00607551290998394	0.00387319029627505	48	39	0.123593635861505	0.306444494396334
X.g__Candidatus_Xiphinematobacter	Groups	Treatment 	-0.00931252787006526	0.00597616089921475	48	32	0.126021224295275	0.308241102668173
X.o__Planctomycetales	Groups	Treatment 	0.00827056436678996	0.0053386992623207	48	39	0.128193632740227	0.308989345946022
X.g__Edaphobacter	Groups	Treatment 	0.0121208657750164	0.00785661622186438	48	45	0.129741382828164	0.308989345946022
X.g__Pedosphaera	Groups	Treatment 	0.00785781168936651	0.00512652539118418	48	17	0.132180641514636	0.310710339144795
X.g__Gemmatimonas	Groups	Treatment 	0.00614816944639192	0.00419881473923679	48	17	0.149923165918613	0.347898628606012
X.g__TRA3.20	Groups	Treatment 	0.00467481783435583	0.00324348346439788	48	18	0.156274508525504	0.355481853740865
X.f__Burkholderiaceae	Groups	Treatment 	0.00776405551337244	0.00540549947615804	48	5	0.157676285295015	0.355481853740865
X.g__Candidatus_Berkiella	Groups	Treatment 	-0.00443173075002589	0.00309614157591669	48	5	0.159083039519393	0.355481853740865
X.g__Acidicapsa	Groups	Treatment 	-0.00997500445659487	0.00700785204690628	48	39	0.161366649379021	0.356187360214669
X.f__Polyangiaceae	Groups	Treatment 	0.00222097715559705	0.00161117802188279	48	5	0.174722702528571	0.381021797080378
X.g__Abditibacterium	Groups	Treatment 	0.00461999493367538	0.00339279514909798	48	13	0.179922424310331	0.383128927060822
X.g__Subgroup_2	Groups	Treatment 	-0.0361777020793328	0.0264697315108142	48	48	0.178344571338098	0.383128927060822
X.g__Aliidongia	Groups	Treatment 	0.00270918611029445	0.00203500068273102	48	7	0.189652419493261	0.399152185212562
X.g__Lineage_IV	Groups	Treatment 	0.00535161856840152	0.00406753523023607	48	22	0.194797706558243	0.403330763370738
X.f__Opitutaceae	Groups	Treatment 	-0.00693850676292045	0.00528927273139374	48	41	0.196094514787983	0.403330763370738
X.g__IS.44	Groups	Treatment 	0.00407241945712842	0.00315034315083833	48	6	0.202573538970598	0.408503641201417
X.c__Acidimicrobiia	Groups	Treatment 	0.0119277269746386	0.00923849510509238	48	46	0.203123357503467	0.408503641201417
X.g__Caulobacter	Groups	Treatment 	0.00308902062731045	0.0024500295467097	48	5	0.213735048816549	0.425121360832915
X.g__KF.JG30.B3	Groups	Treatment 	-0.00549563138385308	0.00444183462071806	48	13	0.222275528720629	0.43730294237428
X.g__Obscuribacteraceae	Groups	Treatment 	-0.00806750116814008	0.00664696456104718	48	41	0.231052778712529	0.449683365021158
X.g__Saccharimonadales	Groups	Treatment 	0.00564038847381433	0.00468013777034736	48	9	0.234298920363364	0.451150048784775
X.g__67.14	Groups	Treatment 	0.00281990580285998	0.00238800126863081	48	11	0.243726407022237	0.454788450216752
X.g__Pajaroellobacter	Groups	Treatment 	-0.00692217026341063	0.00584058772190221	48	44	0.242031602168723	0.454788450216752
X.g__WPS.2	Groups	Treatment 	-0.0117415285723315	0.00991610085067969	48	48	0.242461063919318	0.454788450216752
X.g__Roseisolibacter	Groups	Treatment 	-0.00461682121657864	0.00420632356130023	48	21	0.278095648327523	0.509044083330416
X.g__JG36.TzT.191	Groups	Treatment 	-0.0106068408650392	0.00967050960139382	48	46	0.278427426793984	0.509044083330416
X.f__Chitinophagaceae	Groups	Treatment 	0.00974709620339031	0.00900727270017835	48	22	0.284832267639477	0.515546404427454
X.p__Patescibacteria	Groups	Treatment 	0.00211440876878908	0.00199963295697436	48	9	0.295851314415192	0.524991057932841
X.f__Solimonadaceae	Groups	Treatment 	0.0029388846453869	0.00276666395877333	48	17	0.293668013572353	0.524991057932841
X.f__Gimesiaceae	Groups	Treatment 	-0.00562618298940976	0.00541814957845401	48	39	0.304513551815791	0.535116047365613
X.f__Caulobacteraceae	Groups	Treatment 	0.00767976787370629	0.00749864888899678	48	46	0.311118638499041	0.539735313578974
X.f__Phycisphaeraceae	Groups	Treatment 	0.00345749068284728	0.00339000085161018	48	26	0.313106121136974	0.539735313578974
X.g__Gemmata	Groups	Treatment 	0.00511604094832744	0.00511084827861979	48	36	0.322055904269081	0.549925647855694
X.o__Rhodospirillales	Groups	Treatment 	0.00521761260845977	0.00542172123255577	48	39	0.34090382738913	0.570151303106086
X.g__KD3.10	Groups	Treatment 	-0.00154642488855631	0.00160202488006099	48	6	0.339445238532924	0.570151303106086
X.g__Armatimonadales	Groups	Treatment 	0.00604729590938025	0.00635789803524939	48	44	0.346500791942925	0.570151303106086
X.f__Acidobacteriaceae_.Subgroup_1.	Groups	Treatment 	0.00710088773086186	0.00744768770985041	48	45	0.345353104447415	0.570151303106086
X.c__Alphaproteobacteria	Groups	Treatment 	-0.00618606631978158	0.00681865349253258	48	36	0.369015017900764	0.601727191351696
X.g__Schlesneria	Groups	Treatment 	0.00364493013574894	0.00421623999744451	48	24	0.391800374633709	0.633177391149119
X.g__Dinghuibacter	Groups	Treatment 	0.00244205968474715	0.00295490987576505	48	10	0.412820043419436	0.655442349639631
X.g__Candidatus_Ovatusbacter	Groups	Treatment 	0.00242601831385512	0.00293270562623958	48	9	0.41237827331201	0.655442349639631
X.g__Blfdi19	Groups	Treatment 	0.00215491684600395	0.00265424505544405	48	5	0.421044522895566	0.661739705175154
X.g__Subgroup_13	Groups	Treatment 	-0.00459829828963031	0.00570146851702928	48	36	0.424098374587392	0.661739705175154
X.g__Vampirovibrionales	Groups	Treatment 	-0.00169472956397797	0.00216541637529533	48	10	0.43785234723757	0.66205889863944
X.g__Acidisoma	Groups	Treatment 	0.00178324731624462	0.00227304420572527	48	7	0.436757009738765	0.66205889863944
X.g__Silvanigrella	Groups	Treatment 	-0.00223238919419604	0.00287641074092746	48	12	0.441660818201897	0.66205889863944
X.g__Lineage_IIa	Groups	Treatment 	-0.00291375044561111	0.00372356253712674	48	8	0.437920766133	0.66205889863944
X.f__Isosphaeraceae	Groups	Treatment 	0.00354031164246974	0.00457103080222852	48	42	0.442591860416421	0.66205889863944
X.g__Candidatus_Koribacter	Groups	Treatment 	0.00535634759149516	0.00737862161874338	48	45	0.471560457831341	0.691150237834628
X.g__CWT_CU03.E12	Groups	Treatment 	0.00357402080983135	0.00494506271548123	48	44	0.47349519056074	0.691150237834628
X.g__Dyella	Groups	Treatment 	-0.00348262712222956	0.00474960868475857	48	17	0.467129490684099	0.691150237834628
X.g__Fimbriimonadaceae	Groups	Treatment 	0.00456260183655724	0.00664422499786562	48	37	0.495717932559333	0.717799566345914
X.g__S.BQ2.57_soil_group	Groups	Treatment 	-0.00280130196386935	0.00417609331691812	48	24	0.505705516395505	0.726449987837987
X.g__Fimbriiglobus	Groups	Treatment 	0.00153627087506526	0.00233486186951927	48	7	0.513836412130451	0.732318036185919
X.g__Undibacterium	Groups	Treatment 	-0.00158146908247871	0.00252775162143152	48	7	0.534641343639575	0.756016274990336
X.f__Xanthomonadaceae	Groups	Treatment 	-0.00249316954456349	0.00409170297327405	48	24	0.545308161226937	0.76512230373702
X.o__Burkholderiales	Groups	Treatment 	0.00316958529527653	0.00563409280108664	48	18	0.576457658644529	0.781771121537236
X.g__Candidatus_Obscuribacter	Groups	Treatment 	0.00175404405439673	0.00313696757996006	48	11	0.578769780585578	0.781771121537236
X.g__Candidatus_Paracaedibacter	Groups	Treatment 	-0.00183022492433805	0.00327137404991253	48	15	0.578557309147196	0.781771121537236
X.g__Roseiarcus	Groups	Treatment 	0.00357731533142022	0.00622361823543825	48	48	0.568229548379003	0.781771121537236
X.g__WD260	Groups	Treatment 	0.00619909904753326	0.0110346435338515	48	48	0.5769895484799	0.781771121537236
X.g__Chthoniobacter	Groups	Treatment 	0.00302038851361363	0.00557584060111702	48	43	0.59064495877095	0.791901759537348
X.g__Bradyrhizobium	Groups	Treatment 	0.00295344297834095	0.0060106298237911	48	45	0.625501225203878	0.813224483159528
X.f__Myxococcaceae	Groups	Treatment 	0.00236663816762698	0.00468079518741395	48	24	0.61554756516186	0.813224483159528
X.g__Mycobacterium	Groups	Treatment 	-0.00302534420567392	0.00612033693738374	48	45	0.623439669811191	0.813224483159528
X.o__Chthoniobacterales	Groups	Treatment 	0.00227155232302522	0.00461587478777249	48	40	0.624976846031963	0.813224483159528
X.g__Legionella	Groups	Treatment 	-0.00118128640987728	0.00242877673201954	48	8	0.629013412388585	0.813224483159528
X.f__Neisseriaceae	Groups	Treatment 	-0.000911884537408527	0.00195532509722611	48	7	0.643159232209103	0.823139456354707
X.g__Subgroup_7	Groups	Treatment 	0.00137847484877091	0.00297935230936898	48	6	0.645777916035185	0.823139456354707
X.g__Acidothermus	Groups	Treatment 	0.00299595353230674	0.00680883573113035	48	47	0.661990681226986	0.837904288825766
X.g__Tundrisphaera	Groups	Treatment 	-0.00242481280681586	0.00559439247352785	48	33	0.666723697742259	0.83803464785659
X.g__Vermiphilaceae	Groups	Treatment 	-0.00120038180518832	0.00310065927464987	48	18	0.700439716590361	0.874341991054175
X.g__Inquilinus	Groups	Treatment 	-0.00151055676466234	0.00405776426215579	48	31	0.71140640778907	0.875949386461372
X.f__Elsteraceae	Groups	Treatment 	0.00138249244319828	0.00367624153579729	48	12	0.708600147289141	0.875949386461372
X.g__BD7.11	Groups	Treatment 	-0.00136943625284623	0.00394177396836187	48	15	0.729863250175725	0.892603028931123
X.g__Acidocella	Groups	Treatment 	0.00392253468765378	0.0121316944616637	48	38	0.747911050943464	0.896502650468656
X.f__Paracaedibacteraceae	Groups	Treatment 	-0.000543282100738605	0.00164516930134976	48	5	0.742726481868284	0.896502650468656
