feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.f__Comamonadaceae	Groups	Treatment 	0.083927026812055	0.0113822592182801	49	27	2.2237328404572e-09	2.14960841244196e-07
X.g__Haliangium	Groups	Treatment 	0.046325151932911	0.00619979446164644	49	25	1.57893532279373e-09	2.14960841244196e-07
X.f__Microscillaceae	Groups	Treatment 	0.146839996470495	0.0193287800332917	49	26	1.02375748328512e-09	2.14960841244196e-07
X.g__A4b	Groups	Treatment 	0.0528794730744204	0.00779395601407796	49	20	1.73454993076103e-08	1.25754869980175e-06
X.g__BIrii41	Groups	Treatment 	0.0514865910326728	0.00766562503308686	49	20	2.20111895548723e-08	1.27664899418259e-06
X.f__Sandaracinaceae	Groups	Treatment 	0.0554828834938551	0.00861006433958061	49	21	5.71121858598e-08	2.760422316557e-06
X.g__Ellin6067	Groups	Treatment 	0.0523672032300674	0.0083071511130877	49	19	9.32030693193942e-08	3.05276176633353e-06
X.g__KD3.93	Groups	Treatment 	0.0242180115085472	0.00384462455478678	49	18	9.47408824034543e-08	3.05276176633353e-06
X.g__Terrimonas	Groups	Treatment 	0.0588370029634783	0.00930644126091927	49	20	8.74253238441319e-08	3.05276176633353e-06
X.g__Lacunisphaera	Groups	Treatment 	0.0433355892961918	0.00708595614821518	49	29	1.79812573428476e-07	5.21456462942581e-06
X.g__Devosia	Groups	Treatment 	0.0443925313009255	0.00730256701581644	49	19	2.04350154921017e-07	5.38741317519045e-06
X.f__Acidobacteriaceae_.Subgroup_1.	Groups	Treatment 	-0.0615267354730627	0.0101871640709406	49	48	2.34441718213019e-07	5.66567485681462e-06
X.g__Reyranella	Groups	Treatment 	0.0456297164506773	0.00759169553582358	49	40	2.59516882555975e-07	5.78922276471021e-06
X.g__Hirschia	Groups	Treatment 	0.058195674489171	0.010069017083386	49	22	5.79156213298237e-07	1.01289896851552e-05
X.g__Subgroup_17	Groups	Treatment 	0.0266436037468264	0.00461561053108704	49	17	5.93768360853923e-07	1.01289896851552e-05
X.g__OLB12	Groups	Treatment 	0.0293541038682032	0.00507835122875532	49	17	5.78021291121651e-07	1.01289896851552e-05
X.g__R7C24	Groups	Treatment 	0.0650010279321129	0.0111890839366729	49	19	5.22508134177123e-07	1.01289896851552e-05
X.g__Obscuribacteraceae	Groups	Treatment 	-0.0344826228024297	0.00600261940081305	49	45	6.54119888335e-07	1.05385982009528e-05
X.g__Bauldia	Groups	Treatment 	0.0416447392709538	0.00734045220832861	49	18	8.37395045391134e-07	1.27812927980752e-05
X.g__env.OPS_17	Groups	Treatment 	0.0301723938113484	0.00545263380778403	49	32	1.35755846427709e-06	1.96845977320177e-05
X.g__Sphingomonas	Groups	Treatment 	0.0269832978052175	0.0048989956959812	49	17	1.48297454530547e-06	2.04791722923136e-05
X.g__Tundrisphaera	Groups	Treatment 	-0.0422625127070548	0.00786768917596828	49	36	2.36996386206913e-06	3.12404327272749e-05
X.g__Rhodoferax	Groups	Treatment 	0.0266878368835827	0.00500681288086496	49	16	2.73116042417885e-06	3.44363705657333e-05
X.g__Dongia	Groups	Treatment 	0.0416061483661837	0.00789656252624203	49	18	3.37032778105617e-06	4.07247940210954e-05
X.g__MND1	Groups	Treatment 	0.0361729701278852	0.00689508698612426	49	17	3.64229703192244e-06	4.22506455703003e-05
X.f__Microbacteriaceae	Groups	Treatment 	0.020335782343325	0.00388810233279814	49	18	3.84609044591529e-06	4.28987011275167e-05
