feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.g__Nevskia	Groups	Treatment 	0.0171267080081658	0.00377666080482523	49	23	3.97480570136102e-05	0.00802910751674926
X.g__MND1	Groups	Treatment 	-0.0279976977922252	0.0068334657801386	49	31	0.000163882959356917	0.013647674426111
X.g__AT.s3.44	Groups	Treatment 	-0.0172433061570717	0.00427870661344028	49	26	0.000202688234051153	0.013647674426111
X.f__Beijerinckiaceae	Groups	Treatment 	0.0177849341529308	0.00474952608532056	49	25	0.000492478900940211	0.0165801229983204
X.o__Babeliales	Groups	Treatment 	-0.0114692440606608	0.00304641938407748	49	13	0.000462829437388915	0.0165801229983204
X.g__Omnitrophales	Groups	Treatment 	-0.0202991794811891	0.00539904195640878	49	28	0.000470060618707244	0.0165801229983204
X.g__IS.44	Groups	Treatment 	-0.0168319737489779	0.00496891860654877	49	28	0.00143486030695753	0.0347438792874425
X.g__mle1.7	Groups	Treatment 	-0.0146172455210797	0.00427714748077075	49	38	0.00131385814730341	0.0347438792874425
X.g__Acidipila	Groups	Treatment 	0.0245298442986979	0.00729741136063759	49	45	0.00154799462171774	0.0347438792874425
X.g__Micropepsaceae	Groups	Treatment 	-0.0139460214238974	0.00424929454741329	49	26	0.00194861117493868	0.0393619457337614
X.g__KF.JG30.B3	Groups	Treatment 	-0.0150984237495875	0.00499053024313753	49	45	0.00401776361907309	0.0737807500957058
X.g__1921.3	Groups	Treatment 	-0.0103794382391778	0.00351539041926055	49	10	0.0049063785559622	0.0808017127901575
X.g__Subgroup_5	Groups	Treatment 	-0.0219395733063342	0.00748486188638312	49	48	0.00520011022906954	0.0808017127901575
X.f__Xanthobacteraceae	Groups	Treatment 	0.0201707246259273	0.00733510654493357	49	49	0.00843565675876581	0.113600177684713
X.g__Chthonomonas	Groups	Treatment 	-0.0113616945580488	0.00412229368423171	49	44	0.00829805912111257	0.113600177684713
X.g__A0839	Groups	Treatment 	-0.0116422567729631	0.00429179113394612	49	19	0.00929645275910579	0.117367716083711
X.g__Subgroup_12	Groups	Treatment 	-0.0118632205032727	0.00444236709819774	49	31	0.0103703827005289	0.123224547382755
X.g__Candidatus_Xiphinematobacter	Groups	Treatment 	0.020128241734154	0.00760799854328048	49	47	0.0110535181655695	0.124045037191391
X.g__HSB_OF53.F07	Groups	Treatment 	-0.0285016560527394	0.0108651822841434	49	45	0.0117073795112009	0.124467929540136
X.g__SAR324_clade.Marine_group_B.	Groups	Treatment 	-0.00539421938096627	0.00210941508334317	49	6	0.0138390491512342	0.127067633115877
X.g__Pla4_lineage	Groups	Treatment 	-0.011458864792104	0.00447485073135652	49	29	0.0137171617046583	0.127067633115877
X.f__Steroidobacteraceae	Groups	Treatment 	-0.0166751941070329	0.006507226991871	49	38	0.0136537513455625	0.127067633115877
X.g__BD7.11	Groups	Treatment 	-0.010685745483156	0.00433966422839632	49	36	0.017525087986787	0.153915990144825
X.g__Granulicella	Groups	Treatment 	0.0292505933779446	0.0120734738609978	49	48	0.0193123170790985	0.162545335415746
X.g__Bradyrhizobium	Groups	Treatment 	0.0300049866202912	0.0125628447699315	49	49	0.020991446005172	0.163087388194029
X.g__Lineage_IIa	Groups	Treatment 	-0.0156452219458838	0.00653884059986362	49	42	0.0207756986227309	0.163087388194029
X.g__Pseudolabrys	Groups	Treatment 	-0.0124286057383212	0.00537472010028503	49	28	0.0251829609962877	0.175412349008625
X.g__Pajaroellobacter	Groups	Treatment 	-0.0089606361072458	0.00386799133817282	49	45	0.024933430748011	0.175412349008625
X.g__Silvanigrella	Groups	Treatment 	-0.00406904426283539	0.00175735834111041	49	5	0.0250034250541696	0.175412349008625
X.g__Singulisphaera	Groups	Treatment 	0.00551137953640856	0.00242888069667005	49	5	0.0278942050408364	0.187820980608299
X.g__Sediminibacterium	Groups	Treatment 	-0.005724580896242	0.00258923698464109	49	5	0.0319438421183299	0.208150197029117
X.o__Omnitrophales	Groups	Treatment 	-0.00660910148854134	0.00310218320676603	49	11	0.0383959258238844	0.24237428176327
X.g__KF.JG30.C25	Groups	Treatment 	-0.00649039461456982	0.00306634320277304	49	15	0.0396119221611426	0.242472978077297
X.o__Defluviicoccales	Groups	Treatment 	0.00774570936445844	0.00369948095094132	49	20	0.0417050622614924	0.244008131132345
X.g__Armatimonadales	Groups	Treatment 	-0.00771110687512482	0.00369372805313258	49	27	0.042278636582337	0.244008131132345
X.f__Sutterellaceae	Groups	Treatment 	-0.0118073433249369	0.00577007004578187	49	33	0.0463427240559755	0.246348164718606
X.g__Elusimicrobiota	Groups	Treatment 	-0.00576884540408051	0.00280444298613521	49	15	0.0452558626328908	0.246348164718606
X.g__Candidatus_Ovatusbacter	Groups	Treatment 	0.00556541990306864	0.00268844332556551	49	11	0.0439600176690195	0.246348164718606
