feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.g__AKYH767	Treatment	 	0.0170188718385292	0.00393710284382818	48	17	8.42389878240296e-05	0.0154999737596214
X.g__vadinHA49	Time_Point	Summer	0.0340228768251602	0.0076958345418809	48	38	6.1450199086737e-05	0.0154999737596214
X.f__Comamonadaceae	Treatment	 	0.0213403698033648	0.00593390239100743	48	12	0.000798073080867059	0.0489484822931796
X.f__Pedosphaeraceae	Treatment	 	0.0290961692910549	0.00799601343644903	48	48	0.00070298528701215	0.0489484822931796
X.f__Microscillaceae	Treatment	 	0.0481375993552464	0.0131514666964559	48	15	0.000659286835080284	0.0489484822931796
X.c__Bacteroidia	Treatment	 	0.0131559779279932	0.00359316121137295	48	19	0.0006570190536133	0.0489484822931796
X.f__Micropepsaceae	Treatment	 	0.0326553365903018	0.0094781341918233	48	48	0.00124598041576368	0.0655029704287192
X.g__Hirschia	Treatment	 	0.0113197310458881	0.00350400535974748	48	9	0.00231191627366693	0.106348148588679
X.g__CPla.3_termite_group	Treatment	 	0.0122560657295474	0.00394383949453511	48	12	0.00326350006255769	0.120096802302123
X.g__env.OPS_17	Treatment	 	0.0156919422531313	0.00502082884297759	48	15	0.0031064934712267	0.120096802302123
X.g__Aliidongia	Treatment	 	0.00582539301679308	0.00203959741536336	48	10	0.00646734105619647	0.125262184667384
X.g__Roseiarcus	Time_Point	Summer	0.0137610196182596	0.00474427523747285	48	48	0.00574433582807367	0.125262184667384
X.g__BIrii41	Treatment	 	0.0137940570394017	0.00476433758292305	48	9	0.00582617760728264	0.125262184667384
X.f__Sandaracinaceae	Treatment	 	0.00721331580695498	0.00250250312510361	48	8	0.00602964579302761	0.125262184667384
X.g__Opitutus	Treatment	 	0.00933786020934742	0.0030915040450563	48	11	0.00415044772867005	0.125262184667384
X.g__Granulicella	Treatment	 	0.0278488720133519	0.00952115323090572	48	48	0.00537991440650094	0.125262184667384
X.g__KD3.93	Treatment	 	0.0066778428963435	0.00233305047144913	48	7	0.00636270726653372	0.125262184667384
X.o__Chitinophagales	Treatment	 	0.0142511300976243	0.00473228262040181	48	26	0.00425415886078025	0.125262184667384
X.g__Rhodanobacter	Treatment	 	0.0160318303937095	0.00555696167395506	48	24	0.00598855055564469	0.125262184667384
X.g__37.13	Treatment	 	0.0132508200978778	0.00475472145346727	48	40	0.00776590695369433	0.142892687947976
X.g__Ferruginibacter	Treatment	 	0.0394674456633127	0.0146829607543677	48	17	0.010041487039515	0.175965106216263
X.g__Devosia	Treatment	 	0.0141364540702895	0.00529856653952435	48	8	0.0105705159283846	0.17681590280207
X.g__Terrimonas	Treatment	 	0.010656941524413	0.00406322808992622	48	8	0.0118618413449594	0.18978946151935
X.f__Methylacidiphilaceae	Treatment	 	0.0149812416149441	0.00578230358565036	48	47	0.012858525667358	0.197164060232823
X.g__RCP2.54	Treatment	 	-0.048380996249611	0.019015938160169	48	48	0.0144541405653921	0.212764949122572
X.g__Ellin6067	Treatment	 	0.0112699728515952	0.00451317846872919	48	8	0.0162468832795861	0.229955886418757
X.g__A0839	Treatment	 	0.0116270507927456	0.00471008920673105	48	8	0.0174308170135683	0.230772805739077
X.g__Lacunisphaera	Treatment	 	0.0119908176521042	0.00489178092676949	48	10	0.0181859004522642	0.230772805739077
X.g__Flavobacterium	Treatment	 	0.00563314582608831	0.00229774698411566	48	6	0.0181691084203044	0.230772805739077
X.g__Rhodoferax	Treatment	 	0.00585511657472124	0.00241497086038932	48	6	0.0194081203584724	0.238072943063928
X.g__Acidibacter	Time_Point	Summer	0.0311018903310823	0.0129175203167677	48	48	0.0202133888790571	0.239952487338484
X.g__Conexibacter	Treatment	 	0.009009755630862	0.00381775123925975	48	21	0.0226732548462476	0.241585244485973
X.g__Aquisphaera	Time_Point	Summer	0.014103886293267	0.00598501893655967	48	46	0.0228599754130266	0.241585244485973
X.g__OLB12	Treatment	 	0.00721731271110995	0.00306546280671635	48	7	0.0229768574918724	0.241585244485973
X.g__Edaphobaculum	Treatment	 	0.0147086939024606	0.00617420502513004	48	43	0.021492265126096	0.241585244485973
X.f__Nitrosomonadaceae	Treatment	 	0.0041412904532315	0.00182028784152605	48	5	0.0277155372163448	0.248821662525519
X.f__Rhizobiales_Incertae_Sedis	Treatment	 	0.00830903260834218	0.00370938149476044	48	6	0.030075248915726	0.248821662525519
X.f__Devosiaceae	Treatment	 	0.00742128858467777	0.00329591680908724	48	5	0.0292718286356392	0.248821662525519
X.g__Asticcacaulis	Treatment	 	0.00456969875189283	0.00204461294533155	48	5	0.0304265619936096	0.248821662525519
X.f__Caulobacteraceae	Time_Point	Summer	0.0180869195232722	0.00786441987712628	48	46	0.0261499150713473	0.248821662525519
X.g__WD2101_soil_group	Time_Point	Summer	-0.0210219691244595	0.00931833321901553	48	48	0.0289790799406697	0.248821662525519
X.g__JGI_0001001.H03	Treatment	 	0.00492780895863631	0.00216489616307846	48	5	0.0276404553406866	0.248821662525519
X.g__Vicinamibacteraceae	Treatment	 	0.00620404136004469	0.00267751485991229	48	6	0.0251067628125429	0.248821662525519
X.g__Kapabacteriales	Treatment	 	0.011313023891027	0.0050569914844876	48	22	0.0302780981613724	0.248821662525519
X.g__R7C24	Treatment	 	0.0157125208686877	0.00699095117470219	48	10	0.0295529149713903	0.248821662525519
X.f__Comamonadaceae	Time_Point	Summer	0.013281667912071	0.00601284913033748	48	12	0.0323171919329646	0.253778779280132
X.g__Dongia	Treatment	 	0.00649421286220141	0.00294174196558014	48	6	0.0324119636580603	0.253778779280132
X.g__Afipia	Treatment	 	0.00582803291362544	0.00267120976589828	48	5	0.0343873904406516	0.263636660044995
X.g__possible_genus_04	Treatment	 	0.00401578055915198	0.00184999329953658	48	5	0.0352686808978895	0.26408229973711
X.g__Abditibacterium	Treatment	 	0.00862220165125238	0.00398597057075572	48	11	0.03588074724689	0.26408229973711
X.g__SM2D12	Treatment	 	0.0110405876416769	0.00516982054652235	48	31	0.0381905391141994	0.269752916172054
X.g__FCPU453	Time_Point	Summer	0.00303797895555103	0.00142197613125843	48	5	0.038116142623602	0.269752916172054
X.g__Pedosphaeraceae	Treatment	 	0.0122297017534251	0.00574708455481634	48	39	0.0388502841226056	0.269752916172054
X.f__Microbacteriaceae	Treatment	 	0.00518479727627349	0.00246855231024764	48	5	0.0413349385315101	0.271629596064209
X.g__A4b	Treatment	 	0.0180352484207201	0.00856906192153459	48	9	0.0409345829676379	0.271629596064209
X.g__Candidatus_Xiphinematobacter	Treatment	 	-0.0122646842491434	0.00580721302033882	48	32	0.0402727208312125	0.271629596064209
X.g__Acidocella	Time_Point	Summer	-0.0244230583095739	0.0120574916939064	48	36	0.04876583295867	0.309410802220527
X.f__Chthoniobacteraceae	Treatment	 	-0.00500271691673009	0.0024666448537744	48	9	0.0484896598605918	0.309410802220527
