feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.o__Elsterales	Time_Point	Summer	0.0374970542494991	0.0083720206931563	49	49	4.93222684371228e-05	0.0101603872980473
X.f__Steroidobacteraceae	Treatment	 	-0.0249515080481166	0.00549671417986341	49	37	4.04857206434437e-05	0.0101603872980473
X.g__mle1.7	Treatment	 	-0.0139974354551981	0.00357393283237484	49	39	0.000295585754509599	0.0257873722271752
X.g__Omnitrophales	Treatment	 	-0.0204641097671891	0.00524973692354768	49	29	0.000312953546446301	0.0257873722271752
X.f__Steroidobacteraceae	Time_Point	Summer	0.0218521607549853	0.00559068191280056	49	37	0.000302882084157294	0.0257873722271752
X.g__AT.s3.44	Treatment	 	-0.0169326962497626	0.00462031448619295	49	28	0.000638790221653229	0.0328976964151413
X.g__Elusimicrobiota	Time_Point	Summer	0.00980997386002573	0.00263034433127062	49	15	0.000525080736805043	0.0328976964151413
X.o__Planctomycetales	Treatment	 	0.0132475234152903	0.00361329172998291	49	48	0.000635914900439722	0.0328976964151413
X.g__Micropepsaceae	Treatment	 	-0.015458163536287	0.00435245861572535	49	24	0.000896935881828849	0.0369537583313486
X.g__Nevskia	Treatment	 	0.0135389027143894	0.00377585579587621	49	22	0.000810303746528204	0.0369537583313486
X.g__Candidatus_Xiphinematobacter	Treatment	 	0.023505333566435	0.00687278371156435	49	48	0.00132220812445227	0.0495227042976667
X.g__Lineage_IIa	Treatment	 	-0.0183084695464159	0.00545392019913073	49	43	0.00158895912105647	0.0545542631562721
X.g__MND1	Treatment	 	-0.0228226880451674	0.00701575776310705	49	32	0.00214230081989712	0.0678944567536626
X.f__Solirubrobacteraceae	Time_Point	Summer	0.0101721254425206	0.00322781464395402	49	34	0.00285702797490025	0.0804372211534403
X.c__Gammaproteobacteria	Time_Point	Summer	0.0318014608640926	0.0101195054198896	49	47	0.00292853960510098	0.0804372211534403
X.f__Sutterellaceae	Treatment	 	-0.0165977938746696	0.00540107486896237	49	33	0.00355537800604613	0.0905931769877792
X.g__Pajaroellobacter	Treatment	 	-0.0136417203846197	0.00453319394323787	49	40	0.0042389742498434	0.0905931769877792
X.g__RCP2.54	Time_Point	Summer	-0.0191485191995408	0.00639162463990857	49	49	0.00439772703824171	0.0905931769877792
X.g__Aquisphaera	Time_Point	Summer	0.0163789142624736	0.00544218347753231	49	42	0.00423518177191912	0.0905931769877792
X.g__KF.JG30.C25	Treatment	 	-0.0101043796958584	0.0033686249265725	49	16	0.00435365153512601	0.0905931769877792
X.g__Nitrosotaleaceae	Time_Point	Summer	-0.0233569904346207	0.00793558282199429	49	29	0.00507456839931152	0.0950328263871067
X.g__IS.44	Treatment	 	-0.0151738746411079	0.00513683504891418	49	31	0.00493052791284639	0.0950328263871067
X.f__Elsteraceae	Time_Point	Summer	0.0120743207887111	0.00421382518597289	49	31	0.00625883296355641	0.112114746999358
X.g__Granulicella	Treatment	 	0.033684849409129	0.0120606747342461	49	47	0.00758602052812888	0.130226685732879
X.g__SAR324_clade.Marine_group_B.	Treatment	 	-0.00512146777300728	0.00187888031256509	49	6	0.00904392671061928	0.133074921599112
X.g__Candidatus_Solibacter	Time_Point	Summer	0.0159773734843973	0.00577713571959716	49	49	0.00815097771891363	0.133074921599112
