feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.f__Microscillaceae	Treatment	 	0.146664104703437	0.0168544638140164	49	26	2.79214724056514e-11	1.63061398849004e-08
X.f__Comamonadaceae	Treatment	 	0.0825034752361446	0.0102360750389156	49	27	2.41232830863215e-10	7.04399866120587e-08
X.g__BIrii41	Treatment	 	0.0473255794192323	0.00631564484346122	49	19	1.66676512646073e-09	2.50884393925711e-07
X.g__A4b	Treatment	 	0.0580898090183875	0.00776135080668762	49	21	1.71838625976514e-09	2.50884393925711e-07
X.g__Ellin6067	Treatment	 	0.0551154626727476	0.00746328921882907	49	21	2.41923999942863e-09	2.82567231933264e-07
X.g__KD3.93	Treatment	 	0.0244228020602168	0.00358295814314458	49	18	1.71886050751986e-08	1.67302422731933e-06
X.g__Bauldia	Treatment	 	0.0422211706144429	0.00626619814751756	49	18	2.25480845830913e-08	1.8811544852179e-06
X.g__Terrimonas	Treatment	 	0.0551805899548046	0.00824428022353655	49	21	2.63225758088076e-08	1.92154803404295e-06
X.g__Haliangium	Treatment	 	0.0439952819998993	0.00668116684131634	49	29	3.82841193534605e-08	2.48421396693566e-06
X.g__R7C24	Treatment	 	0.0649899283152296	0.0100049295202993	49	20	5.21313018314371e-08	3.04446802695593e-06
X.g__Rhodoferax	Treatment	 	0.0270726494831308	0.00421986958517588	49	18	6.8831181642356e-08	3.65431000719417e-06
X.g__CPla.3_termite_group	Treatment	 	0.0351520036577493	0.00559803921116535	49	24	1.10271677314128e-07	5.36655496262087e-06
X.g__OLB12	Treatment	 	0.0291285760537749	0.00466835050739632	49	18	1.26530466839473e-07	5.68413789494248e-06
X.f__Sandaracinaceae	Treatment	 	0.0497131602148213	0.00811299610357335	49	19	1.86366604730045e-07	7.77414979731045e-06
X.g__Devosia	Treatment	 	0.0419937067384973	0.00689706631040287	49	19	2.13225807885707e-07	8.30159145368352e-06
X.f__Microbacteriaceae	Treatment	 	0.0232434800882877	0.00386123027600783	49	16	2.7053205823891e-07	9.87442012572021e-06
X.g__Lacunisphaera	Treatment	 	0.0430295621125991	0.0072121256611903	49	33	3.2530973356475e-07	1.11753461412832e-05
X.g__Hirschia	Treatment	 	0.0576021151522333	0.00974571587069031	49	21	3.94303014789902e-07	1.25201929724022e-05
X.g__Chthoniobacter	Time_Point	Summer	0.0299331249304738	0.00507248848093988	49	45	4.07335045335002e-07	1.25201929724022e-05
X.g__Subgroup_17	Treatment	 	0.022746109431644	0.00386664355832852	49	15	4.34036032007604e-07	1.2673852134622e-05
X.f__Acidobacteriaceae_.Subgroup_1.	Treatment	 	-0.0656794374328572	0.0112105548100891	49	47	4.71343655694815e-07	1.31078426155129e-05
X.g__Reyranella	Treatment	 	0.0391949791607449	0.00674186182913406	49	40	5.50414253552793e-07	1.4610996548856e-05
X.g__Dongia	Treatment	 	0.0406569564294424	0.00713319215604954	49	18	8.14497393268258e-07	2.06811512029853e-05
X.f__Rhizobiales_Incertae_Sedis	Treatment	 	0.0484928756492738	0.00866154560234809	49	17	1.15193462630619e-06	2.80304092401173e-05
X.g__Caulobacter	Treatment	 	0.0340093222652051	0.00612698469779884	49	25	1.35724307111369e-06	3.17051981412158e-05
X.g__Dactylosporangium	Treatment	 	0.0227871208066877	0.00415187375812435	49	18	1.67976737381589e-06	3.7730159473403e-05
X.g__Sumerlaea	Treatment	 	0.0210735501002916	0.0039022316466956	49	15	2.26815005874744e-06	4.90592457151299e-05
X.g__Pseudolabrys	Treatment	 	0.0297520004145863	0.00552150637222349	49	16	2.36280139331417e-06	4.92812862034098e-05
X.g__IS.44	Treatment	 	0.0486924679979262	0.00908030762103243	49	17	2.58116909473646e-06	5.1979405218141e-05
X.g__Tundrisphaera	Treatment	 	-0.0410208625773504	0.00780587540761717	49	36	3.7165405003343e-06	7.23486550731744e-05
X.g__Vicinamibacteraceae	Treatment	 	0.050870282781377	0.00970219527682564	49	18	3.87026553002981e-06	7.29108086947551e-05
X.f__Devosiaceae	Treatment	 	0.0310981672769445	0.00598349535087553	49	17	4.52041145391557e-06	8.24975090339592e-05
X.g__env.OPS_17	Treatment	 	0.0290871789238918	0.00568538301983614	49	35	5.94713390250672e-06	0.000105246248456483
X.g__Gemmatimonas	Treatment	 	0.0224538069274181	0.00447580543149119	49	21	8.31085610676626e-06	0.000142751175480926
X.g__A0839	Treatment	 	0.0544564673336329	0.0109895186794767	49	18	1.02110929012525e-05	0.000170379378695185
X.g__AAP99	Treatment	 	0.0163681673822793	0.00335848128767108	49	14	1.3413901503883e-05	0.000205338559803855
X.g__MND1	Treatment	 	0.0329957060312607	0.00678731179468928	49	15	1.39754947684206e-05	0.000205338559803855
X.g__Obscuribacteraceae	Treatment	 	-0.0289296545385058	0.00595416504114777	49	45	1.40997115128274e-05	0.000205338559803855
X.g__Afipia	Treatment	 	0.0266070480631171	0.00544194384044601	49	17	1.27346823654229e-05	0.000205338559803855
X.f__Micropepsaceae	Treatment	 	0.0483492774428194	0.00996466959704509	49	49	1.44158920410241e-05	0.000205338559803855
