"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1"," c__Thermoplasmata",0,FALSE,FALSE,FALSE,FALSE
"2"," g__Group_1.1c",6,FALSE,FALSE,FALSE,FALSE
"3"," g__Nitrosotaleaceae",1,FALSE,FALSE,FALSE,FALSE
"4"," f__Neisseriaceae",2,FALSE,FALSE,FALSE,FALSE
"5"," f__Oxalobacteraceae",19,FALSE,FALSE,FALSE,FALSE
"6"," g__Ellin6067",Inf,TRUE,TRUE,TRUE,TRUE
"7"," g__A21b",Inf,TRUE,TRUE,TRUE,TRUE
"8"," g__IS-44",Inf,TRUE,TRUE,TRUE,TRUE
"9"," g__MND1",Inf,TRUE,TRUE,TRUE,TRUE
"10"," g__TRA3-20",0,FALSE,FALSE,FALSE,FALSE
"11"," o__Burkholderiales",6,FALSE,FALSE,FALSE,FALSE
"12"," g__Burkholderia-Caballeronia-Paraburkholderia",5,FALSE,FALSE,FALSE,FALSE
"13"," g__Pandoraea",1,FALSE,FALSE,FALSE,FALSE
"14"," g__Rhodoferax",Inf,TRUE,TRUE,TRUE,TRUE
"15"," f__Comamonadaceae",Inf,TRUE,TRUE,TRUE,TRUE
"16"," g__Undibacterium",Inf,TRUE,TRUE,TRUE,TRUE
"17"," g__Aquicella",3,FALSE,FALSE,FALSE,FALSE
"18"," f__Diplorickettsiaceae",27,FALSE,FALSE,FALSE,FALSE
"19"," g__Vampirovibrionales",0,FALSE,FALSE,FALSE,FALSE
"20"," g__Obscuribacteraceae",43,FALSE,FALSE,FALSE,FALSE
"21"," g__Candidatus_Obscuribacter",0,FALSE,FALSE,FALSE,FALSE
"22"," g__Sphingomonas",Inf,TRUE,TRUE,TRUE,TRUE
"23"," f__Sphingomonadaceae",Inf,TRUE,TRUE,TRUE,TRUE
"24"," o__Rhodospirillales",0,FALSE,FALSE,FALSE,FALSE
"25"," g__Dongia",Inf,TRUE,TRUE,TRUE,TRUE
"26"," g__Inquilinus",3,FALSE,FALSE,FALSE,FALSE
"27"," f__Elsteraceae",0,FALSE,FALSE,FALSE,FALSE
"28"," g__Aliidongia",0,FALSE,FALSE,FALSE,FALSE
"29"," g__URHD0088",Inf,TRUE,TRUE,TRUE,TRUE
"30"," o__Elsterales",7,FALSE,FALSE,FALSE,FALSE
"31"," f__Reyranellaceae",Inf,TRUE,TRUE,TRUE,TRUE
"32"," g__Reyranella",86,FALSE,FALSE,FALSE,FALSE
"33"," f__Rhodospirillaceae",15,FALSE,FALSE,FALSE,FALSE
"34"," f__Magnetospirillaceae",34,FALSE,FALSE,FALSE,FALSE
"35"," g__Telmatospirillum",Inf,TRUE,TRUE,TRUE,TRUE
"36"," g__Acidocella",1,FALSE,FALSE,FALSE,FALSE
"37"," g__Acidisoma",1,FALSE,FALSE,FALSE,FALSE
"38"," g__Rhodopila",4,FALSE,FALSE,FALSE,FALSE
"39"," g__Acetobacteraceae",Inf,TRUE,TRUE,TRUE,TRUE
"40"," g__Rhodovastum",Inf,TRUE,TRUE,TRUE,TRUE
"41"," f__Acetobacteraceae",3,FALSE,FALSE,FALSE,FALSE
"42"," g__Acidisphaera",Inf,TRUE,TRUE,TRUE,TRUE
"43"," f__Holosporaceae",4,FALSE,FALSE,FALSE,FALSE
"44"," g__Candidatus_Paracaedibacter",2,FALSE,FALSE,FALSE,FALSE
"45"," f__Paracaedibacteraceae",4,FALSE,FALSE,FALSE,FALSE
"46","d__Bacteria",11,FALSE,FALSE,FALSE,FALSE
"47"," f__Rickettsiaceae",1,FALSE,FALSE,FALSE,FALSE
"48"," g__SM2D12",22,FALSE,FALSE,FALSE,FALSE
"49"," f__Micavibrionaceae",Inf,TRUE,TRUE,TRUE,TRUE
"50"," f__Xanthobacteraceae",18,FALSE,FALSE,FALSE,FALSE
"51"," f__Beijerinckiaceae",0,FALSE,FALSE,FALSE,FALSE
"52"," g__Roseiarcus",6,FALSE,FALSE,FALSE,FALSE
