"","Treatment W","Treatment q","Treatment p","Taxa"
"ASV1004",1.43494166057002,1,0.151303722740949," g__Sphingomonas"
"ASV10143",0.856440786833655,1,0.391754012323177," g__Paludibaculum"
"ASV1019",0.824385439191403,1,0.409720585654832," f__Sphingomonadaceae"
"ASV10320",-5.0589604005761,9.82207745743865e-05,4.21548388731272e-07," g__Candidatus_Solibacter"
"ASV10357",2.06223519554722,1,0.0391853493995181," g__Vicinamibacteraceae"
"ASV10424",-2.30267378116614,1,0.021297204449537," g__Subgroup_13"
"ASV10436",-2.17820770687628,1,0.0293905765632181," g__Subgroup_12"
"ASV10877",-4.28730115436437,0.00414162593218093,1.80857027606154e-05," g__Subgroup_2"
"ASV1101",-0.687325951090798,1,0.49187734892055," o__Rhodospirillales"
"ASV11021",-1.78650989173963,1,0.0740167370598991," g__Candidatus_Koribacter"
"ASV11157",-5.20786316031738,4.47004848407021e-05,1.91027712994453e-07," o__Acidobacteriales"
"ASV11426",-0.594295268900619,1,0.552314642434465," g__Edaphobacter"
"ASV11477",-1.25175486214613,1,0.210659202310647," g__Granulicella"
"ASV11590",-1.98614656645558,1,0.0470170519411072," g__Acidipila"
"ASV11666",-3.3932410415148,0.142976619438165,0.000690708306464565," g__Acidicapsa"
"ASV11668",-1.62706014000745,1,0.1037243255957," f__Acidobacteriaceae_(Subgroup_1)"
"ASV11683",-2.58838116581167,1,0.00964282121691764," g__Occallatibacter"
"ASV11919",-0.335763929452078,1,0.737048892718982," o__Vicinamibacterales"
"ASV11949",-2.83552775366154,0.860100748355196,0.00457500398061274," g__Subgroup_5"
"ASV12036",1.591443730521,1,0.111509749376668," g__Kapabacteriales"
"ASV12045",-2.28379346283801,1,0.0223836720505585," f__Gemmatimonadaceae"
"ASV12059",-2.47652566683807,1,0.0132668085588774," g__Roseisolibacter"
"ASV12098",-1.17109849509868,1,0.241559188707348," g__Gemmatimonas"
"ASV12129",2.37457822395803,1,0.017569013074365," g__OLB12"
"ASV12143",5.94404871085755,6.53457241269207e-07,2.78066911178386e-09," f__Microscillaceae"
"ASV1215",2.62009377931805,1,0.00879055896368972," g__Dongia"
"ASV12181",0.535341825201217,1,0.592413509545922," g__Chryseolinea"
"ASV12203",-0.317454951795734,1,0.750898416229155," o__Cytophagales"
"ASV12228",1.09682745326872,1,0.272716826763406," g__Flavobacterium"
"ASV12251",2.77523588874569,1,0.00551616824261287," g__env.OPS_17"
"ASV12290",-1.46258169363754,1,0.143581875444009," o__Sphingobacteriales"
"ASV12297",1.79719290052865,1,0.0723050012268924," g__KD3-93"
"ASV12325",-1.4300031390775,1,0.152716118131688," g__CWT_CU03-E12"
"ASV12419",-0.410356678824699,1,0.681544320176074," g__37-13"
"ASV12495",1.95558207392541,1,0.0505144062991312," o__Chitinophagales"
"ASV12531",2.38427732587129,1,0.0171127008738733," g__Terrimonas"
"ASV12545",-2.82629474943418,0.88058134553085,0.00470899115257139," g__Puia"
"ASV1261",-1.50465893788418,1,0.132411785114028," g__Inquilinus"
"ASV12644",-0.660754767150868,1,0.508769595090445," g__Dinghuibacter"
"ASV12647",-0.0823451331682961,1,0.934372265180801," f__Chitinophagaceae"
"ASV12681",2.06577082417089,1,0.0388501242064627," g__Heliimonas"
"ASV127",-2.30383270706434,1,0.0212320363524741," g__Nitrosotaleaceae"
"ASV12700",4.10667831714994,0.00911154428143405,4.01389615922205e-05," g__Ferruginibacter"
"ASV12833",0.880660062605394,1,0.378501839050852," g__Edaphobaculum"
"ASV12881",2.05813897516074,1,0.0395767945766717," f__Saprospiraceae"
"ASV12890",-0.194926187256173,1,0.84545073293994," g__Sporocytophaga"
"ASV12908",3.58747076102538,0.0717887497643874,0.000333901161694825," c__Bacteroidia"
"ASV12923",0.587149884940193,1,0.557103046757374," f__Spirosomaceae"
"ASV12961",-3.85842319134325,0.0256772071103414,0.000114120920490406," g__WD260"
"ASV12994",-2.18136768739786,1,0.0291562316194897," g__Steroidobacter"
"ASV13016",0.299140880464363,1,0.764832555443699," c__Gammaproteobacteria"
"ASV13042",-3.06468200462131,0.440161122724586,0.0021790154590326," g__Acidibacter"
"ASV1311",0.172743632340781,1,0.86285294566044," f__Elsteraceae"
"ASV13158",-3.79440877210471,0.0328069974582495,0.000147995682913333," g__JG36-TzT-191"
"ASV13193",3.03969368959759,0.476005930276851,0.00236818870784503," g__R7C24"
"ASV13210",0.656599825745149,1,0.511438260966877," f__Burkholderiaceae"
"ASV13224",1.62176759769777,1,0.104853118764214," g__Rhodanobacter"
"ASV13250",-1.18850963137302,1,0.23463268755659," g__Dyella"
"ASV13254",-1.98822143656241,1,0.0467872051687002," f__Xanthomonadaceae"
"ASV13267",-1.54362359233537,1,0.122679546219885," f__Rhodanobacteraceae"
"ASV13270",0.346093421688418,1,0.72927250703604," g__Tahibacter"
"ASV13275",0.425718601935368,1,0.670312905644611," g__Arenimonas"
"ASV13279",-0.654874793777495,1,0.512548370233922," f__Solimonadaceae"
"ASV13288",0.316990947274742,1,0.751250471342424," g__Alkanibacter"
"ASV13295",0.797621329087126,1,0.425090269715286," g__Nevskia"
"ASV1330",0.36511615876645,1,0.715024699397005," g__Aliidongia"
"ASV13338",-4.92489385508518,0.000195822288905959,8.44061590111893e-07," g__Candidatus_Endonucleariobacter"
"ASV13343",-1.167255390329,1,0.243107248012391," g__Coxiella"
"ASV13359",-3.47703014001669,0.106977173133175,0.000507000820536376," g__Candidatus_Berkiella"
"ASV13605",-1.62431251040921,1,0.104309128576078," g__Legionella"
"ASV13653",-0.478630869447415,1,0.632201253589761," g__Candidatus_Ovatusbacter"
"ASV13658",-3.58983568866244,0.0714714771510785,0.00033088646829203," g__Unknown_Family"
"ASV13681",-3.39972307823654,0.140304592341503,0.000674541309334149," g__Escherichia-Shigella"
"ASV1417",-0.634553748365269,1,0.525719501592773," g__URHD0088"
"ASV146",-1.35747198720705,1,0.174631288425049," f__Neisseriaceae"
"ASV1644",-3.54368212423724,0.0840456838943299,0.000394580675560234," o__Elsterales"
"ASV1788",0.361151980531737,1,0.717985836886341," f__Reyranellaceae"
"ASV1808",2.1023884236247,1,0.0355192644308499," g__Reyranella"
"ASV1871",0.84339210031181,1,0.399009188547667," f__Rhodospirillaceae"
"ASV1887",0.788114390619496,1,0.430629798411645," f__Magnetospirillaceae"
"ASV1895",-0.901856080938965,1,0.36713332428585," g__Telmatospirillum"
"ASV1952",-1.69958515385958,1,0.089208984830346," g__Acidocella"
"ASV2015",-1.53130946748266,1,0.125692926798362," g__Acidisoma"
"ASV2123",-2.58094225326804,1,0.00985310618930428," g__Rhodopila"
"ASV2197",-1.09028612810163,1,0.275587123850873," g__Acetobacteraceae"
"ASV220",-2.50299493386223,1,0.0123147306829662," f__Oxalobacteraceae"
"ASV2237",0.629335872087028,1,0.529129191395596," g__Rhodovastum"
"ASV2267",-2.73939875250826,1,0.00615516698535996," f__Acetobacteraceae"
"ASV2285",-3.15285222222964,0.329834614646888,0.00161683634630827," g__Acidisphaera"
"ASV2286",-2.79772214095133,0.945563869367426,0.00514643643766318," f__Holosporaceae"
"ASV2306",-1.96691399218626,1,0.0491931271461754," g__Candidatus_Paracaedibacter"
"ASV2329",-2.53108509102707,1,0.0113710259318831," f__Paracaedibacteraceae"
"ASV2338",-2.98486705370216,0.556465325316872,0.00283701597878981,"d__Bacteria"
"ASV235",2.86732266512802,0.783438801396306,0.00413960724878191," g__Ellin6067"
