"","Treatment W","Time_Point W","Treatment_w_Time_Point W","Treatment q","Time_Point q","Treatment_w_Time_Point q","Treatment p","Time_Point p","Treatment_w_Time_Point p","Taxa"
"ASV1004",0.796144595245398,-0.242198577190692,0.58548044118147,1,1,1,0.425947996358305,0.808626297473662,0.558224714157431," g__Sphingomonas"
"ASV10143",0.753406945943119,-0.242198577190692,-0.173918463214955,1,1,1,0.451205410118642,0.808626297473661,0.861929542211734," g__Paludibaculum"
"ASV1019",-0.395909520107813,-0.242198577190692,1.30970888813921,1,1,1,0.692171777681959,0.808626297473661,0.190294335626334," f__Sphingomonadaceae"
"ASV10320",-3.353725018417,0.256888140209147,-0.192359781243588,0.185774524683814,1,1,0.000797315556582894,0.797265126175221,0.84746039396185," g__Candidatus_Solibacter"
"ASV10357",0.667374982441213,-0.242198577190692,1.19111417905373,1,1,1,0.504532641839042,0.808626297473662,0.233608764273419," g__Vicinamibacteraceae"
"ASV10424",-1.18396836816845,0.441769557854601,-0.218179394732799,1,1,1,0.236425584520431,0.658655969553881,0.827289338984952," g__Subgroup_13"
"ASV10436",-0.678334275925879,2.00384222046622,-0.858668309827057,1,1,1,0.497559770833324,0.0450869645431845,0.390523539021113," g__Subgroup_12"
"ASV10877",-2.75357301385114,-0.664176052846594,-0.338831352143948,1,1,1,0.00589486196858939,0.506577638470305,0.734736781289872," g__Subgroup_2"
"ASV1101",0.127065784397738,0.55564988891931,-0.670643511519977,1,1,1,0.898888332002054,0.578450219497946,0.502447656599483," o__Rhodospirillales"
"ASV11021",0.680455891602174,1.59117365964686,-2.41608546275652,1,1,1,0.496215841560491,0.11157049903098,0.0156883786030225," g__Candidatus_Koribacter"
"ASV11157",-4.54430273944149,-0.871181230289501,0.480051061276868,0.00129525878258684,1,1,5.51173950036952e-06,0.38365520674304,0.631191085587653," o__Acidobacteriales"
"ASV11426",-0.190754854731648,0.556016330279415,-0.138842305630212,1,1,1,0.8487176598202,0.578199691187613,0.889574762666003," g__Edaphobacter"
"ASV11477",-0.30019726720784,-0.407052309739107,-0.351878911814955,1,1,1,0.7640266894565,0.683969569043118,0.724929074983979," g__Granulicella"
"ASV11590",-0.943603680135582,-0.265413387765387,-0.222547760405957,1,1,1,0.345372210944781,0.790691023941113,0.8238874978715," g__Acidipila"
"ASV11666",-1.61392741280673,-0.590790614375547,-0.591091782991411,1,1,1,0.106543171836021,0.554660724418062,0.554458925209052," g__Acidicapsa"
"ASV11668",-1.26180830959015,-0.394584913584577,0.368494806561443,1,1,1,0.207017771386445,0.693149249181719,0.712504316902713," f__Acidobacteriaceae_(Subgroup_1)"
"ASV11683",-1.14896679876841,0.310537643177024,-0.497311951921257,1,1,1,0.250569671325266,0.756152138234623,0.618969084732798," g__Occallatibacter"
"ASV11919",-0.615563858031336,0.833159618072366,0.443246055661548,1,1,1,0.538182411030793,0.404754713806526,0.657587769615027," o__Vicinamibacterales"
"ASV11949",-2.58202073518127,-0.591060600575809,1.31275867045962,1,1,1,0.00982236832484183,0.554479817441747,0.189264280695364," g__Subgroup_5"
"ASV12036",-0.35485203738895,-0.760041363417028,1.92209776595345,1,1,1,0.722700441685441,0.447229860495912,0.0545934571391494," g__Kapabacteriales"
"ASV12045",-1.07394962367235,0.336541949810467,-0.740272154895222,1,1,1,0.282845260523449,0.736462223049959,0.459134873201967," f__Gemmatimonadaceae"
"ASV12059",-1.86787293129002,-0.565804521450401,0.656203043767682,1,1,1,0.0617797847162069,0.571526672496459,0.511693490731329," g__Roseisolibacter"
"ASV12098",-0.58150918710245,0.674122624258414,-0.183866315598075,1,1,1,0.560897328234778,0.500233356930232,0.854118330508475," g__Gemmatimonas"
"ASV12129",1.6928461149351,-0.242198577190692,0.135012863006637,1,1,1,0.090484762311862,0.808626297473662,0.892601704244201," g__OLB12"
"ASV12143",1.75063812438721,-0.881827904982889,3.3197450614763,1,1,0.209932269997333,0.0800082638714384,0.377869878888011,0.000900996866941345," f__Microscillaceae"
"ASV1215",0.553033733417179,-0.242198577190693,1.97509866594257,1,1,1,0.58024031129632,0.808626297473661,0.048256952211313," g__Dongia"
"ASV12181",0.487816827001081,-0.242198577190693,-0.00954522809344149,1,1,1,0.625679591443776,0.808626297473661,0.992384125523882," g__Chryseolinea"
"ASV12203",0.0258574667783874,1.4979321572901,-0.203740876606897,1,1,1,0.979371025286607,0.134150877767368,0.838555997199053," o__Cytophagales"
"ASV12228",0.112396418210426,-0.242198577190692,0.937022498151927,1,1,1,0.910509095187648,0.808626297473662,0.348746985243131," g__Flavobacterium"
"ASV12251",2.72213532126232,3.28975895611108,-1.18129739100259,1,0.232633920474171,1,0.00648615768091721,0.00100273241583694,0.237484603392478," g__env.OPS_17"
"ASV12290",-0.53130184543566,1.22290692758027,-0.599900632416055,1,1,1,0.595209626784034,0.221364851720914,0.548572460921617," o__Sphingobacteriales"
"ASV12297",0.112396418210427,-0.242198577190693,1.59640273584285,1,1,1,0.910509095187647,0.808626297473661,0.110398905728574," g__KD3-93"
"ASV12325",-0.52247281413231,0.861024908959082,-0.205044891230312,1,1,1,0.601341170054832,0.389224324294921,0.83753705194087," g__CWT_CU03-E12"
"ASV12419",0.357866260434146,-0.38283272884562,-0.656849221986845,1,1,1,0.720443401063497,0.70184379269765,0.511277871013365," g__37-13"
"ASV12495",2.19873677335054,-0.851455096190191,-0.758846254630424,1,1,1,0.0278966445589048,0.394516597118877,0.447944532475537," o__Chitinophagales"
"ASV12531",0.955422627251257,-0.242198577190691,1.18358818981251,1,1,1,0.339364015819809,0.808626297473662,0.236576117718228," g__Terrimonas"
"ASV12545",-1.8375658839065,-0.513576811136586,-0.167314305140683,1,1,1,0.0661263998385105,0.607547895515042,0.867122748921888," g__Puia"
"ASV1261",-1.21603465623279,-1.41589527801096,0.385739990844785,1,1,1,0.223971720421756,0.156806167682805,0.699689242259265," g__Inquilinus"
"ASV12644",0.594108774611417,0.431286078620036,-1.26443695536092,1,1,1,0.552439362436716,0.666260371510618,0.206073235668538," g__Dinghuibacter"
"ASV12647",-1.3463490548622,-1.31401479739209,1.70211864250386,1,1,1,0.178189972517532,0.188841224617772,0.0887331298681656," f__Chitinophagaceae"
"ASV12681",0.52051611759025,-0.242198577190692,1.08659555925723,1,1,1,0.60270389714564,0.808626297473661,0.277215588473551," g__Heliimonas"
"ASV127",-0.089110634845409,1.30284146224031,-1.71899209993854,1,1,1,0.928993985636259,0.192628892196882,0.0856158104322023," g__Nitrosotaleaceae"
"ASV12700",3.25263950463592,0.821355937322079,0.125771614459753,0.2652652145949,1,1,0.00114338454566767,0.411443554103514,0.899912711693186," g__Ferruginibacter"
"ASV12833",-0.0164908973089044,0.126290803535722,0.829274498592672,1,1,1,0.986842763997193,0.899501735689118,0.406949097635496," g__Edaphobaculum"
"ASV12881",-0.179006554630193,-0.242198577190691,2.29558233746525,1,1,1,0.857932554975328,0.808626297473662,0.0216997736204018," f__Saprospiraceae"
"ASV12890",-0.828597322905353,0.751374149453384,0.959013084307249,1,1,1,0.407332303372448,0.452427515667308,0.337552153723907," g__Sporocytophaga"
"ASV12908",2.29329187715286,0.519789101537927,0.345310384638779,1,1,1,0.0218312065717564,0.603210576223266,0.729861040468294," c__Bacteroidia"
"ASV12923",-0.419597159329819,-0.242198577190692,1.10545914007328,1,1,1,0.674779763905125,0.808626297473662,0.268960690004696," f__Spirosomaceae"
"ASV12961",-1.89301089753037,1.78731648203142,-0.64418747824842,1,1,1,0.0583564202691309,0.0738863515941278,0.519453869722113," g__WD260"
"ASV12994",-1.90879164856882,-0.940411545259915,0.740216591843184,1,1,1,0.0562889746429497,0.347006502419001,0.459168581573832," g__Steroidobacter"
"ASV13016",0.964759942938678,0.872632434210989,-0.903197957684622,1,1,1,0.334665063671827,0.38286345598262,0.36642084161325," c__Gammaproteobacteria"
"ASV13042",-2.63939616227949,1.40500726672609,0.329761089507276,1,1,1,0.00830538621544085,0.160019117432356,0.741580490324909," g__Acidibacter"
"ASV1311",0.72579318290416,0.0519848202265532,-0.65929933978191,1,1,1,0.467965566683236,0.958540788763119,0.509703566290539," f__Elsteraceae"
