"","Treatment W","Treatment q","Treatment p","Taxa"
"ASV10168",0.0703393288092948,1,0.943923580147656," g__Elev-16S-1166"
"ASV1021",0.392080030860652,1,0.694999081740374," g__Plot4-2H12"
"ASV10320",-0.59769982981009,1,0.550040239041449," g__Candidatus_Solibacter"
"ASV1039",2.83434384283917,1,0.00459198943004642," o__Defluviicoccales"
"ASV10424",-2.13023252982655,1,0.0331524206766345," g__Subgroup_13"
"ASV10436",-2.42639339510174,1,0.0152497298453482," g__Subgroup_12"
"ASV1061",-4.68650872195252,0.000703099603183266,2.77904981495362e-06," g__AT-s3-44"
"ASV10877",-0.371497090652623,1,0.710267322489832," g__Subgroup_2"
"ASV1101",-0.362077899871598,1,0.717293818130764," o__Rhodospirillales"
"ASV11021",-0.00776825529721937,1,0.99380189137233," g__Candidatus_Koribacter"
"ASV11157",0.579546261165391,1,0.562220641322269," o__Acidobacteriales"
"ASV11362",1.48893920288094,1,0.136503379091438," g__Subgroup_15"
"ASV11366",-1.79709499230942,1,0.0723205405839013," p__Acidobacteriota"
"ASV11374",0.398363271175125,1,0.69036242765572," c__Acidobacteriae"
"ASV11426",0.338320122874204,1,0.735121961010062," g__Edaphobacter"
"ASV11477",2.35012046345011,1,0.0187673361820466," g__Granulicella"
"ASV11590",2.97362807338453,0.706323742874593,0.0029430155953108," g__Acidipila"
"ASV11666",1.38340794747377,1,0.166539815041531," g__Acidicapsa"
"ASV11668",-1.03534781239014,1,0.300506508446479," f__Acidobacteriaceae_(Subgroup_1)"
"ASV11683",0.214209048641531,1,0.830384040059207," g__Occallatibacter"
"ASV11769",-0.337564270779269,1,0.735691570988056," g__Subgroup_17"
"ASV11919",-1.86264013453039,1,0.062512913716969," o__Vicinamibacterales"
"ASV11949",-2.76246262756602,1,0.00573671288940911," g__Subgroup_5"
"ASV11982",-0.751236898513931,1,0.452510097488759," g__SJA-28"
"ASV12036",-1.30292219929404,1,0.192601324195251," g__Kapabacteriales"
"ASV12045",-0.825317408637775,1,0.409191410897564," f__Gemmatimonadaceae"
"ASV12059",-0.432551160785474,1,0.665340876977939," g__Roseisolibacter"
"ASV12098",-1.66564686232,1,0.0957837714724072," g__Gemmatimonas"
"ASV12143",-1.71013068084652,1,0.0872417104723273," f__Microscillaceae"
"ASV12251",1.48807546460303,1,0.13673099314513," g__env.OPS_17"
"ASV12297",1.58614168427735,1,0.11270717283331," g__KD3-93"
"ASV12325",0.20818969445904,1,0.835080854933404," g__CWT_CU03-E12"
"ASV12378",0.916983179240114,1,0.3591514545128," g__S15-21"
"ASV124",-0.308082105609188,1,0.758019857097489," g__Candidatus_Nitrosotalea"
"ASV12419",0.661441479670287,1,0.508329232252561," g__37-13"
"ASV12495",2.22134892502172,1,0.0263273375200612," o__Chitinophagales"
"ASV12531",0.756765487536244,1,0.449190372875736," g__Terrimonas"
"ASV12545",1.12999749688,1,0.258477279223963," g__Puia"
"ASV1261",1.5025362216206,1,0.132958680671444," g__Inquilinus"
"ASV12647",0.226278949290442,1,0.820984469848148," f__Chitinophagaceae"
"ASV12657",-1.18674598451685,1,0.235327830721524," g__Sediminibacterium"
"ASV127",-1.42599721561431,1,0.153869145780013," g__Nitrosotaleaceae"
"ASV12700",-0.209284882034753,1,0.834225852853641," g__Ferruginibacter"
"ASV12833",1.1085984535859,1,0.267603445546181," g__Edaphobaculum"
"ASV12908",0.192376165184002,1,0.847447561121459," c__Bacteroidia"
"ASV12929",-3.82262393299973,0.0326136521248157,0.000132039077428404," g__KF-JG30-C25"
"ASV12961",1.02290137728246,1,0.306354478245531," g__WD260"
"ASV12986",-3.87094067253021,0.0268872121361815,0.000108416177968474," f__Steroidobacteraceae"
"ASV12994",1.10212845371935,1,0.270405830824979," g__Steroidobacter"
"ASV13016",1.50507300360532,1,0.132305308798673," c__Gammaproteobacteria"
"ASV13042",-0.408628150596418,1,0.682812568703322," g__Acidibacter"
"ASV1311",-2.35521993616348,1,0.0185117454530028," f__Elsteraceae"
"ASV13158",-2.45095718982652,1,0.0142476897432374," g__JG36-TzT-191"
"ASV13213",-0.125825935569909,1,0.899869711315385," g__SC-I-84"
"ASV13224",-0.0566102364468713,1,0.954855680118093," g__Rhodanobacter"
