"","Treatment W","Treatment q","Treatment p","Taxa"
"ASV1004",7.27364729990553,1.13020560185978e-10,3.49908855064947e-13," g__Sphingomonas"
"ASV10143",6.82552690129188,2.74197962791535e-09,8.76031830004903e-12," g__Paludibaculum"
"ASV1019",4.76684375366813,0.00046970714045505,1.87134318906394e-06," f__Sphingomonadaceae"
"ASV1021",2.68456830587718,0.987680168599854,0.00726235418088128," g__Plot4-2H12"
"ASV1029",2.18757168830843,1,0.0287008159965716," g__Sphingopyxis"
"ASV1032",3.37871168397019,0.125989569837786,0.000728263409466972," g__Novosphingobium"
"ASV10320",-7.51006776529808,1.9324641780889e-11,5.90967638559296e-14," g__Candidatus_Solibacter"
"ASV10357",7.42972380206283,3.5368018844551e-11,1.08824673367849e-13," g__Vicinamibacteraceae"
"ASV10424",-4.93719750648837,0.000203680718970059,7.92531980428247e-07," g__Subgroup_13"
"ASV10436",-2.52549411681069,1,0.0115535715929314," g__Subgroup_12"
"ASV10877",-3.76914268789716,0.0324342270276634,0.000163809227412441," g__Subgroup_2"
"ASV1101",-3.01033475747328,0.41216371941037,0.00260959899665039," o__Rhodospirillales"
"ASV11021",-2.70458279052529,0.936946083502563,0.00683902250731798," g__Candidatus_Koribacter"
"ASV11157",-5.31239976455889,2.92115534674482e-05,1.08190938768327e-07," o__Acidobacteriales"
"ASV11426",-4.61648013801978,0.000956243228035562,3.90303358381862e-06," g__Edaphobacter"
"ASV11477",-4.78063093137459,0.000440399160981059,1.74745906198634e-06," g__Granulicella"
"ASV11590",-5.03518208996468,0.000124122650525041,4.77394809711696e-07," g__Acidipila"
"ASV11666",-5.4490521846556,1.40776294866465e-05,5.0638954987937e-08," g__Acidicapsa"
"ASV11668",-7.19406288293742,2.0188077624727e-10,6.28912075536667e-13," f__Acidobacteriaceae_(Subgroup_1)"
"ASV11683",-6.39029421617456,5.000119768533e-08,1.65566879752748e-10," g__Occallatibacter"
"ASV11742",-3.41595872817541,0.112188814506504,0.000635578790914846," g__Terracidiphilus"
"ASV11769",6.21965955404341,1.48473954020183e-07,4.9823474503417e-10," g__Subgroup_17"
"ASV11825",0.593409026750624,1,0.552907449302511," f__Vicinamibacteraceae"
"ASV11919",2.74358710511103,0.844729727475306,0.00607719228399501," o__Vicinamibacterales"
"ASV11949",-4.44174152306341,0.00213268571889509,8.92337120876609e-06," g__Subgroup_5"
"ASV11982",2.68325790578864,0.987680168599854,0.00729087408096101," g__SJA-28"
"ASV12036",4.06501404482578,0.0102302983276384,4.8029569613326e-05," g__Kapabacteriales"
"ASV12045",0.595791220659122,1,0.55131470944463," f__Gemmatimonadaceae"
"ASV12059",-2.1179026622332,1,0.0341833121063008," g__Roseisolibacter"
"ASV12098",4.40791807411899,0.00246310854798141,1.04369006270399e-05," g__Gemmatimonas"
"ASV12129",7.13460892473792,3.10600723006812e-10,9.70627259396287e-13," g__OLB12"
"ASV12143",15.11651547184,4.32309439401288e-49,1.26037737434778e-51," f__Microscillaceae"
"ASV1215",9.73816454182664,6.98479753400706e-20,2.07264021780625e-22," g__Dongia"
"ASV12181",6.02405634570832,5.0009136875339e-07,1.7009910501816e-09," g__Chryseolinea"
"ASV12194",1.88601829716164,1,0.0592924890483241," g__Ohtaekwangia"
"ASV12203",-2.65913381235609,1,0.00783418410332655," o__Cytophagales"
"ASV12228",4.29044202239789,0.00408347845260995,1.78317836358513e-05," g__Flavobacterium"
"ASV12251",4.44989424324455,0.00206190203285138,8.59125847021407e-06," g__env.OPS_17"
"ASV12290",-1.236153879335,1,0.216401370506777," o__Sphingobacteriales"
"ASV12297",8.36254407939276,2.03167934199435e-14,6.1380040543636e-17," g__KD3-93"
