"","Treatment W","Time_Point W","Treatment_w_Time_Point W","Treatment q","Time_Point q","Treatment_w_Time_Point q","Treatment p","Time_Point p","Treatment_w_Time_Point p","Taxa"
"ASV1004",3.88418352831771,-0.205524624393372,2.31199343471278,0.0337798551758744,1,1,0.000102674331841564,0.837162261231693,0.0207780451146276," g__Sphingomonas"
"ASV10143",1.93132915538665,-0.205524624393377,3.36373943221696,1,1,0.218379256949572,0.0534423600597847,0.837162261231689,0.000768941045597085," g__Paludibaculum"
"ASV1019",1.11897092335069,-0.205524624393366,4.01706996707355,1,1,0.0186796158024176,0.263152543789137,0.837162261231697,5.89262328151975e-05," f__Sphingomonadaceae"
"ASV1021",0.986403308307519,-0.205524624393372,2.06052373885758,1,1,1,0.323935242294562,0.837162261231693,0.039348498831614," g__Plot4-2H12"
"ASV1029",1.30316284603273,-0.205524624393372,1.229637538248,1,1,1,0.192519171571322,0.837162261231692,0.218832866464738," g__Sphingopyxis"
"ASV1032",1.76797849274872,-0.205524624393368,1.35980609305486,1,1,1,0.0770644992412733,0.837162261231696,0.173891293756952," g__Novosphingobium"
"ASV10320",-1.69508900611149,2.87964943102525,-4.76264607037474,1,1,0.000641997869263381,0.0900585374688526,0.00398117582791613,1.91070794423625e-06," g__Candidatus_Solibacter"
"ASV10357",2.48315132724226,-0.20552462439337,4.99015570812382,1,1,0.000204520873621853,0.0130225752602268,0.837162261231694,6.03306411863874e-07," g__Vicinamibacteraceae"
"ASV10424",-1.31766548751561,2.13153525013117,-2.06325576109298,1,1,1,0.187615652661707,0.033045071621712,0.0390883347935943," g__Subgroup_13"
"ASV10436",-1.1669038050485,0.546554906643732,-0.324596148938752,1,1,1,0.243249219118127,0.58468455616125,0.745486742246006," g__Subgroup_12"
"ASV10877",0.666513263614328,1.32964536874264,-4.13942588117946,1,1,0.0111416341054923,0.505083088703459,0.183635142562471,3.48176065796636e-05," g__Subgroup_2"
"ASV1101",-0.202759663993611,2.50261816866375,-1.46353957215515,1,1,1,0.839322886481853,0.0123278463902297,0.143319793702712," o__Rhodospirillales"
"ASV11021",0.645101570723551,0.502692616370485,-3.06653061128122,1,1,0.589039481223399,0.518861366039624,0.615180401712461,0.0021655863280272," g__Candidatus_Koribacter"
"ASV11157",-0.805551184475232,2.04028392878176,-3.88573221537534,1,1,0.0315247726204392,0.42050168219619,0.041322054564364,0.000102021917865499," o__Acidobacteriales"
"ASV11426",-0.491771604847784,1.73566881845096,-3.42558050096279,1,1,0.176070798988133,0.622880812041327,0.0826224099632438,0.000613487104488268," g__Edaphobacter"
"ASV11477",-0.184502489997062,1.91120172257082,-3.60456804564761,1,1,0.0931764120261166,0.853619273955502,0.0559786626094119,0.000312672523577572," g__Granulicella"
"ASV11590",-0.161619244993746,1.66170320869451,-3.68525173832216,1,1,0.068543009552622,0.871605701247607,0.0965722974644402,0.00022847669850874," g__Acidipila"
"ASV11666",-0.799286992302888,1.84245440428753,-3.71742493568016,1,1,0.0605803915669595,0.424124019586703,0.0654087101307545,0.00020126375935867," g__Acidicapsa"
"ASV11668",-2.1885748559788,1.640886145812,-2.76386090331097,1,1,1,0.0286277550171571,0.100821051411877,0.00571218838340535," f__Acidobacteriaceae_(Subgroup_1)"
"ASV11683",-1.87600987727174,1.73832111260452,-3.95462361489872,1,1,0.0240857819986432,0.0606539236126697,0.0821542482645576,7.66552311887434e-05," g__Occallatibacter"
"ASV11742",-0.848521670078799,1.20568390055063,-1.69478124722079,1,1,1,0.396147509307682,0.227939394951016,0.0901169261915663," g__Terracidiphilus"
"ASV11769",1.27317916269234,-0.205524624393364,5.72284515253702,1,1,3.58261198133309e-06,0.202954472955058,0.837162261231699,1.04754736296289e-08," g__Subgroup_17"
"ASV11825",-0.905079503992575,-0.205524624393368,1.7828376617671,1,1,1,0.365423269519976,0.837162261231696,0.0746127330916203," f__Vicinamibacteraceae"
"ASV11919",0.870618316039652,2.59188939468962,1.66542817926173,1,1,1,0.383962592268783,0.00954504535011614,0.095827361329744," o__Vicinamibacterales"
"ASV11949",-1.66791616347682,0.952232622851796,-1.78706606830517,1,1,1,0.0953323705419402,0.340979019662239,0.073926810904264," g__Subgroup_5"
"ASV11982",-0.273007123387662,-0.205524624393375,3.56859157888503,1,1,0.10551818880864,0.784847739838547,0.83716226123169,0.000358905404111021," g__SJA-28"
"ASV12036",1.10884203790156,-0.509024851628984,2.06620713173275,1,1,1,0.267498331963599,0.610734804704226,0.0388089257473068," g__Kapabacteriales"
"ASV12045",0.110150346580898,-0.265411661763118,0.64375968891071,1,1,1,0.912290140248381,0.790692353430103,0.519731277494869," f__Gemmatimonadaceae"
"ASV12059",-0.520281269075454,-1.19860264998915,-0.713668149254113,1,1,1,0.602867549098507,0.230682487291298,0.475432405987866," g__Roseisolibacter"
"ASV12098",1.12959958083536,-0.634759209110457,2.50629932868287,1,1,1,0.258644987718363,0.525585470847227,0.0122002288254574," g__Gemmatimonas"
"ASV12129",4.53384122609523,-0.205524624393373,0.309223472384998,0.00195771541792917,1,1,5.79205744949459e-06,0.837162261231692,0.75715153990628," g__OLB12"
