"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1"," c__Thermoplasmata",0,FALSE,FALSE,FALSE,FALSE
"2"," g__Group_1.1c",0,FALSE,FALSE,FALSE,FALSE
"3"," g__Candidatus_Nitrosotalea",Inf,TRUE,TRUE,TRUE,TRUE
"4"," g__Nitrosotaleaceae",0,FALSE,FALSE,FALSE,FALSE
"5"," g__SCGC_AAA011-D5",Inf,TRUE,TRUE,TRUE,TRUE
"6"," f__Oxalobacteraceae",0,FALSE,FALSE,FALSE,FALSE
"7"," g__Ellin6067",0,FALSE,FALSE,FALSE,FALSE
"8"," f__Sutterellaceae",21,FALSE,FALSE,FALSE,FALSE
"9"," f__Nitrosomonadaceae",Inf,TRUE,TRUE,TRUE,TRUE
"10"," g__GOUTA6",Inf,TRUE,TRUE,TRUE,TRUE
"11"," g__B1-7BS",Inf,TRUE,TRUE,TRUE,TRUE
"12"," g__A21b",0,FALSE,FALSE,FALSE,FALSE
"13"," f__Rhodocyclaceae",Inf,TRUE,TRUE,TRUE,TRUE
"14"," g__IS-44",155,FALSE,TRUE,TRUE,TRUE
"15"," g__MND1",178,TRUE,TRUE,TRUE,TRUE
"16"," g__TRA3-20",0,FALSE,FALSE,FALSE,FALSE
"17"," o__Burkholderiales",1,FALSE,FALSE,FALSE,FALSE
"18"," g__P3OB-51",Inf,TRUE,TRUE,TRUE,TRUE
"19"," g__Burkholderia-Caballeronia-Paraburkholderia",3,FALSE,FALSE,FALSE,FALSE
"20"," g__Pandoraea",2,FALSE,FALSE,FALSE,FALSE
"21"," g__mle1-7",107,FALSE,FALSE,FALSE,FALSE
"22"," f__Comamonadaceae",1,FALSE,FALSE,FALSE,FALSE
"23"," g__PLTA13",Inf,TRUE,TRUE,TRUE,TRUE
"24"," g__Aquicella",1,FALSE,FALSE,FALSE,FALSE
"25"," f__Diplorickettsiaceae",1,FALSE,FALSE,FALSE,FALSE
"26"," g__Obscuribacteraceae",9,FALSE,FALSE,FALSE,FALSE
"27"," g__Plot4-2H12",9,FALSE,FALSE,FALSE,FALSE
"28"," o__Defluviicoccales",75,FALSE,FALSE,FALSE,FALSE
"29"," g__AT-s3-44",163,FALSE,TRUE,TRUE,TRUE
"30"," o__Rhodospirillales",0,FALSE,FALSE,FALSE,FALSE
"31"," g__Inquilinus",10,FALSE,FALSE,FALSE,FALSE
"32"," f__Elsteraceae",14,FALSE,FALSE,FALSE,FALSE
"33"," g__Aliidongia",57,FALSE,FALSE,FALSE,FALSE
"34"," g__URHD0088",13,FALSE,FALSE,FALSE,FALSE
"35"," o__Elsterales",12,FALSE,FALSE,FALSE,FALSE
"36"," g__Reyranella",0,FALSE,FALSE,FALSE,FALSE
"37"," f__Rhodospirillaceae",7,FALSE,FALSE,FALSE,FALSE
"38"," f__Magnetospirillaceae",8,FALSE,FALSE,FALSE,FALSE
"39"," g__Acidocella",0,FALSE,FALSE,FALSE,FALSE
"40"," g__Acidicaldus",8,FALSE,FALSE,FALSE,FALSE
"41"," g__Rhodovastum",0,FALSE,FALSE,FALSE,FALSE
"42"," f__Acetobacteraceae",3,FALSE,FALSE,FALSE,FALSE
"43"," g__Candidatus_Paracaedibacter",2,FALSE,FALSE,FALSE,FALSE
"44","d__Bacteria",2,FALSE,FALSE,FALSE,FALSE
"45"," g__SM2D12",Inf,TRUE,TRUE,TRUE,TRUE
"46"," g__Rhodoplanes",1,FALSE,FALSE,FALSE,FALSE
"47"," f__Xanthobacteraceae",38,FALSE,FALSE,FALSE,FALSE
"48"," g__Pseudolabrys",2,FALSE,FALSE,FALSE,FALSE
"49"," g__Labrys",61,FALSE,FALSE,FALSE,FALSE
"50"," f__Beijerinckiaceae",20,FALSE,FALSE,FALSE,FALSE
"51"," g__Roseiarcus",5,FALSE,FALSE,FALSE,FALSE
"52"," g__Bauldia",2,FALSE,FALSE,FALSE,FALSE
"53"," g__Bradyrhizobium",34,FALSE,FALSE,FALSE,FALSE
"54"," g__Xanthobacteraceae",47,FALSE,FALSE,FALSE,FALSE
"55"," g__Rhodomicrobium",0,FALSE,FALSE,FALSE,FALSE
"56"," f__Methyloligellaceae",Inf,TRUE,TRUE,TRUE,TRUE
"57"," g__Hyphomicrobium",2,FALSE,FALSE,FALSE,FALSE
"58"," g__Pedomicrobium",53,FALSE,FALSE,FALSE,FALSE
"59"," g__KF-JG30-B3",44,FALSE,FALSE,FALSE,FALSE
"60"," g__Micropepsaceae",117,FALSE,FALSE,FALSE,TRUE
"61"," f__Micropepsaceae",5,FALSE,FALSE,FALSE,FALSE
"62"," f__Caulobacteraceae",3,FALSE,FALSE,FALSE,FALSE
"63"," g__Phenylobacterium",0,FALSE,FALSE,FALSE,FALSE
