,Upper Forest Floor,Lower Forest Floor,Upper B Horizon
 c__Acidimicrobiia,FALSE,FALSE,FALSE
 c__Acidobacteriae,FALSE,FALSE,FALSE
 c__Alphaproteobacteria,FALSE,FALSE,FALSE
 c__Anaerolineae,FALSE,FALSE,TRUE
 c__Bacteroidia,FALSE,FALSE,TRUE
 c__Dehalococcoidia,FALSE,FALSE,TRUE
 c__Gammaproteobacteria,FALSE,FALSE,FALSE
 c__Thermoplasmata,FALSE,FALSE,FALSE
 f__Acetobacteraceae,FALSE,FALSE,FALSE
 f__Acidobacteriaceae_(Subgroup_1),FALSE,FALSE,FALSE
 f__Anaerolineaceae,TRUE,TRUE,FALSE
 f__Azospirillaceae,TRUE,FALSE,FALSE
 f__Beijerinckiaceae,FALSE,FALSE,FALSE
 f__Blastocatellaceae,TRUE,FALSE,FALSE
 f__Burkholderiaceae,FALSE,TRUE,FALSE
 f__Caldilineaceae,TRUE,FALSE,FALSE
 f__Caulobacteraceae,FALSE,FALSE,FALSE
 f__Chitinophagaceae,FALSE,FALSE,FALSE
 f__Chthoniobacteraceae,FALSE,FALSE,FALSE
 f__Comamonadaceae,TRUE,TRUE,FALSE
 f__Cyclobacteriaceae,TRUE,FALSE,FALSE
 f__Devosiaceae,TRUE,TRUE,FALSE
 f__Diplorickettsiaceae,FALSE,FALSE,FALSE
 f__Elsteraceae,FALSE,FALSE,FALSE
 f__Fibrobacteraceae,FALSE,TRUE,TRUE
 f__Fimbriimonadaceae,TRUE,FALSE,FALSE
 f__Gemmataceae,FALSE,FALSE,FALSE
 f__Gemmatimonadaceae,FALSE,FALSE,FALSE
 f__Geobacteraceae,FALSE,FALSE,TRUE
 f__Gimesiaceae,FALSE,FALSE,FALSE
 f__Holosporaceae,TRUE,FALSE,FALSE
 f__Hyphomicrobiaceae,TRUE,FALSE,FALSE
 f__Ilumatobacteraceae,TRUE,FALSE,FALSE
 f__Isosphaeraceae,FALSE,FALSE,FALSE
 f__Ktedonobacteraceae,FALSE,FALSE,FALSE
 f__Magnetospiraceae,TRUE,FALSE,FALSE
 f__Magnetospirillaceae,FALSE,FALSE,FALSE
 f__Methylacidiphilaceae,FALSE,FALSE,FALSE
 f__Methyloligellaceae,FALSE,FALSE,TRUE
 f__Micavibrionaceae,TRUE,TRUE,FALSE
 f__Microbacteriaceae,FALSE,TRUE,FALSE
 f__Micropepsaceae,FALSE,FALSE,FALSE
 f__Microscillaceae,TRUE,TRUE,FALSE
 f__Microtrichaceae,TRUE,FALSE,FALSE
 f__Myxococcaceae,FALSE,FALSE,FALSE
 f__Neisseriaceae,FALSE,FALSE,FALSE
 f__Nitrosomonadaceae,TRUE,FALSE,TRUE
 f__Opitutaceae,FALSE,FALSE,FALSE
 f__Oxalobacteraceae,FALSE,FALSE,FALSE
 f__Paracaedibacteraceae,TRUE,FALSE,FALSE
 f__Pedosphaeraceae,FALSE,FALSE,FALSE
 f__Phycisphaeraceae,FALSE,FALSE,TRUE
 f__Pirellulaceae,FALSE,FALSE,FALSE
 f__Polyangiaceae,FALSE,TRUE,FALSE
 f__Reyranellaceae,TRUE,TRUE,FALSE
 f__Rhizobiaceae,TRUE,FALSE,FALSE
 f__Rhizobiales_Incertae_Sedis,TRUE,TRUE,FALSE
 f__Rhodanobacteraceae,FALSE,TRUE,FALSE
 f__Rhodobacteraceae,TRUE,FALSE,FALSE
 f__Rhodocyclaceae,FALSE,FALSE,TRUE
 f__Rhodospirillaceae,FALSE,FALSE,FALSE
 f__Rickettsiaceae,FALSE,FALSE,FALSE
 f__Roseiflexaceae,TRUE,FALSE,FALSE
 f__Sandaracinaceae,TRUE,TRUE,FALSE
 f__Saprospiraceae,TRUE,TRUE,FALSE
 f__Solimonadaceae,FALSE,FALSE,FALSE
 f__Solirubrobacteraceae,FALSE,FALSE,FALSE
 f__Sphingobacteriaceae,TRUE,FALSE,FALSE
 f__Sphingomonadaceae,TRUE,TRUE,FALSE
 f__Spirosomaceae,FALSE,TRUE,FALSE
 f__Steroidobacteraceae,TRUE,FALSE,FALSE
 f__Sutterellaceae,FALSE,FALSE,FALSE
 f__Thermomonosporaceae,FALSE,FALSE,TRUE
 f__Verrucomicrobiaceae,FALSE,TRUE,FALSE
 f__Vicinamibacteraceae,TRUE,FALSE,FALSE
 f__Xanthobacteraceae,FALSE,FALSE,FALSE
 f__Xanthomonadaceae,FALSE,FALSE,TRUE
 g__0319-6G20,FALSE,FALSE,FALSE
 g__0319-7L14,FALSE,FALSE,TRUE
 g__11-24,TRUE,TRUE,FALSE
 g__1921-2,FALSE,FALSE,FALSE
 g__1921-3,FALSE,FALSE,FALSE
 g__1959-1,FALSE,FALSE,TRUE
 g__27F-1492R,TRUE,FALSE,TRUE
 g__37-13,FALSE,FALSE,FALSE
 g__67-14,FALSE,FALSE,TRUE
 g__A0839,TRUE,TRUE,FALSE
 g__A21b,TRUE,TRUE,FALSE
 g__A4b,TRUE,TRUE,FALSE
 g__AAP99,TRUE,FALSE,FALSE
 g__Abditibacterium,FALSE,FALSE,FALSE
 g__Acetobacteraceae,FALSE,TRUE,FALSE
 g__Acidibacter,FALSE,FALSE,FALSE
 g__Acidicaldus,FALSE,FALSE,FALSE
 g__Acidicapsa,FALSE,FALSE,FALSE
 g__Acidiphilium,TRUE,FALSE,FALSE
 g__Acidipila,FALSE,FALSE,FALSE
 g__Acidisoma,FALSE,FALSE,FALSE
 g__Acidisphaera,FALSE,TRUE,FALSE
 g__Acidocella,FALSE,FALSE,FALSE
 g__Acidothermus,FALSE,FALSE,FALSE
 g__Actinospica,FALSE,FALSE,TRUE
 g__AD3,FALSE,FALSE,FALSE
 g__ADurb.Bin063-1,FALSE,FALSE,FALSE
 g__Afipia,TRUE,FALSE,FALSE
 g__AKIW781,TRUE,FALSE,FALSE
 g__AKYH767,FALSE,FALSE,FALSE
 g__Aliidongia,FALSE,FALSE,FALSE
 g__Alkanibacter,TRUE,TRUE,FALSE
 g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,TRUE,FALSE,FALSE
 g__Anaerolineae,FALSE,FALSE,FALSE
 g__Anaeromyxobacter,FALSE,FALSE,FALSE
 g__Aquicella,FALSE,FALSE,FALSE
 g__Aquisphaera,FALSE,FALSE,FALSE
 g__Arenimonas,TRUE,TRUE,FALSE
 g__Armatimonadales,FALSE,FALSE,FALSE
 g__Asticcacaulis,TRUE,FALSE,FALSE
 g__AT-s3-44,FALSE,FALSE,FALSE
 g__B1-7BS,FALSE,FALSE,TRUE
 g__B12-WMSP1,FALSE,FALSE,TRUE
 g__Babeliales,FALSE,FALSE,FALSE
 g__bacteriap25,FALSE,FALSE,TRUE
 g__Bauldia,TRUE,TRUE,FALSE
 g__BD7-11,FALSE,FALSE,FALSE
 g__Bdellovibrio,FALSE,FALSE,FALSE
 g__Berkelbacteria,TRUE,FALSE,FALSE
 g__BIrii41,TRUE,TRUE,FALSE
