"","rab.all","rab.win.Control","rab.win.Treatment ","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
" g__Purpureocillium",-0.00671210971076519,0.465222866806947,-0.292753432689913,-0.778067614183993,5.94518133925603,-0.102450000017926,0.435770052421951,0.667548361550518,0.92150430815206,0.495023659725264,0.844101895776653
" g__Piloderma",10.9093035472908,10.9685746643125,10.7193765000453,-0.387028786461079,5.72902210753633,-0.0644886554709709,0.471590910288959,0.491698237004451,0.884082047425131,0.735468380377894,0.950870786563113
" g__Amanita",10.7251229837669,12.9035188997036,7.82814763524049,-3.55117593343279,6.88516636926821,-0.485316461682908,0.286221601905512,0.0199984000663787,0.374417398543372,0.00872636086711543,0.320120214868277
" g__Cortinarius",13.239995126327,12.4595617261534,14.0768360178565,1.19738727853394,4.79596844374214,0.206371354609285,0.381121367957537,0.464438283696467,0.87961406659336,0.17340700725058,0.729606564476267
" c__Agaricomycetes",3.46290524627818,2.6772866844971,4.18273788845209,1.16047397271651,5.4114504492128,0.189523518625707,0.391335232066915,0.418338401663186,0.831585667025159,0.23400935707148,0.758176457991227
" f__Hydnaceae",-0.0169441638817052,0.456459972479288,-0.322470277324379,-1.05849827497091,5.2543444492857,-0.163851915681154,0.409801140282706,0.258896259867903,0.713704373819454,0.406332026400325,0.784102178748842
" g__Lactifluus",0.974961357768019,0.113334346931595,3.69863499795485,3.54597714440291,10.2370206417275,0.379630164720225,0.334517053266351,0.0251355989609766,0.365260577566168,0.0670093255478215,0.493937714932472
" g__Sistotrema",4.25108814489677,4.73362609708442,4.20612508035322,-0.268326479818377,9.07846346704741,-0.0313787629810968,0.48757984438256,0.73825250674838,0.9406938183561,0.783682008661413,0.958178866732671
" g__Russula",10.3895582969228,11.3671985619459,9.73913134977652,-1.33121592551039,6.68742909402877,-0.176467023146281,0.392476938727923,0.197648781629317,0.744960792322049,0.202703926729452,0.753647611677406
" f__Hyaloscyphaceae",8.72825028712466,11.2862832104216,8.12722617943451,-1.68725117030458,5.88718662414497,-0.28366782696058,0.369056074034609,0.366057612916656,0.834824598790757,0.139705260401982,0.705744874422618
" g__Sebacina",0.371645762448738,1.07280713297571,-0.100192302366166,-1.57024338550315,7.92861624246894,-0.192165885734011,0.396306822736476,0.22846879905105,0.724056866596456,0.290196329810703,0.734938521820392
" o__Helotiales",6.24700599435502,6.43886678361444,6.0943334005031,-0.408969688103519,4.42654315662181,-0.0720254394136259,0.447443184052102,0.549305172898078,0.89506112687518,0.661776465003927,0.932467490911385
" g__Lactarius",2.81733005812615,2.41265421314818,3.14534237574899,0.441452247152805,9.14022579367917,0.0402084552060271,0.477272728230051,0.733576208614956,0.936856809824065,0.709580533343014,0.933791060578353
" g__Cenococcum",6.42919254535975,8.21982663229857,5.43268289523235,-2.73410177418054,7.07893525946004,-0.334353038541072,0.348721597908877,0.109637078294454,0.634244427487868,0.0760020917718193,0.608287944201766
" g__Tricholoma",2.00290096284445,2.91360404865992,1.30042964108767,-1.1857236119797,9.58613249955945,-0.120038658559019,0.436789775427484,0.566178726068693,0.898762821389019,0.503959634993644,0.877592733923346
" g__Inocybe",-0.44414009471858,-0.319011994993661,-0.569002976016652,-0.296281544499434,4.52661691483684,-0.0539187943254182,0.472301137531549,0.516755635924451,0.853212909160579,0.527377563383002,0.868407757391499
" g__Clavulina",0.82807235768114,1.15109061967388,0.635478222142295,-0.171908683253736,9.00420280782291,-0.0159005665507495,0.488999290738777,0.750477551565084,0.941179928314427,0.66679610657665,0.925978261798637
" g__Tylospora",-0.0759851559272171,-0.0761797316007495,-0.0738803761669278,0.148735176619169,5.46188562297352,0.0272401715859068,0.485450674848282,0.608759207384723,0.899318209985714,0.59714132679427,0.891284458088727
" f__Clavulinaceae",3.76023368213387,5.21915279644996,2.4164161456753,-1.8035186681521,8.50806619841031,-0.201990180814322,0.403122786340066,0.281567734024422,0.797798891381166,0.256910224787252,0.78411261327666
" f__Tricholomataceae",0.0291188526838493,-0.29375315734389,0.276147039274536,1.10913123397532,6.34059118573458,0.168541200219796,0.414478357140166,0.221901752773792,0.66366291178999,0.376741071747353,0.778137584016182
" g__Butyriboletus",-0.359780465151974,0.0402425983210186,-0.678418648572152,-1.05883028118986,5.60612546703014,-0.177117147232522,0.408800571738458,0.261912768675817,0.694028835233502,0.374776721676623,0.778548921904569
" g__Byssocorticium",-0.0293651224225373,-0.106187352640033,0.0649112499031634,0.246243733951255,6.86578664483687,0.0320595080152107,0.480482612601909,0.621696663421666,0.906078732951411,0.566414073200534,0.890707707159921
" g__Imleria",1.98375273357158,4.04292690697284,1.20890987056929,-2.10601462925518,8.70284007674681,-0.243918659765844,0.387073868638388,0.247389210474003,0.735805255145231,0.242989424260701,0.736206922812511
" p__Ascomycota",4.44413477661007,4.56883838740338,4.37497809799127,-0.0411340179939756,5.12890141363096,-0.00697532771835776,0.495028409299912,0.749276175069344,0.9449238068471,0.834174228437779,0.966230061892834
" g__Amphinema",-0.623328986427451,-0.576451183750085,-0.656288072878251,0.0675724750477666,4.55778578984935,0.0117138161622368,0.495386799341991,0.508040571525866,0.856685448930862,0.498800608777139,0.866386882667252
" g__Laccaria",0.304970532731478,0.468358694344272,0.178369577000701,-0.0463472557768929,5.51382720101719,-0.00825215153736832,0.495738636542777,0.627110346259579,0.900573114535417,0.64246511679424,0.910518511705989
" g__Hodophilus",-0.365102812452951,-0.666361153919804,-0.021058951570601,0.792078477684628,4.9977937353119,0.131622049974726,0.420865865720741,0.30482499788478,0.739642758970663,0.423460174316577,0.802113181978176
" g__Leotia",-0.289502454764728,-0.288857492997229,-0.289502454764728,-0.370954152006019,6.29831525817539,-0.046757996266275,0.472675657644358,0.552956877859788,0.877988872041319,0.505233927466734,0.853944323163804
" g__Mortierella",8.33868936299729,8.53289644150679,8.15341926632499,-0.391070390992089,2.2929422436735,-0.131300861168997,0.415482958202643,0.799875329767234,0.957646505521168,0.387506729709548,0.853951646975252
" g__Hebeloma",2.10893262662733,-0.0442468458086811,4.3354204549628,4.64508199315576,5.29816723594713,0.812292884597223,0.170454569946288,0.000728382438612976,0.0534130302002086,0.000191114367156541,0.026902708572566
" g__Galerina",0.70695917858224,0.429725093552914,1.01065387276235,0.616345274978913,6.0059030232544,0.0980451541465443,0.456352024557361,0.583775240015903,0.892330127345091,0.563324681560549,0.889597375947023
" g__Gliophorus",-0.610172516189524,-0.664382429624381,-0.535679361722829,0.221864424475574,4.5061429424248,0.0436535835599912,0.477643719889907,0.493826115472092,0.846888059725026,0.525746287199087,0.868291078876181
" g__Tylopilus",0.906969673721115,0.554946759101466,1.29124922293303,0.762241293281384,7.1677091050056,0.0895202463332216,0.450284093019778,0.579275199166911,0.887069598924465,0.569093531688218,0.881927852783893
" g__Umbelopsis",1.98150685925166,3.35392846861959,1.08800697015763,-1.4480537821498,6.04367183270643,-0.213619855935763,0.403122786340066,0.337568445617503,0.787580286534206,0.276288417331952,0.769477479678807
" g__Wilcoxina",-0.403051908678734,-0.453842402834873,-0.35125138040745,0.206590779743766,5.16430626292587,0.0352489518115139,0.48153409168637,0.532973314175753,0.863330765779669,0.510942542163629,0.852170395131276
