"","Intercept::Est","Intercept::SE","Intercept::t.val","Intercept::pval","TreatmentTreatment :Est","TreatmentTreatment :SE","TreatmentTreatment :t.val","TreatmentTreatment :pval","Time_PointSummer:Est","Time_PointSummer:SE","Time_PointSummer:t.val","Time_PointSummer:pval","TreatmentTreatment :Time_PointSummer:Est","TreatmentTreatment :Time_PointSummer:SE","TreatmentTreatment :Time_PointSummer:t.val","TreatmentTreatment :Time_PointSummer:pval","Intercept::pval.holm","TreatmentTreatment :pval.holm","Time_PointSummer:pval.holm","TreatmentTreatment :Time_PointSummer:pval.holm"
" g__Purpureocillium",1.89996527752656,1.72733003097857,1.12335557764471,0.311648302821466,0.688910604517972,2.38096013579582,0.302160074402667,0.663234653184517,-2.38846292597326,2.24706165042004,-1.07081133464376,0.341126627973374,-1.73329274766065,3.08622578802477,-0.573253480381639,0.563115171020382,1,1,1,1
" g__Piloderma",9.41637685627255,1.37643203213331,6.87665269617975,1.77276719418335e-07,-0.836932781425523,1.89728062348642,-0.441782604768763,0.66060914046455,1.82961518071581,1.79058291024111,1.01928929713376,0.31868014956085,-0.0203721839302424,2.45927527273209,-0.00910745726724861,0.883426391372461,3.45078978528224e-05,1,1,1
" g__Amanita",11.3587457199585,1.6379796082205,6.97203728800172,1.32213480404973e-07,-4.44664840196551,2.2577990774641,-1.97951212028645,0.0623123046704477,-0.391322808381804,2.13082682277987,-0.189924356422674,0.825013849226468,1.58322372896376,2.92658311757883,0.548967612624743,0.593894070106756,2.57293211390982e-05,1,1,1
" g__Cortinarius",12.4521998591067,1.31094066419838,9.57841192463509,5.83054731878924e-08,-0.712928744436771,1.8070070026408,-0.412026097541227,0.672136691651401,-1.07583958387748,1.70538602332265,-0.651854515573853,0.524810108351818,2.64044982494635,2.34226164766398,1.14601669394471,0.271777112110675,1.1312733666827e-05,1,1,1
" c__Agaricomycetes",2.84851775473987,1.27637918969998,2.2907752543603,0.0678900104239644,-1.1672922463755,1.7593672976978,-0.678361378650094,0.491916572245238,-1.24819942489119,1.66042544107462,-0.761680436187723,0.460703216706518,3.60743710623733,2.28051055669923,1.60239840410033,0.155070363343685,0.919612713502823,1,1,1
" f__Hydnaceae",-1.12927127083557,1.45644203447174,-0.766400848466606,0.493931056489842,0.20155688582822,2.00756680077519,0.102523736565411,0.6278408966337,3.44211158361271,1.89466690384993,1.84574973882473,0.12501259270525,-3.55939662771613,2.60222938577839,-1.38612028142986,0.248902209016404,1,1,0.975777536321642,0.99455906563667
" g__Lactifluus",-1.23609616416827,2.15581578184212,-0.56954704364818,0.586976168872677,4.76336497741897,2.97158698374373,1.61319392884954,0.149898577695911,2.82946358901656,2.80447330959871,1.014543646856,0.363620013018764,-0.34435504850447,3.85180257439435,-0.0922747636945115,0.732718188704174,1,1,1,1
" g__Sistotrema",5.62521439876645,2.01350183642145,2.81030807930387,0.0116608806086931,-1.07536761887767,2.77542074756565,-0.38868197538732,0.70160082861838,-1.34277994339093,2.61933890949013,-0.514619845609031,0.613736182612536,0.721645785023824,3.59752981789975,0.202387071444402,0.785253422196292,0.835275293045541,1,1,1
" g__Russula",9.61137898462783,1.70259187386798,5.68861162792055,8.66403779082797e-06,-2.54961813844693,2.34686093943088,-1.09253182174683,0.295485409483926,0.48645403220696,2.21488009672251,0.221154548782526,0.806135518454844,1.10021052581572,3.04202604793243,0.362197127616153,0.715887983579381,0.00165753065409388,1,1,1
" f__Hyaloscyphaceae",9.63795045374208,1.34180605971416,7.23533099527129,1.73352394954439e-07,-0.817604360943808,1.84955201429501,-0.454655280761521,0.65140542822746,-0.704793073324006,1.74553842346895,-0.409824013056191,0.674426472311185,-0.418188570569283,2.39740894313735,-0.172815044184608,0.832872314108368,3.35756442341357e-05,1,1,1
