"","rab.all","rab.win.Control","rab.win.Treatment ","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
" g__Purpureocillium",-0.346274773459943,-0.443046991972492,-0.237838241516566,0.309684177544497,7.04731475085693,0.0296422908227113,0.473605949174638,0.738504591683878,0.904920166269029,0.614704507694241,0.853502518243444
" g__Piloderma",3.56433393025206,3.54629435827649,3.5745841476685,0.137375862596413,5.69832332482638,0.0215789855977142,0.485501859404483,0.61906912222311,0.84899808191429,0.811024776065938,0.944317765714008
" g__Amanita",6.77013681571079,5.96812448886679,7.86858970722845,1.59934279219455,6.80540750816401,0.20411257679476,0.407434948653286,0.424509934948784,0.75216736566998,0.317829844439158,0.711707019141421
" g__Cortinarius",9.25671271136393,7.49902284899775,10.9540861717119,2.61000120759171,6.61681405508612,0.366803575388107,0.324907072390084,0.151911619549241,0.538835559510074,0.0521256800592077,0.444421574228314
" c__Agaricomycetes",5.69032530149864,6.26034789557234,3.97161226338589,-1.76294373135894,9.58395392607994,-0.153303718771647,0.418587364447231,0.471700138383137,0.777252918627159,0.377784582947295,0.747583219005906
" f__Hydnaceae",-0.335790617874491,0.431845278954232,-0.903864687764501,-1.26791244087809,4.77118471075607,-0.238781085472445,0.371747218220011,0.264690930440683,0.57830726127052,0.248647799463789,0.585069262420137
" g__Lactifluus",0.482789801527455,-0.0885960329478159,1.2259124567702,1.80667783130595,6.10371597606096,0.246809523332747,0.369516735074558,0.165847481126959,0.520500378716246,0.243306814427193,0.607863311776306
" g__Sistotrema",4.09091589383824,3.06197219833128,7.19029727997581,4.04166816892788,8.85534171241702,0.446621467238871,0.333333341983438,0.0548730943080624,0.407690671168917,0.0696873170789665,0.459621506676884
" g__Russula",9.06575188050036,7.12472898805609,9.37376369159417,2.70244094712676,6.94943960521358,0.366162313541397,0.345724914917702,0.0719755359572437,0.449267338970468,0.0900095324870725,0.492529880218918
" f__Hyaloscyphaceae",4.67350007147368,5.19599478994103,3.75783233625127,-1.32956569573582,4.56090471511548,-0.259142725094797,0.375744053728785,0.118493225123214,0.492368110368258,0.180046480870678,0.593549809842113
" g__Sebacina",9.99940247829993,11.287361466576,8.68183075286336,-2.00534735385502,4.81836769409842,-0.336925432706115,0.354166674020077,0.125958801712438,0.512555521110119,0.0774917452793138,0.476970817507919
" o__Helotiales",3.14512999052329,3.78752087364557,2.07676274014738,-1.34370779214338,4.54523060278379,-0.265186850501109,0.366815482804046,0.178660535294414,0.540295569847386,0.170847098500732,0.573876276572491
" g__Lactarius",0.898968912812844,2.14484775354164,0.169363598405949,-2.28059982810983,8.73050818098752,-0.243165616954864,0.377232148884264,0.192917258869918,0.558318231379835,0.202347745623387,0.576825739612878
" g__Cenococcum",3.68669351244594,3.33985725041915,3.85688230514425,0.158155669994681,6.22501788965031,0.0231031770394705,0.484375000721547,0.605531888538538,0.847112071429495,0.790119258039968,0.938217315053407
" g__Tricholoma",4.86168026419689,4.16368311171791,5.22170094386555,0.171806696191698,8.2361158304555,0.013268413109847,0.494791666906973,0.807558672358104,0.931793643805145,0.847794987920468,0.95975748839649
" g__Inocybe",5.32489993819448,5.5364408010044,3.59451895046671,-1.48369128587443,9.35051704955603,-0.154036573429805,0.441635690458052,0.538595974900369,0.806961067634311,0.553740163248786,0.843660709580023
" g__Clavulina",3.52033876714212,7.94324798416889,1.21961499357381,-3.82093542099118,8.67576529797737,-0.442067529189738,0.325650566764009,0.0587920041053872,0.41595958567406,0.0538019542975761,0.430874610422295
" g__Tylospora",0.761939273632608,8.48631981400572,-0.412802092434015,-7.00245423622731,9.6050578870905,-0.726808593566549,0.243303587509447,0.00341354799379062,0.158704803110033,0.00658892613625093,0.210048909735263
" f__Clavulinaceae",0.212730743768024,0.724334609239243,-0.169264188800198,-1.03370765557895,6.12618964220505,-0.152364725619456,0.416356881287398,0.402939259547121,0.715212124778847,0.421334859376191,0.731232582395437
" g__Clavaria",-0.421366908814899,-0.954899844419999,0.137747441130266,1.64315340874961,6.1170613550721,0.212503094220526,0.374721195748654,0.0929859289060382,0.444406493195785,0.230358281111588,0.579093760480117
" f__Tricholomataceae",-0.75655821553627,-0.861122606955404,-0.668432208388658,0.0645277013186885,4.89289628899625,0.0112102227587423,0.491815476568161,0.48739521806549,0.765461510078747,0.488169439597332,0.78039260638097
" g__Butyriboletus",1.62796523859686,0.380871743581045,5.96435954670209,2.87570439125377,8.94274610675747,0.316830251434118,0.359851308121711,0.1364205028535,0.514280612762997,0.177397695081603,0.571864439752591
