"","Intercept::Est","Intercept::SE","Intercept::t.val","Intercept::pval","TreatmentTreatment :Est","TreatmentTreatment :SE","TreatmentTreatment :t.val","TreatmentTreatment :pval","Time_PointSummer:Est","Time_PointSummer:SE","Time_PointSummer:t.val","Time_PointSummer:pval","TreatmentTreatment :Time_PointSummer:Est","TreatmentTreatment :Time_PointSummer:SE","TreatmentTreatment :Time_PointSummer:t.val","TreatmentTreatment :Time_PointSummer:pval","Intercept::pval.holm","TreatmentTreatment :pval.holm","Time_PointSummer:pval.holm","TreatmentTreatment :Time_PointSummer:pval.holm"
" g__Purpureocillium",4.46757006782089,2.0471157090299,2.21078334368963,0.0573309220463338,-1.95001736926551,2.82175427344379,-0.697444716514352,0.499861570436177,-6.32324763144059,2.7080795355334,-2.35123582565242,0.0396783996742439,2.44782360139783,3.74253271350506,0.656916126603011,0.522676344139707,0.956144697527721,1,0.948809045785258,1
" g__Piloderma",0.839886124448203,1.33666732371204,0.665500343697062,0.517566022790773,2.04600418760355,1.84246875553727,1.117208127358,0.319235893877733,2.90300983376141,1.76824466208416,1.64828666650665,0.140312627085011,-2.41887477938161,2.44369244200474,-0.992441858382071,0.3567420974972,1,1,1,1
" g__Amanita",5.79867839112769,1.60672114754602,3.65368774416449,0.00251532288806761,-0.802525875203956,2.21471226287887,-0.356688101086554,0.704604072941178,-0.284065952289807,2.12549229131754,-0.134314803737934,0.801739409107414,3.55226861782877,2.93740428528142,1.20570875126635,0.249220448673857,0.215359225072027,1,1,1
" g__Cortinarius",6.23298725375508,1.61812333349704,3.89861639838725,0.00240187070714129,2.48942229449523,2.23042909158179,1.1214761928151,0.291668634706729,1.50177798433391,2.140575965532,0.692804503130428,0.50663782501284,-0.44901399899768,2.9582497381002,-0.148243353662886,0.828420756289142,0.150623137852397,1,1,1
" c__Agaricomycetes",5.01423463167836,2.16056641707031,2.34289943415915,0.0363261192496821,-2.52963869053036,2.9781352825026,-0.85512368933723,0.42500253249041,1.91414131166972,2.85816071530295,0.67019300667695,0.521219946876073,1.98576416091467,3.94994306375474,0.510010825475149,0.623499714822557,0.951877879377459,1,1,1
" f__Hydnaceae",-1.39044494934484,1.14997713223348,-1.20323110947301,0.33357558598178,0.337081788209723,1.58513408544952,0.220263411839604,0.51944487078489,2.36974748862579,1.52127675265052,1.59460038966436,0.217642501031328,-2.823538487903,2.10238581931749,-1.36789214198272,0.267100701469506,0.991321486623254,1,0.975442946077931,0.990441699138789
" g__Lactifluus",-0.585215606891765,1.47590047376302,-0.387458195924148,0.608654406206962,0.249250808519093,2.03438840835826,0.142251074600428,0.632333033092172,0.167410008621051,1.95243280672968,0.085467478936736,0.626804466888646,3.4772056033007,2.69823819951696,1.29475887228329,0.267586790206603,1,1,1,0.997049948885015
" g__Sistotrema",4.26176474529062,1.9599811976253,2.19033863335505,0.0472508913897797,2.56586675419655,2.70164763812473,0.954845658979544,0.369073185792569,-1.80105878049844,2.59281141163954,-0.700532119475768,0.498960943939085,1.87700334467587,3.58323357962193,0.527286345721375,0.615016307340048,0.990047495650176,1,1,1
" g__Russula",6.81347991095868,1.68691998756601,4.09586040221003,0.00109220573897186,3.50558725872443,2.32525873494853,1.52298209334155,0.152792002857216,0.311326921770242,2.23158538438191,0.138387693502565,0.806292503549969,-1.19070952217944,3.08402363905611,-0.397012863106688,0.691359085211517,0.111104775778851,1,1,1
" f__Hyaloscyphaceae",3.98282002391582,1.16180181485053,3.51624167254666,0.00827151453749916,-0.464603424615195,1.60143328561666,-0.297273027624401,0.670159537347576,1.56375900026756,1.53691933741901,1.01249977726532,0.340820407416776,-2.11044442253033,2.12400367966897,-0.992273436041871,0.356328522568494,0.343310747700969,1,1,1
" g__Sebacina",9.30156751945755,1.30264892155697,7.21816166549502,4.00773028963605e-07,-0.17720916830624,1.7955776241599,-0.107669690375152,0.860921381263196,1.90091380199488,1.72324254603311,1.10665582534188,0.28075937491047,-3.01336928925737,2.38150006940708,-1.25817394246273,0.218178960035514,6.10409857231636e-05,1,1,1
" o__Helotiales",3.12758192078484,1.17168706287605,2.72780988705171,0.0201075992114718,-2.26486779224661,1.61505915968769,-1.41392614389748,0.217412250808245,0.0970907365427006,1.54999629138087,0.0811345173354771,0.753269625782965,1.26584451594256,2.14207586970368,0.594698637566383,0.559059221455918,0.766080229170594,0.99984114836587,1,1
" g__Lactarius",2.6726764671764,1.92168909328575,1.41422769253916,0.210455126272714,-0.700572254860743,2.64886561482108,-0.270587292866126,0.712380538025521,1.1757149999559,2.54215571900965,0.461501010325248,0.64482597398492,-3.22320177506795,3.51322803351256,-0.918924243409811,0.40242194853221,1,1,1,1
" g__Cenococcum",0.199415741816385,1.36500721567126,0.173350364929817,0.577907261153445,1.37898325800277,1.88153260077676,0.731843739545996,0.481738614716177,3.28450941142555,1.80573481523743,1.8415624160685,0.121489804384471,-1.28142025115893,2.49550337398418,-0.514422202502783,0.566830303681455,1,1,0.979409600837155,1
" g__Tricholoma",3.90116414101544,1.89376402612331,2.08203025093878,0.0684767855104296,-0.695127087759932,2.61037356610383,-0.268093613987473,0.704622999614539,0.941002472568762,2.50521432748135,0.374308892964589,0.675283014183787,1.39076232389756,3.46217548337029,0.403712779979513,0.676566032684173,0.990903614670901,1,1,1
" g__Inocybe",8.2463568398015,1.86351310139384,4.45364095511056,0.000141703939157796,-7.32688301416462,2.56867554397716,-2.85870982858987,0.00935718352412508,-4.53094819577522,2.4651961155994,-1.83988788116706,0.0824016539842982,10.9346996281201,3.40687080522513,3.21725293921317,0.00356605977583371,0.0208933217795302,0.79596587287598,1,0.483515279691913
