"","rab.all","rab.win.Control","rab.win.Treatment ","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
" g__Purpureocillium",-0.317634696017326,0.0219266397354154,-0.619725429705634,-0.658735542089989,6.03811800477955,-0.0755406594825099,0.447265626883597,0.641151936255818,0.873697532216934,0.480878778105759,0.767650483170481
" g__Piloderma",11.8137691153043,12.9076368348499,9.92557971800285,-1.66279957719841,7.56989753922546,-0.198127496637944,0.400780745348082,0.313145670594465,0.725477107627708,0.25646961549853,0.71009594793513
" g__Amanita",7.67980198480699,8.70142950704561,5.00663297866865,-2.42357033247294,7.70858925894555,-0.28783084651077,0.361743661754453,0.157178039644675,0.58041268751309,0.109583940603771,0.52325139604625
" g__Cortinarius",12.4384446159025,12.7523155781801,12.1470252452502,-0.591315684769663,4.78923726396692,-0.108693331769363,0.442057293741135,0.271188310218269,0.704134453977707,0.48958556158738,0.846257495652168
" c__Agaricomycetes",6.3217890901849,6.81339018436112,5.46333394705972,-1.26930010686228,3.77983875943935,-0.285714218518516,0.370852314575605,0.141723052310478,0.555008313077337,0.127512529009347,0.54583907931888
" f__Hydnaceae",-0.252841458121656,0.799920308660637,-0.940286884472856,-2.08294266501189,6.67089326836061,-0.278950344975925,0.336588548128808,0.0701534535766237,0.359159600640602,0.122686418695365,0.427336834260936
" g__Lactifluus",0.751766969805012,-0.0231361339318559,1.95118289200798,1.81394944520647,9.2161389921035,0.191423566987785,0.388671879137363,0.333176379987255,0.723571107795815,0.261463719402248,0.635869860190838
" g__Sistotrema",4.22670996387119,3.21572715018526,5.53674060431846,0.610552668422408,9.75631268091778,0.0669229927799823,0.475911459186151,0.739078171219306,0.920424520191984,0.762010777147509,0.932105858892596
" g__Russula",9.84577953670499,8.73686676651649,10.0618308053658,0.577445344595211,7.23427212053314,0.0839988946318188,0.461288225186427,0.546655180919153,0.855468071418176,0.632033216795954,0.897834438509825
" f__Hyaloscyphaceae",6.22078254317505,6.32724622596498,6.13364943883434,-0.690487790920074,5.51941585756011,-0.107044925664941,0.442420301342761,0.595047525268126,0.861845411749703,0.504433716791853,0.84796370418083
" g__Sebacina",-0.1144850804813,-0.129246316281227,-0.0878111913980204,0.00421251064232919,6.06400128271286,0.000270869304118572,0.5,0.689859039461292,0.898140155703976,0.6188714649346,0.869237271975576
" o__Helotiales",7.83365798634355,7.90321392527773,7.75822020212507,-0.570316170017185,4.0431693791303,-0.142494768955343,0.42968750253363,0.210741184793422,0.659046046946693,0.444230500439093,0.8254031335432
