"","Intercept::Est","Intercept::SE","Intercept::t.val","Intercept::pval","TreatmentTreatment :Est","TreatmentTreatment :SE","TreatmentTreatment :t.val","TreatmentTreatment :pval","Time_PointSummer:Est","Time_PointSummer:SE","Time_PointSummer:t.val","Time_PointSummer:pval","TreatmentTreatment :Time_PointSummer:Est","TreatmentTreatment :Time_PointSummer:SE","TreatmentTreatment :Time_PointSummer:t.val","TreatmentTreatment :Time_PointSummer:pval","Intercept::pval.holm","TreatmentTreatment :pval.holm","Time_PointSummer:pval.holm","TreatmentTreatment :Time_PointSummer:pval.holm"
" g__Purpureocillium",2.51219943352813,1.76990650138046,1.4407479006311,0.201867737850924,-0.243837613100782,2.50302577838456,-0.0974126823874728,0.741920003069324,-3.34807345560029,2.31735157587726,-1.45476522949099,0.192855804267354,-0.692822695564974,3.27723002739228,-0.213863832268513,0.702650217268663,1,1,1,1
" g__Piloderma",9.32630845095406,1.68937738651223,5.56482642545092,9.03196682482128e-05,-0.095133895736165,2.389140411972,-0.0478717842172093,0.839840515206653,2.90155936333927,2.21191421458255,1.3057154359946,0.205787636277718,-2.60456225097235,3.12811908106848,-0.828966916744804,0.419576306209704,0.00993795336646357,1,1,1
" g__Amanita",7.41087669853242,1.7079165102967,4.36824972752118,0.000282831680061635,-1.44334646260172,2.41535869226253,-0.601519375664099,0.562103561269832,1.1909458203701,2.23618762545699,0.531730178065043,0.605837722283249,-1.50327536088035,3.16244686793216,-0.472799166347687,0.637681280600556,0.052624514778366,1,1,1
" g__Cortinarius",11.3701833201669,1.13767439873198,10.0583630754553,7.09586857330305e-11,-0.0902016715924037,1.60891456425142,-0.0402933521331281,0.876592574937055,1.26551230741273,1.48956544240076,0.854977748176212,0.398862957002743,-1.81270440097389,2.10656365068544,-0.878175912270576,0.395562434499662,1.57539017537093e-08,1,1,1
" c__Agaricomycetes",7.6235465007771,0.861691282535135,8.96372800123423,1.64660013779288e-09,-2.88551700488798,1.21861549833985,-2.38116167305773,0.0258865626319654,-2.12326662215332,1.12821872225738,-1.88956259611485,0.0711625507121282,2.87703655156383,1.59554221833963,1.80064191415919,0.0852293719578332,3.64205445608132e-07,0.999010620099627,1,1
" f__Hydnaceae",-0.0192348865092432,1.60696792655033,-0.00178671494603291,0.702695641273755,-1.46498514566499,2.27259583602605,-0.649654342892418,0.5330657499844,3.32578727984799,2.10401490365233,1.60167717049084,0.161760510872713,-2.9810760560881,2.97552641218024,-1.01116593738148,0.352038248024658,1,1,1,1
" g__Lactifluus",1.57428315176391,2.01183184048943,0.804252740835033,0.437018043134728,1.07525193034541,2.84515987403417,0.37187055616296,0.670760499853577,-1.32825592539259,2.63410619844718,-0.511948681669959,0.578555003243075,1.66190965394823,3.72518871057503,0.453222380784742,0.630385587117172,1,1,1,1
" g__Sistotrema",4.3211210985919,2.0010267792032,2.17975361898643,0.0538846107307728,3.70107676557708,2.82987920982092,1.30850548635828,0.211514660902551,0.291666791606083,2.61995905238067,0.108744376319202,0.781606681062379,-5.40316541419245,3.7051816247389,-1.45896875906096,0.168714711609047,0.998502797919934,1,1,1
" g__Russula",8.72913432113579,1.62694753844907,5.40233124899739,1.02998061994243e-05,0.145127807643875,2.3008512741442,0.0650343514076684,0.869977697132971,-1.09653965715751,2.13017435618998,-0.515713081619611,0.616714799337847,1.14242821296859,3.01252146474325,0.378507634892376,0.709115537895734,0.00217426372994846,1,1,1
" f__Hyaloscyphaceae",5.63929250706929,1.29267574049624,4.42708002291228,0.000434132915363712,0.431959163155405,1.82811956396047,0.237944932959055,0.754667341013496,0.602253735091407,1.69250983710203,0.358062946947394,0.702046585801923,-1.80470931355167,2.39357036607957,-0.763517508556946,0.473546547014695,0.0813071728222791,1,1,1
" g__Sebacina",-1.14264070628076,1.59713910902408,-0.70187951022984,0.497689305079068,-0.0522679765626799,2.25869578897834,-0.0245444707434867,0.67817485392257,1.98070840324108,2.09114596070777,0.953951965268558,0.396858868189127,0.0529095826815304,2.95732697853464,0.0142441789720923,0.69037990977973,1,1,1,1
" o__Helotiales",7.82938157017142,0.872904875529548,8.97443411010589,2.43029239459876e-11,0.0968576970534729,1.23447391363548,0.0785034303086161,0.905979357808308,2.07613294331218,1.14290076188862,1.81706428089406,0.0778900172913372,-1.93010371181164,1.61630575790942,-1.19469607519765,0.242019925436027,5.40625066568159e-09,1,1,1
" g__Lactarius",3.30804518056516,1.84881540987161,1.80643933232548,0.102183124618641,1.44527064628891,2.6146198269648,0.554925773837685,0.581153218291745,3.12952380152237,2.42066758906784,1.2963450354876,0.222123871986531,-4.07556082816189,3.42334093445672,-1.19416255289143,0.263110826708879,1,1,1,1
" g__Cenococcum",5.7091244790694,1.20971321099872,4.78562751455612,0.000415116528837122,1.25758117422729,1.7107928295763,0.719801428217305,0.491667716191611,0.816535006457705,1.58388638816849,0.501671717855365,0.6243016448329,-1.26911622000197,2.23995361140602,-0.555412234360767,0.59243073702569,0.0592139227948829,1,1,1
" g__Tricholoma",3.25163414580583,1.44710274819706,2.2887797214001,0.0513799126608223,-4.89950337203752,2.04651233264765,-2.42050794598426,0.0450753615446621,-1.41790391130624,1.89470225199761,-0.751559192931458,0.478325422302113,2.74503097802987,2.67951362143386,1.03885911868752,0.366674245940626,0.950331850559197,0.89985463571836,1,1
" g__Clavulina",-0.910252401311157,1.7308249281429,-0.523333833421843,0.589718515235838,3.96141296402229,2.44775608747313,1.63056752416999,0.150770351334825,0.219504886650279,2.26618178512324,0.100755379698255,0.6895668498787,-1.23428140993214,3.20486501532416,-0.388637225087172,0.636634981747455,1,0.984475034207818,1,1
" g__Tylospora",-1.5330642250021,1.4873619498787,-1.02724073981788,0.390772013446876,3.06652251438114,2.10344744167615,1.4788941083729,0.23407513561708,0.0175997487851132,1.94741392031893,0.00923966912627676,0.607490842137141,-1.31374315875501,2.75405917766919,-0.484301091734145,0.5675771987846,0.989666119168737,0.983867917740538,1,1
" f__Clavulinaceae",4.74382361356541,1.99862961713897,2.39624794898042,0.0335358436324128,-3.52129082941772,2.82648911071848,-1.25100873835639,0.24849509812804,-0.661742243015617,2.61682043049142,-0.253976571672411,0.730148870603123,1.61640491174565,3.70074294309596,0.437966928449934,0.655869036691071,0.972163436466772,1,1,1
" f__Tricholomataceae",-0.258922987295401,1.57364280252098,-0.1518094370902,0.676935890362005,5.023611385786,2.22546699365597,2.28555052237801,0.0540942632631511,0.0749180109555916,2.06038207410709,0.0378372681658314,0.696845777150497,-6.41975245557881,2.91382027287266,-2.22713543150162,0.0600133936945845,1,0.954384076667818,1,0.975636791352136
" g__Byssocorticium",-0.054376589537538,1.52522111850109,-0.0124599496928983,0.675438930152982,1.34009967055086,2.1569883914021,0.626657733286955,0.533821007537641,0.155975380895723,1.99698320773613,0.0733735783315768,0.645979607377662,-1.35633174098715,2.82416073621176,-0.487169154782616,0.540125549014091,1,1,1,1
" g__Imleria",1.56783201783806,1.60408029872725,0.999601002355177,0.368036776659652,0.701657979137121,2.26851211359557,0.314362644004802,0.665080161340918,0.798186371507978,2.10023411134429,0.386459350892699,0.635266966817638,-3.17428147168072,2.9701795644217,-1.08080518887531,0.337577808625893,1,1,1,1
" p__Ascomycota",4.4547582983684,1.10674052449232,4.10216137546718,0.00147038769918284,-0.0569646976662804,1.56516745976495,-0.0458342739543535,0.786625193677476,1.22249012602628,1.44906349376034,0.845614993965121,0.42558303182418,-1.26468579527407,2.04928524561561,-0.610878326736671,0.560166774107347,0.164387486308891,1,1,1
" g__Amphinema",-1.37237281642441,1.23548028326593,-1.11011301746662,0.353053368235154,0.0158186462805698,1.74723297263923,0.010290582067945,0.565596937453799,-0.101926322991635,1.61762340505474,-0.034441234201764,0.562118720644803,0.836552369977015,2.28766495824057,0.360354489704312,0.530074895924748,0.995249960689076,1,1,1
" g__Laccaria",-1.69977375306155,1.2540057524572,-1.33672578641633,0.278609664892805,1.83683576331332,1.77343194241885,1.04742609682592,0.368617856201798,1.15768426570162,1.64187893787005,0.703725549833596,0.49820931276277,-1.92385835107455,2.32196746171056,-0.818401468103566,0.442024219525841,0.994833609468368,1,1,1
" g__Hodophilus",-1.39153820438013,1.05438217538927,-1.34856617088953,0.292136010639383,-0.194742981629776,1.49112157235995,-0.103897568314822,0.522968188397742,-0.367164834433414,1.38051032289529,-0.217767054284868,0.523590290334444,1.52664567251767,1.95233642163458,0.763368801247156,0.453223257002077,0.95998170705397,1,1,0.987448027259327
" g__Leotia",-0.303811718787246,1.54647347033995,-0.186200762160806,0.679798196923888,-0.0593521599964148,2.18704375560494,-0.0267062822892076,0.694900834621144,1.22796486597816,2.0248090680211,0.621035718919811,0.510472701599066,-2.08147352974923,2.86351244521146,-0.737207485426872,0.48685901262155,1,1,1,1
" g__Mortierella",9.07214610038173,0.387430888068305,23.437016370439,3.52918703269295e-26,-0.88556722586127,0.547910016388449,-1.61857618378221,0.12014455681274,0.340072837386383,0.507266106039134,0.670076388025827,0.513066014128261,-0.0624164385609188,0.717382606892732,-0.0861408892725123,0.867104432438422,7.94067082355913e-24,1,1,1
" g__Hebeloma",0.0847361123749567,1.37955299996071,0.0815279986091595,0.663967202040292,5.50398403061259,1.95098256255692,2.85375587229002,0.0176743295450841,0.698836238834956,1.80625887072096,0.395221857825259,0.603943837869813,0.0462467270274749,2.55443579213029,0.00968274100391178,0.689909940739389,1,0.765145068010136,1,1
