feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.g__Hebeloma	Groups	Treatment 	0.0252329831145961	0.00805127001681973	47	16	0.00303230602771759	0.178906055635338
X.g__Amanita	Groups	Treatment 	-0.224662863064414	0.0799663414712499	47	39	0.00731798558190427	0.20081537801789
X.g__Lactifluus	Groups	Treatment 	0.150811269011041	0.0639948170884031	47	15	0.0228553175751387	0.20081537801789
X.f__Hyaloscyphaceae	Groups	Treatment 	-0.109335388734893	0.050009717746733	47	41	0.0340365047487948	0.20081537801789
X.g__Cenococcum	Groups	Treatment 	-0.102264224144949	0.042653894808532	47	33	0.0207172041932816	0.20081537801789
X.g__Lecanicillium	Groups	Treatment 	0.0128315343119151	0.00507562292518257	47	27	0.0150478591184856	0.20081537801789
X.g__Apodus	Groups	Treatment 	0.0112140584619531	0.00454832295503862	47	8	0.0175596998709417	0.20081537801789
X.g__Apiotrichum	Groups	Treatment 	0.00577941267990626	0.00261619615439048	47	5	0.0323016550523312	0.20081537801789
X.o__Sebacinales	Groups	Treatment 	0.00885501109054905	0.00399904737676243	47	6	0.0319179693039788	0.20081537801789
X.f__Herpotrichiellaceae	Groups	Treatment 	0.0177955785529127	0.00762885135538725	47	9	0.0241967270777385	0.20081537801789
X.f__Tricholomataceae	Groups	Treatment 	0.02920335833896	0.0139551509236826	47	7	0.0420495640860175	0.206743690089586
X.p__Basidiomycota	Groups	Treatment 	-0.0235316745455916	0.0110839595730601	47	21	0.0392848639468869	0.206743690089586
X.o__Chaetothyriales	Groups	Treatment 	0.00525481524628032	0.0025822187500735	47	7	0.0477670344456591	0.216788848637991
X.o__GS22	Groups	Treatment 	-0.0076118392040861	0.00393654905695659	47	12	0.0594633982271281	0.250595749671468
X.g__Trechispora	Groups	Treatment 	0.00780128692403532	0.00433040214477807	47	8	0.0783239332666889	0.308074137515643
X.g__Leptobacillium	Groups	Treatment 	0.00570847248439664	0.00346485188174311	47	14	0.106413928007787	0.392401359528714
X.o__Agaricales	Groups	Treatment 	0.0268180629985436	0.0165961672949367	47	10	0.113102093190652	0.392530794014615
X.g__Sebacina	Groups	Treatment 	-0.0723008851487144	0.047192387169905	47	9	0.132511943892115	0.402869792644283
X.g__Imleria	Groups	Treatment 	-0.0338064798929932	0.022302873127363	47	19	0.136566031404842	0.402869792644283
X.g__Solicoccozyma	Groups	Treatment 	0.00996980250358049	0.00640690791271484	47	6	0.126689590135348	0.402869792644283
X.g__Cortinarius	Groups	Treatment 	0.161816769409085	0.110798107322068	47	45	0.151109466994064	0.406614828216225
X.o__Hypocreales	Groups	Treatment 	-0.00978309781646192	0.00690520397890782	47	11	0.163435740949531	0.406614828216225
X.g__Metapochonia	Groups	Treatment 	-0.00715339934538689	0.00507318921094747	47	18	0.165402641986261	0.406614828216225
X.g__Tomentella	Groups	Treatment 	0.00846781001502393	0.00580936219385196	47	5	0.151890700544018	0.406614828216225
X.o__Helotiales	Groups	Treatment 	-0.033888008901239	0.025060579014169	47	39	0.183054392198354	0.432008365588115
X.g__Leotia	Groups	Treatment 	-0.0230493399434504	0.0178130677941225	47	6	0.202282216939757	0.435475567718939
X.g__Mortierella	Groups	Treatment 	-0.0163527172809386	0.0131884189559963	47	45	0.221428254772342	0.435475567718939
X.g__Mycena	Groups	Treatment 	0.0110063550308014	0.00841798455457988	47	29	0.197690434076456	0.435475567718939
X.g__Cladophialophora	Groups	Treatment 	-0.0058655032320601	0.00460030857626266	47	22	0.208844690375055	0.435475567718939
