feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.g__Apodus	Groups	Treatment 	0.0542263486671613	0.0114350173949539	48	19	2.07702328082244e-05	0.00189009118554842
X.g__Hebeloma	Groups	Treatment 	0.07067270126152	0.018608118816878	48	22	0.000426113415505291	0.0193881604054907
X.o__Sebacinales	Groups	Treatment 	0.0576270565829799	0.0174315412486058	48	19	0.00184124367355669	0.0558510580978862
X.g__Clavulina	Groups	Treatment 	0.0703651828088242	0.0253816140738351	48	9	0.00800965382804695	0.118578003851946
X.g__Penicillium	Groups	Treatment 	0.0140480178965691	0.00506674560456425	48	35	0.00800329845769616	0.118578003851946
X.f__Herpotrichiellaceae	Groups	Treatment 	0.027126886397496	0.00933895525357016	48	8	0.00563268278237916	0.118578003851946
X.o__Tremellodendropsidales	Groups	Treatment 	0.0258205297976089	0.00983696532505387	48	10	0.0117274948864562	0.118578003851946
X.o__GS22	Groups	Treatment 	-0.0091475125645071	0.003380798564818	48	10	0.00952780935171177	0.118578003851946
X.g__Ramicandelaber	Groups	Treatment 	-0.00536682815578845	0.00201068887703605	48	6	0.0104707991166461	0.118578003851946
X.g__Umbelopsis	Groups	Treatment 	0.0114800149817952	0.00459171347622786	48	9	0.0160412121396224	0.145975030470564
X.g__Leptobacillium	Groups	Treatment 	-0.0122318740659775	0.00515327371157798	48	23	0.0218470143194743	0.180734391188378
X.g__Galerina	Groups	Treatment 	-0.0617485013595661	0.0266355558111282	48	28	0.0249336159008525	0.189079920581465
X.g__Lachnellula	Groups	Treatment 	0.00983519355358207	0.00443535693430116	48	9	0.0315723728730344	0.205220423674723
X.g__Botryobasidium	Groups	Treatment 	-0.0114955760956999	0.00514600381752409	48	15	0.0303934783397594	0.205220423674723
X.g__Lecanicillium	Groups	Treatment 	0.0202970134716574	0.00943563742018759	48	34	0.0367546442470152	0.209841715605611
X.g__Ascocorticium	Groups	Treatment 	0.00914797413488593	0.00425602148329431	48	13	0.0368952466998876	0.209841715605611
X.g__Apiotrichum	Groups	Treatment 	0.0194885658684298	0.00931223836201853	48	8	0.0419122313699793	0.224353709098124
X.g__Trichoderma	Groups	Treatment 	0.0432599806368255	0.0211636784323366	48	30	0.046696231445808	0.236075392309362
X.g__Mycena	Groups	Treatment 	0.0260962512037415	0.0130440553113721	48	37	0.0513551038000608	0.245963918200291
X.g__Elaphomyces	Groups	Treatment 	0.0102098686332097	0.00524273866081588	48	5	0.0576022323298463	0.2533268376172
X.g__Solicoccozyma	Groups	Treatment 	0.00681066228933024	0.00354967619577386	48	8	0.0612438508525099	0.2533268376172
X.g__Lophium	Groups	Treatment 	0.00582911608617359	0.00302253707578575	48	8	0.0599712645590558	0.2533268376172
X.g__Tricholoma	Groups	Treatment 	-0.0230978525159384	0.0125025583127735	48	11	0.0711187384076267	0.260986873735939
X.g__Tylospora	Groups	Treatment 	0.0591645683462172	0.0320931248562304	48	6	0.0716996905867964	0.260986873735939
X.c__Cystobasidiomycetes	Groups	Treatment 	-0.00723553199922743	0.003881465482208	48	10	0.0686933949600741	0.260986873735939
X.o__GS20	Groups	Treatment 	-0.00951649222362097	0.00535430594870085	48	5	0.0821220935465343	0.283707683818699
X.f__Mortierellaceae	Groups	Treatment 	-0.00665913053909375	0.00377256386915724	48	9	0.0841770050890646	0.283707683818699
X.f__Clavulinaceae	Groups	Treatment 	-0.0743844351659554	0.0442613853778941	48	18	0.0996254989527565	0.302197346823361
X.f__Tricholomataceae	Groups	Treatment 	0.0457610224710608	0.0268327207730397	48	10	0.0948614890258056	0.302197346823361
X.o__GS21	Groups	Treatment 	-0.00689275826912191	0.00409473137277986	48	17	0.0990883393641425	0.302197346823361
X.o__Sporidiobolales	Groups	Treatment 	-0.00490310145721463	0.00295134136090562	48	7	0.103452240405579	0.303682383126053
X.f__Hydnaceae	Groups	Treatment 	-0.095181209858326	0.0610858106533455	48	6	0.126050487656887	0.347593768993235
X.g__Volutella	Groups	Treatment 	0.00322490294358597	0.00204857650775363	48	5	0.122290924346598	0.347593768993235
X.f__Chaetosphaeriaceae	Groups	Treatment 	0.00334668645096593	0.00225273408568774	48	7	0.144203775118637	0.385957162817529
X.p__Mucoromycota	Groups	Treatment 	0.0114790621250146	0.00805902495340899	48	7	0.161087412568869	0.41882727267906
X.g__Spencermartinsiella	Groups	Treatment 	0.01234220141523	0.00892084061768036	48	16	0.173181821408281	0.437765159670933
X.g__Tylopilus	Groups	Treatment 	-0.0141298776280861	0.0106475430968092	48	11	0.191040076264217	0.469855322703885
X.g__Tomentellopsis	Groups	Treatment 	0.0127773758485806	0.00985440237021054	48	20	0.201230204427736	0.481893384287472
X.g__Talaromyces	Groups	Treatment 	-0.00414123364636178	0.00332827223414773	48	9	0.21970699494668	0.512649654875587
X.g__Hyaloscypha	Groups	Treatment 	-0.00565542276694339	0.00469492990363981	48	13	0.23452636743816	0.533547485921815
X.o__Helotiales	Groups	Treatment 	-0.0535419105939997	0.0478259167122824	48	46	0.268731466943737	0.541285708168938
X.g__Leotia	Groups	Treatment 	-0.0145165031514828	0.0130822122741785	48	6	0.272922957869741	0.541285708168938
X.o__Agaricales	Groups	Treatment 	0.0166392407787326	0.0148114298387807	48	19	0.267094267755926	0.541285708168938
X.g__Cladophialophora	Groups	Treatment 	0.00896879709022342	0.00795715374690819	48	33	0.265530206512812	0.541285708168938
X.g__Saitozyma	Groups	Treatment 	0.00446538906681168	0.00388172325601018	48	6	0.255939839167183	0.541285708168938
X.g__Phialea	Groups	Treatment 	0.00597205108853435	0.00538988305092768	48	6	0.273616951382101	0.541285708168938
