feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.g__Tylospora	Groups	Treatment 	-0.217909905522127	0.0654385138396427	44	15	0.00181645816159331	0.0646661873166819
X.g__Solicoccozyma	Groups	Treatment 	-0.0122982169172358	0.00388446395528377	44	12	0.00287573919204481	0.0646661873166819
X.g__Humicolopsis	Groups	Treatment 	-0.0119250271512559	0.00383295415081229	44	15	0.00334480279224217	0.0646661873166819
X.g__Sistotrema	Groups	Treatment 	0.177755882113907	0.0804932326409993	44	26	0.0327330560183868	0.264615147481247
X.g__Lactarius	Groups	Treatment 	-0.0757946838144493	0.0396575836496356	44	14	0.062815595770686	0.264615147481247
X.g__Clavulina	Groups	Treatment 	-0.104085905314672	0.0512931089189783	44	23	0.0488029052692053	0.264615147481247
X.g__Mortierella	Groups	Treatment 	-0.0388624483016855	0.0190016949087645	44	43	0.0471324369286714	0.264615147481247
X.g__Wilcoxina	Groups	Treatment 	0.0642805808298466	0.0337735983597232	44	19	0.0638726218058183	0.264615147481247
X.g__Trichoderma	Groups	Treatment 	-0.0065466541295871	0.00307536410327879	44	9	0.0391841584425059	0.264615147481247
X.g__Apodus	Groups	Treatment 	0.00567104641762069	0.0029179112158417	44	5	0.0586730714314025	0.264615147481247
X.p__Basidiomycota	Groups	Treatment 	-0.0134183904248744	0.00560083613628357	44	12	0.0211180199148032	0.264615147481247
X.o__Tremellales	Groups	Treatment 	-0.00536554692579838	0.00261428005807779	44	6	0.0463968717142923	0.264615147481247
X.g__Entoloma	Groups	Treatment 	0.00493313383501356	0.00212843106456641	44	5	0.0254077997196776	0.264615147481247
X.g__Microglossum	Groups	Treatment 	0.0133271135587144	0.0069355262530218	44	5	0.0614625399040149	0.264615147481247
X.o__Tremellodendropsidales	Groups	Treatment 	0.0121495540547122	0.00690694953086137	44	7	0.085855805288485	0.331975780448809
X.g__Clavaria	Groups	Treatment 	0.118564909825995	0.0705733094578293	44	6	0.100377039093051	0.353668015646927
X.g__Mycena	Groups	Treatment 	0.00898086426138954	0.00544821528627135	44	10	0.106731318554472	0.353668015646927
X.g__Thelephora	Groups	Treatment 	-0.0409116193816857	0.0256593862723607	44	20	0.118342535931236	0.353668015646927
X.g__Hygrocybe	Groups	Treatment 	0.0232759023014284	0.0146557081637772	44	5	0.119746344671063	0.353668015646927
k__Fungi	Groups	Treatment 	-0.00850286951305617	0.00538668726402119	44	11	0.121954488154113	0.353668015646927
X.g__Cortinarius	Groups	Treatment 	0.0825502524549368	0.0544428223950149	44	38	0.136941112141349	0.361026568372648
X.g__Sebacina	Groups	Treatment 	-0.119239187182231	0.0784911337366875	44	41	0.136219403463563	0.361026568372648
X.g__Membranomyces	Groups	Treatment 	-0.0225428460900204	0.0152534521211615	44	6	0.146899098322404	0.370441204465192
X.g__Piloderma	Groups	Treatment 	0.0426488606139614	0.0330319256869409	44	21	0.203716366870239	0.375473802980781
X.g__Lactifluus	Groups	Treatment 	0.0443748004211388	0.0322182807770569	44	11	0.175710399237368	0.375473802980781
