feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.g__Purpureocillium	Time_Point	Summer	-0.126581384475428	0.057561164024864	47	8	0.0331736812459321	0.308754463738588
X.g__Amanita	Treatment	 	-0.224994262250545	0.0806925846010561	47	39	0.00779742254579179	0.308754463738588
X.g__Lactifluus	Treatment	 	0.150081421863516	0.0636166510757468	47	15	0.0228206157122383	0.308754463738588
X.f__Hyaloscyphaceae	Treatment	 	-0.109317571935381	0.0505761431965865	47	41	0.0361429391976185	0.308754463738588
X.g__Cenococcum	Treatment	 	-0.102102781377529	0.0430572844641814	47	33	0.0221670756691417	0.308754463738588
X.f__Tricholomataceae	Treatment	 	0.0295092786174016	0.0132020872365157	47	7	0.0305286999229437	0.308754463738588
X.f__Tricholomataceae	Time_Point	Summer	-0.0336512306285848	0.0134235729328128	47	7	0.0159477379330964	0.308754463738588
X.g__Hebeloma	Treatment	 	0.0252954181836178	0.00807867303118024	47	16	0.00309152502764296	0.308754463738588
X.g__Lecanicillium	Treatment	 	0.0128499054068614	0.00512444377502822	47	27	0.0159204162938242	0.308754463738588
X.g__Apodus	Treatment	 	0.0111732466308879	0.00455150118880192	47	8	0.0181183895741833	0.308754463738588
X.g__Apiotrichum	Treatment	 	0.00575484293996519	0.00261535085428048	47	5	0.0330725519302601	0.308754463738588
X.o__Sebacinales	Treatment	 	0.00881301808519149	0.00398599710911311	47	6	0.0322793542074825	0.308754463738588
X.p__Basidiomycota	Treatment	 	-0.0236697825911344	0.0109810471578701	47	21	0.036631885528307	0.308754463738588
X.f__Herpotrichiellaceae	Treatment	 	0.0177982164943009	0.00771526545593835	47	9	0.0258283832127016	0.308754463738588
X.o__Chaetothyriales	Treatment	 	0.00525142977762158	0.00261092508035377	47	7	0.0504411037861644	0.396803349784493
X.o__GS22	Treatment	 	-0.00766400868085345	0.00388921637302669	47	12	0.0550840259652908	0.406244691494019
X.g__Trechispora	Treatment	 	0.00777157588770467	0.00435263158048935	47	8	0.0810758207211624	0.562761579123363
X.g__Piloderma	Time_Point	Summer	0.105889807290091	0.0737932474233605	47	42	0.158371021422214	0.621249458224312
X.g__Cortinarius	Treatment	 	0.162452380933773	0.1115743424173	47	45	0.152491151170672	0.621249458224312
X.g__Lactifluus	Time_Point	Summer	0.0802831862278099	0.0646839200618682	47	15	0.221122688520518	0.621249458224312
X.o__Helotiales	Treatment	 	-0.0341251701451783	0.0250479476576531	47	39	0.180007152879523	0.621249458224312
X.g__Sebacina	Treatment	 	-0.0730020750131429	0.0463373386032599	47	9	0.122316742124827	0.621249458224312
X.g__Sebacina	Time_Point	Summer	0.0771308850871211	0.0471147200522108	47	9	0.108745835720436	0.621249458224312
X.g__Imleria	Treatment	 	-0.0340251556170887	0.0222721059603969	47	19	0.133743891782002	0.621249458224312
X.g__Leotia	Treatment	 	-0.0232393550830914	0.0177465621809428	47	6	0.197157526087622	0.621249458224312
X.g__Mortierella	Treatment	 	-0.0164795547742181	0.013176619737933	47	45	0.217666280989438	0.621249458224312
X.g__Tylopilus	Time_Point	Summer	0.0243948183556436	0.0161771653590423	47	12	0.138707321418642	0.621249458224312
X.g__Mycena	Treatment	 	0.0109510162856365	0.00846549319192959	47	29	0.202551343755103	0.621249458224312
X.o__Leucosporidiales	Time_Point	Summer	0.0114173400577191	0.00874183165025767	47	29	0.198319735716461	0.621249458224312
X.g__Tomentellopsis	Time_Point	Summer	-0.00639420611784469	0.00409944491014392	47	6	0.125977934188603	0.621249458224312
X.o__Agaricales	Treatment	 	0.0270454911469287	0.0163694290366149	47	10	0.105614432293567	0.621249458224312
X.o__Agaricales	Time_Point	Summer	-0.02501709632236	0.0166440518536898	47	10	0.139966275578356	0.621249458224312
X.o__Hypocreales	Treatment	 	-0.00982515361960988	0.0069497636972962	47	11	0.164475037407152	0.621249458224312
X.g__Metapochonia	Treatment	 	-0.00716435880546618	0.00512761993788193	47	18	0.16935724268725	0.621249458224312
X.g__Tomentella	Treatment	 	0.00840321547682474	0.00578003297599376	47	5	0.153088177273946	0.621249458224312
X.p__Basidiomycota	Time_Point	Summer	0.0151918850097065	0.01116527142728	47	21	0.180557817505864	0.621249458224312
X.g__Cladophialophora	Treatment	 	-0.00591893226079113	0.0045701555968193	47	22	0.202030939022482	0.621249458224312
X.g__Cladophialophora	Time_Point	Summer	0.00587719316041427	0.00464682711673987	47	22	0.212609892677087	0.621249458224312
X.g__Solicoccozyma	Treatment	 	0.00994805212203295	0.00646986375012718	47	6	0.131307785846244	0.621249458224312
X.f__Clavicipitaceae	Treatment	 	-0.00293303561443601	0.00236034019321186	47	6	0.22058506580613	0.621249458224312
X.g__Leptobacillium	Treatment	 	0.00570797993135127	0.0035041444871594	47	14	0.110469350557959	0.621249458224312
X.o__GS22	Time_Point	Summer	0.00573864244440797	0.0039544640706822	47	12	0.153822316705096	0.621249458224312
X.g__Tomentella	Time_Point	Summer	0.00710539920191108	0.00587700208439106	47	5	0.233112912062115	0.639705200542547
X.g__Elaphomyces	Treatment	 	0.0148688325964185	0.0126662547148718	47	10	0.246752723053174	0.661745939097149
X.g__Leotia	Time_Point	Summer	0.0209016653605146	0.0180442885639843	47	6	0.252968517906404	0.663339669176793
X.o__Sebacinales	Time_Point	Summer	0.00461923058933121	0.00405286845523695	47	6	0.260559823781436	0.668392591439336
X.o__Helotiales	Time_Point	Summer	0.0260877368333173	0.0254681662207015	47	39	0.311279561460948	0.675872113381818
X.g__Imleria	Time_Point	Summer	0.0240543296505032	0.022645755430232	47	19	0.293940167250795	0.675872113381818
X.g__Laccaria	Time_Point	Summer	0.00668166899679812	0.00623695869835435	47	6	0.289874750745992	0.675872113381818
X.g__Mortierella	Time_Point	Summer	0.0139521242607525	0.013397678177043	47	45	0.303385983059876	0.675872113381818
X.g__Trichoderma	Treatment	 	0.0084371543059033	0.00758275148061068	47	18	0.271889364846278	0.675872113381818
X.g__Tomentellopsis	Treatment	 	0.00417848399454394	0.00403180506381542	47	6	0.305687064394019	0.675872113381818
X.g__Apiotrichum	Time_Point	Summer	0.00270267139351728	0.00265922746217165	47	5	0.31502513759322	0.675872113381818
X.g__Penicillium	Time_Point	Summer	0.0053046136004631	0.00499421751163717	47	15	0.293962279878952	0.675872113381818
X.o__Tremellales	Treatment	 	0.00405040820296963	0.00377755098825383	47	11	0.289462108343294	0.675872113381818
X.o__Leucosporidiales	Treatment	 	-0.00815901697155527	0.00859759354914551	47	29	0.347809952437046	0.707613351509851
X.g__Apodus	Time_Point	Summer	0.00448930141717254	0.00462785975180328	47	8	0.337319131842681	0.707613351509851
X.g__Saitozyma	Treatment	 	0.00567755801907357	0.00598234962495956	47	13	0.347778233470736	0.707613351509851
k__Fungi	Time_Point	Summer	0.00440620044572021	0.00480396091299201	47	18	0.36403730450822	0.72807460901644
X.g__Galerina	Treatment	 	0.00368166032013308	0.00431657954464591	47	9	0.398327569162737	0.783377552686715
X.g__Hebeloma	Time_Point	Summer	-0.00686785759239452	0.00821420542764241	47	16	0.407619074382233	0.788509029132845
X.g__Cortinarius	Time_Point	Summer	-0.0699172677156609	0.113446176808064	47	45	0.540869893243793	0.825941413930103
X.c__Agaricomycetes	Time_Point	Summer	0.00607910775379287	0.00818800005256053	47	21	0.461765475952527	0.825941413930103
X.g__Sistotrema	Treatment	 	-0.0366883130617475	0.0635977149256344	47	26	0.566959784138461	0.825941413930103
X.g__Tricholoma	Time_Point	Summer	-0.0331157240657779	0.0480327683879027	47	21	0.494166357179669	0.825941413930103
X.g__Clavulina	Treatment	 	0.0356854492503292	0.0459831083647693	47	15	0.441867835140038	0.825941413930103
X.g__Byssocorticium	Time_Point	Summer	0.0134910902403773	0.0231162952072403	47	7	0.562457190863091	0.825941413930103
X.p__Ascomycota	Treatment	 	-0.0162193132373983	0.0227236703111574	47	25	0.479143010195814	0.825941413930103
X.p__Ascomycota	Time_Point	Summer	0.0161969512822554	0.0231048954804149	47	25	0.486982716346373	0.825941413930103
X.g__Galerina	Time_Point	Summer	0.00272358183835052	0.00438899692902915	47	9	0.538098458777883	0.825941413930103
X.g__Tylopilus	Treatment	 	0.0118654180325474	0.0159102460558438	47	12	0.459770892085653	0.825941413930103
X.g__Trechispora	Time_Point	Summer	0.00326821399637135	0.00442565379425439	47	8	0.464149649693614	0.825941413930103
