feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.g__Tylospora	Treatment	 	-0.217944631070748	0.0662273759011425	44	15	0.00205934600816492	0.0801968199492546
X.g__Mortierella	Time_Point	Summer	0.0576462957221295	0.0171774244054318	44	43	0.00171439056901734	0.0801968199492546
X.g__Humicolopsis	Treatment	 	-0.0118679626800914	0.00360913101910435	44	15	0.00207405568834279	0.0801968199492546
X.g__Solicoccozyma	Treatment	 	-0.0122733327186228	0.0038823564503611	44	12	0.00295173600639597	0.0856003441854832
X.g__Purpureocillium	Time_Point	Summer	-0.292687986681218	0.102608330388825	44	7	0.00676718033778611	0.156998583836638
X.g__Humicolopsis	Time_Point	Summer	0.00918737985748942	0.00363939679860581	44	15	0.0155546997174561	0.300724194537485
X.p__Basidiomycota	Treatment	 	-0.0134423184265814	0.00563735320818605	44	12	0.0218106431970496	0.316254326357219
X.g__Entoloma	Treatment	 	0.00496151780414483	0.00203469479961703	44	5	0.0191693643180643	0.316254326357219
X.c__Agaricomycetes	Time_Point	Summer	0.190889254323997	0.0903188484177342	44	28	0.0406877840209865	0.344782982719052
X.g__Sistotrema	Treatment	 	0.177335071326824	0.0807920106479872	44	26	0.0338856000509906	0.344782982719052
X.g__Clavulina	Treatment	 	-0.104232778805239	0.0517865507111404	44	23	0.0507410350624762	0.344782982719052
X.g__Mortierella	Treatment	 	-0.0385043967754611	0.0170345743211384	44	43	0.0291738108748602	0.344782982719052
X.g__Umbelopsis	Time_Point	Summer	0.0379854556531328	0.0184479121581664	44	34	0.0458779218196779	0.344782982719052
X.g__Trichoderma	Treatment	 	-0.00653364617451827	0.0030957583926047	44	9	0.0409587268990322	0.344782982719052
X.o__Leucosporidiales	Time_Point	Summer	0.00501062064212061	0.00245756383122785	44	5	0.0479469042239839	0.344782982719052
X.g__Apodus	Treatment	 	0.00569333989873987	0.00290055223632365	44	5	0.0564730747557068	0.344782982719052
X.o__Tremellales	Treatment	 	-0.00533955947821272	0.00256544988963387	44	6	0.0436886647144384	0.344782982719052
X.g__Entoloma	Time_Point	Summer	0.0045698190301334	0.00205175752852103	44	5	0.0314795663876647	0.344782982719052
X.g__Microglossum	Treatment	 	0.0134037943041616	0.00675431911169824	44	5	0.0539226209471176	0.344782982719052
X.g__Lactarius	Treatment	 	-0.0758212988809426	0.0401335999109471	44	14	0.065948543313322	0.364131261040505
X.g__Wilcoxina	Treatment	 	0.0640773019549219	0.0338057776962077	44	19	0.0650969623951291	0.364131261040505
X.g__Thelephora	Time_Point	Summer	0.0462184654772862	0.0251743496930274	44	20	0.0736266158779385	0.364131261040505
X.o__Atheliales	Time_Point	Summer	-0.022391975718118	0.0124382812763042	44	5	0.0791821387165653	0.364131261040505
X.o__Tremellodendropsidales	Treatment	 	0.0120742570719998	0.00673396943573511	44	7	0.0803463799839547	0.364131261040505
X.o__Tremellodendropsidales	Time_Point	Summer	-0.0121228142166916	0.00679043976973871	44	7	0.0816156274745958	0.364131261040505
X.g__Microglossum	Time_Point	Summer	0.0123456000169909	0.0068109600958673	44	5	0.077219130701255	0.364131261040505
