feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.g__Apodus	Treatment	 	0.0542263486671613	0.010965259163842	48	19	1.10349348474291e-05	0.00200835814223209
X.g__Hebeloma	Treatment	 	0.07067270126152	0.0187522856218255	48	22	0.000475072753334822	0.0432316205534688
X.o__Sebacinales	Treatment	 	0.0576270565829799	0.0173413662141766	48	19	0.00177533927900056	0.0814575649119787
X.o__Tremellales	Time_Point	Summer	0.0201542442253297	0.00607022689466816	48	24	0.00179027615191162	0.0814575649119787
X.g__Clavulina	Treatment	 	0.0703651828088242	0.0256021886860453	48	9	0.00858751199461718	0.203818393586295
X.g__Penicillium	Treatment	 	0.014048017896569	0.0049611879933323	48	35	0.00690280835908028	0.203818393586295
X.f__Herpotrichiellaceae	Treatment	 	0.027126886397496	0.00941985947455215	48	8	0.0060730529903718	0.203818393586295
X.o__GS22	Treatment	 	-0.0091475125645071	0.00340495588692367	48	10	0.0100789315509706	0.203818393586295
X.g__Ramicandelaber	Treatment	 	-0.00536682815578845	0.00197220283183928	48	6	0.00921535782616269	0.203818393586295
X.o__Tremellodendropsidales	Treatment	 	0.0258205297976089	0.00976077972142264	48	10	0.0112003177484452	0.203845783021702
X.g__Purpureocillium	Time_Point	Summer	-0.176301847674008	0.0685730830628281	48	6	0.0135175115951071	0.223653373664499
X.g__Umbelopsis	Treatment	 	0.0114800149817952	0.00461992899101327	48	9	0.0167444396910085	0.234422155674119
X.f__Chaetosphaeriaceae	Time_Point	Summer	0.00544033438508274	0.00216288805275238	48	7	0.0155321818576719	0.234422155674119
X.g__Galerina	Treatment	 	-0.0617485013595661	0.0259907985708102	48	28	0.0218302965336923	0.280366020049922
X.g__Leptobacillium	Treatment	 	-0.0122318740659775	0.00520056598751106	48	23	0.023107089564554	0.280366020049922
X.f__Tricholomataceae	Time_Point	Summer	-0.0596555552895686	0.0260372636076107	48	10	0.0266894399411865	0.286878269753483
X.g__Apodus	Time_Point	Summer	0.0249308435338121	0.0111208025238263	48	19	0.02994883035888	0.286878269753483
X.g__Lachnellula	Treatment	 	0.00983519355358207	0.0043583638059279	48	9	0.0289355330675869	0.286878269753483
X.g__Botryobasidium	Treatment	 	-0.0114955760956999	0.00512143838692481	48	15	0.0297562821171217	0.286878269753483
X.p__Basidiomycota	Time_Point	Summer	0.0277459618360754	0.0126469823688832	48	31	0.0334496839175902	0.304392123650071
X.g__Lecanicillium	Treatment	 	0.0202970134716574	0.00951011747685618	48	34	0.0383052297116448	0.321821155964264
X.g__Ascocorticium	Treatment	 	0.00914797413488593	0.00430007487857229	48	13	0.0389014584132627	0.321821155964264
X.g__Apiotrichum	Treatment	 	0.0194885658684298	0.00930352459444279	48	8	0.041853794586495	0.331190896293135
X.g__Trichoderma	Treatment	 	0.0432599806368255	0.0209100410428345	48	30	0.0443324851851367	0.336188012653953
X.o__Helotiales	Time_Point	Summer	0.0891260945656159	0.047206254594195	48	46	0.0654818197132121	0.372753603435279
X.g__Tricholoma	Treatment	 	-0.0230978525159384	0.0126374889204961	48	11	0.0742257379663284	0.372753603435279
X.g__Tylospora	Treatment	 	0.0591645683462172	0.0323829846811225	48	6	0.074332553083777	0.372753603435279
X.g__Galerina	Time_Point	Summer	-0.0479609612951726	0.0263594807950945	48	28	0.075492534270699	0.372753603435279
X.g__Mycena	Treatment	 	0.0260962512037415	0.0131030398236965	48	37	0.0525031976574676	0.372753603435279
X.g__Elaphomyces	Treatment	 	0.0102098686332097	0.00526962222843001	48	5	0.0589762682288038	0.372753603435279
X.g__Solicoccozyma	Treatment	 	0.00681066228933023	0.00357644015895469	48	8	0.0632744079838629	0.372753603435279
X.o__GS20	Treatment	 	-0.00951649222362097	0.00521506830031652	48	5	0.0746728679842105	0.372753603435279
X.o__GS20	Time_Point	Summer	-0.00987948830333754	0.00528904459525478	48	5	0.0682939776403783	0.372753603435279
X.c__Cystobasidiomycetes	Treatment	 	-0.00723553199922743	0.00388812119873676	48	10	0.0692946972084902	0.372753603435279
X.g__Hyphodiscus	Time_Point	Summer	0.00562546953438842	0.00309491822667272	48	10	0.0757795787203589	0.372753603435279
X.g__Rhizosphaera	Time_Point	Summer	0.00507830730529937	0.00265023613745475	48	8	0.0617085855365536	0.372753603435279
X.g__Lophium	Treatment	 	0.00582911608617359	0.00303711963522571	48	8	0.061302255393186	0.372753603435279
X.f__Tricholomataceae	Treatment	 	0.0457610224710608	0.0256730881393702	48	10	0.0814231507619499	0.389262341282093
X.f__Mortierellaceae	Treatment	 	-0.00665913053909375	0.00378795412102665	48	9	0.0855521629191414	0.389262341282093
X.f__Entolomataceae	Time_Point	Summer	0.00654243477284109	0.00370290815877304	48	11	0.0840374784897317	0.389262341282093
X.g__Penicillium	Time_Point	Summer	0.00868331542506602	0.00503156296928739	48	35	0.0912505142905037	0.405063258557846
X.f__Clavulinaceae	Treatment	 	-0.0743844351659554	0.0445643565903812	48	18	0.102032057348359	0.425382969496591
X.o__GS21	Treatment	 	-0.00689275826912191	0.00413953055462665	48	17	0.102839838779396	0.425382969496591
X.g__Ramicandelaber	Time_Point	Summer	-0.00335459696063063	0.00200017873741992	48	6	0.100447507821594	0.425382969496591
X.o__Sporidiobolales	Treatment	 	-0.00490310145721463	0.00297379722178181	48	7	0.106160295707549	0.429359418194978
X.g__Lachnellula	Time_Point	Summer	0.00718139841927717	0.00442018765708168	48	9	0.111215082586802	0.44002489197387
X.g__Spencermartinsiella	Time_Point	Summer	0.0143122124346953	0.0088950642316727	48	16	0.114609097086544	0.443805439781936
X.f__Hydnaceae	Treatment	 	-0.095181209858326	0.0605103863448955	48	6	0.122730460578609	0.449868862539037
X.g__Volutella	Treatment	 	0.00322490294358597	0.00205479954559658	48	5	0.123549119283609	0.449868862539037
