"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1"," g__Purpureocillium",Inf,TRUE,TRUE,TRUE,TRUE
"2"," g__Piloderma",0,FALSE,FALSE,FALSE,FALSE
"3"," g__Amanita",33,FALSE,FALSE,FALSE,TRUE
"4"," g__Cortinarius",0,FALSE,FALSE,FALSE,FALSE
"5"," c__Agaricomycetes",0,FALSE,FALSE,FALSE,FALSE
"6"," f__Hydnaceae",Inf,TRUE,TRUE,TRUE,TRUE
"7"," g__Lactifluus",25,FALSE,FALSE,FALSE,FALSE
"8"," g__Sistotrema",0,FALSE,FALSE,FALSE,FALSE
"9"," g__Russula",1,FALSE,FALSE,FALSE,FALSE
"10"," f__Hyaloscyphaceae",0,FALSE,FALSE,FALSE,FALSE
"11"," g__Sebacina",1,FALSE,FALSE,FALSE,FALSE
"12"," o__Helotiales",0,FALSE,FALSE,FALSE,FALSE
"13"," g__Lactarius",0,FALSE,FALSE,FALSE,FALSE
"14"," g__Cenococcum",1,FALSE,FALSE,FALSE,FALSE
"15"," g__Tricholoma",1,FALSE,FALSE,FALSE,FALSE
"16"," g__Clavulina",0,FALSE,FALSE,FALSE,FALSE
"17"," g__Tylospora",Inf,TRUE,TRUE,TRUE,TRUE
"18"," f__Clavulinaceae",0,FALSE,FALSE,FALSE,FALSE
"19"," f__Tricholomataceae",Inf,TRUE,TRUE,TRUE,TRUE
"20"," g__Butyriboletus",Inf,TRUE,TRUE,TRUE,TRUE
"21"," g__Byssocorticium",Inf,TRUE,TRUE,TRUE,TRUE
"22"," g__Imleria",0,FALSE,FALSE,FALSE,FALSE
"23"," p__Ascomycota",0,FALSE,FALSE,FALSE,FALSE
"24"," g__Laccaria",1,FALSE,FALSE,FALSE,FALSE
"25"," g__Leotia",Inf,TRUE,TRUE,TRUE,TRUE
"26"," g__Mortierella",1,FALSE,FALSE,FALSE,FALSE
"27"," g__Hebeloma",47,TRUE,TRUE,TRUE,TRUE
"28"," g__Galerina",0,FALSE,FALSE,FALSE,FALSE
"29"," g__Tylopilus",0,FALSE,FALSE,FALSE,FALSE
"30"," g__Umbelopsis",1,FALSE,FALSE,FALSE,FALSE
"31"," g__Trechispora",0,FALSE,FALSE,FALSE,FALSE
"32"," g__Lecanicillium",3,FALSE,FALSE,FALSE,FALSE
"33"," o__Agaricales",0,FALSE,FALSE,FALSE,FALSE
"34"," g__Mycena",6,FALSE,FALSE,FALSE,FALSE
"35"," f__Boletaceae",Inf,TRUE,TRUE,TRUE,TRUE
"36"," g__Trichoderma",1,FALSE,FALSE,FALSE,FALSE
"37"," o__Leucosporidiales",17,FALSE,FALSE,FALSE,FALSE
"38"," g__Apodus",Inf,TRUE,TRUE,TRUE,TRUE
"39"," g__Tomentellopsis",0,FALSE,FALSE,FALSE,FALSE
"40"," g__Apiotrichum",Inf,TRUE,TRUE,TRUE,TRUE
"41"," p__Basidiomycota",10,FALSE,FALSE,FALSE,FALSE
"42"," o__Hypocreales",1,FALSE,FALSE,FALSE,FALSE
"43"," g__Metapochonia",1,FALSE,FALSE,FALSE,FALSE
"44"," p__Chytridiomycota",0,FALSE,FALSE,FALSE,FALSE
"45"," g__Pseudotomentella",Inf,TRUE,TRUE,TRUE,TRUE
