"","Treatment W","Time_Point W","Treatment_w_Time_Point W","Treatment q","Time_Point q","Treatment_w_Time_Point q","Treatment p","Time_Point p","Treatment_w_Time_Point p","Taxa"
"ASV1",0.395858303530199,-1.27690100269433,-0.610820116273634,1,1,1,0.692209562594076,0.201637200110649,0.541318674396515," g__Purpureocillium"
"ASV10",-1.07320856698394,0.290271459797729,0.355163772656086,1,1,1,0.283177547751236,0.771608571123041,0.722466903018084," g__Russula"
"ASV1037",0.0307343072553743,-0.641491344483814,0.0176272843103478,1,1,1,0.975481430845157,0.521203502671985,0.985936190324187," g__Entocybe"
"ASV1038",-0.645774157399421,-0.148471002779788,0.541963610702167,1,1,1,0.51842562653105,0.881971068734751,0.587843574361839," g__Aspicilia"
"ASV1069",-0.0562723930713974,-1.14699110488629,-0.160518687980263,1,1,1,0.955124811113684,0.251385297238745,0.872472501619522," g__Malassezia"
"ASV107",3.25376571322037,-0.932947185107613,-0.0764251783851654,0.0979420998934743,1,1,0.00113886162666831,0.350847238209588,0.939080838726966," g__Hebeloma"
"ASV112",0.683771044667006,0.320493512316058,-0.324387081629592,1,1,1,0.494119753442163,0.74859424764201,0.745644998803076," g__Galerina"
"ASV120",0.641989664236632,0.706752210269304,0.00884503200956572,1,1,1,0.520879893946468,0.479720477733693,0.992942777539699," g__Tylopilus"
"ASV121",-0.552573775157869,0.384088201557722,-0.0584190761699417,1,1,1,0.580555303658219,0.700913075870782,0.953414820134179," g__Umbelopsis"
"ASV1238",-0.478082890866388,-0.863861059977436,1.13584905581979,1,1,1,0.632591208916515,0.387664220321778,0.256019742324489," o__GS23"
"ASV1264",0.926089317989829,0.0559237289675712,-1.10656410230416,1,1,1,0.354399564807431,0.955402567425093,0.268482434920653," g__Ganoderma"
"ASV148",0.682337577754818,0.933308702828467,-0.357295530599537,1,1,1,0.495025516919006,0.35066060302488,0.720870575540276," g__Trechispora"
"ASV15",-0.6085868732181,-0.410479432899773,-0.209588048085851,1,1,1,0.542798307501583,0.681454287729681,0.833989208710722," f__Hyaloscyphaceae"
"ASV151",1.55294724627541,0.569997274520246,-0.468963299295324,1,1,1,0.120435738172139,0.568679546646984,0.639095869400325," g__Lecanicillium"
"ASV16",-1.05856710856882,1.57031164591335,-0.475378889955497,1,1,1,0.289796972987383,0.116342626131743,0.634516938183626," g__Sebacina"
"ASV165",2.04723471737741,0.588879881080661,-1.72971336920816,1,1,1,0.0406350442151189,0.55594185484064,0.0836814988868244," o__Agaricales"
"ASV166",1.72992317334617,0.428625161031218,0.0531284030414213,1,1,1,0.0836440023924773,0.668196031815055,0.957629601050312," g__Mycena"
"ASV168",1.20988545553628,-0.539188482628901,0.570756834718492,1,1,1,0.226322848970981,0.589756806609022,0.56816448673998," f__Boletaceae"
"ASV18",-0.841354862175356,0.184254562937432,0.491656956522198,1,1,1,0.40014916441374,0.853813757102772,0.622961871795185," o__Helotiales"
"ASV185",1.37850347491561,2.52047377373205,-1.02671509331822,1,1,1,0.16804789572843,0.0117196971450568,0.304554640049977," g__Trichoderma"
