"","Treatment W","Time_Point W","Treatment_w_Time_Point W","Treatment q","Time_Point q","Treatment_w_Time_Point q","Treatment p","Time_Point p","Treatment_w_Time_Point p","Taxa"
"ASV1",-0.577694021009228,-2.07731600384303,0.674852229292422,1,1,1,0.56347071653564,0.0377724029398951,0.499769653434919," g__Purpureocillium"
"ASV10",1.71617653006068,0.247571291035091,-0.574223969811852,1,1,1,0.0861297374750011,0.804466125748478,0.565816250966014," g__Russula"
"ASV107",-0.037235354334785,-0.34864111266386,3.05714898301426,1,1,0.149713633249762,0.970297349465761,0.727358758602387,0.00223453183954869," g__Hebeloma"
"ASV1142",-0.841283841280487,-1.57876548242172,1.75200905018268,1,1,1,0.40018894080887,0.114389858684871,0.0797722517397286," g__Gyoerffyella"
"ASV120",-1.16725891875376,-0.0767582991366313,0.407175531068397,1,1,1,0.24310582351999,0.93881582528826,0.683879071750159," g__Tylopilus"
"ASV121",0.473938483931531,1.74854368679468,-0.527687233782645,1,1,1,0.635543775160135,0.0803699277252066,0.597716435321641," g__Umbelopsis"
"ASV138",1.06387308822975,-0.950662423204048,0.906840284546128,1,1,1,0.287386195825706,0.341775769299093,0.364491263340276," g__Wilcoxina"
"ASV1485",-0.49627009559645,0.062350702797143,0.103399948414625,1,1,1,0.619703861901483,0.950283551995913,0.917645553087248," g__Calcarisporiella"
"ASV149",0.680756910127745,0.667405567311452,0.424818419799605,1,1,1,0.49602531951381,0.504513110716757,0.670969048860781," o__GS25"
"ASV15",-0.354268598513197,1.11683253705951,-0.941743241243974,1,1,1,0.723137598431391,0.264065934115372,0.346324110677674," f__Hyaloscyphaceae"
"ASV151",0.612179332758827,1.49475804561143,-0.655361171849673,1,1,1,0.540419113868821,0.134977599303064,0.512235244409791," g__Lecanicillium"
"ASV16",-0.318362651393184,1.51747835226009,-1.22254528635733,1,1,1,0.750209865430227,0.129145954990516,0.2215014892583," g__Sebacina"
"ASV165",1.38105456846397,1.749546900665,-0.887801408020685,1,1,1,0.167262183026208,0.0801965291218571,0.37464758541342," o__Agaricales"
"ASV166",0.486365915118975,-1.26479773305898,0.790859643470296,1,1,1,0.626707752497234,0.20594384424376,0.429025900537448," g__Mycena"
"ASV178",-0.923525378612268,1.60407394772461,-0.791137509799648,1,1,1,0.355733481087638,0.108697753667076,0.428863752546853," g__Thelephora"
"ASV18",-1.63491819846819,0.891489342448998,0.356844240296751,1,1,1,0.102066196950481,0.372666706566843,0.721208414728478," o__Helotiales"
"ASV185",-0.659376770549374,1.14349266235981,-0.91705058852183,1,1,1,0.509653855127029,0.252834099512903,0.359116131616149," g__Trichoderma"
"ASV19",-0.452612030205722,0.447510703156884,-0.874286465127314,1,1,1,0.65082813454578,0.654506361673487,0.381962268352472," g__Lactarius"
"ASV193",-0.509913243595169,0.915009350498454,-0.264475904355639,1,1,1,0.61011224326767,0.360186721366179,0.791413229526011," o__Leucosporidiales"
"ASV2",1.05752631575579,2.38901941203271,-0.789712832184061,1,1,1,0.290271450987263,0.0168934097312578,0.429695495524988," g__Piloderma"
"ASV204",-0.670077265440485,-1.73124046771595,0.970581081803319,1,1,1,0.502808536734747,0.0834088844514437,0.331756930449165," o__Atheliales"
"ASV209",-0.63042876012647,0.659941622875501,-0.701413850813998,1,1,1,0.528414098970641,0.509291292276789,0.483044780571533," f__Inocybaceae"
"ASV213",0.904743466340394,-0.348641112663862,1.49523297588241,1,1,1,0.365601307956455,0.727358758602386,0.134853650219394," g__Apodus"
"ASV223",2.08693371681295,-0.34864111266386,-1.04670809429093,1,1,1,0.0368941265725613,0.727358758602387,0.295234229398433," g__Tomentellopsis"
"ASV239",-1.04238911019276,-0.290837950626583,-0.447159046582174,1,1,1,0.297231313243496,0.771175258912819,0.654760228406822," p__Basidiomycota"
"ASV25",0.825409762238942,2.43246161450278,-0.404707137947005,1,0.974777764543746,1,0.409138994429194,0.0149965809929807,0.685692794738842," g__Cenococcum"
"ASV252",-1.259541076384,0.0830600520054367,-0.0188867185268049,1,1,1,0.207834963283958,0.933803789924017,0.98493147473282," o__Hypocreales"
"ASV29",-0.462926224756249,0.396032217285533,0.522888818268601,1,1,1,0.643417249179562,0.692081261238274,0.601051626357152," g__Tricholoma"
"ASV299",-1.12375207719057,-0.385542026053591,0.172010911874292,1,1,1,0.261118216910729,0.699835876062589,0.863428950427858," g__Hydnotrya"
"ASV3",-0.0731794606306274,0.148245323250895,0.955809823979993,1,1,1,0.941663310600826,0.882149164168666,0.339168324138069," g__Amanita"
"ASV315",0.634431982216294,-0.348641112663858,1.86941399359294,1,1,1,0.525798943056295,0.727358758602389,0.0615652391890305," g__Elaphomyces"
"ASV33",-3.28556304246109,-1.95257740360684,3.58151513332736,0.0681917716362528,1,0.0232292995459054,0.00101778763636198,0.0508696908516605,0.000341607346263315," g__Inocybe"
"ASV332",0.622152320070485,-0.0623821609836304,-0.0429513305955612,1,1,1,0.533841714581187,0.950258500761298,0.965740330577873," g__Suillellus"
"ASV34",-2.14056704721858,-0.381614355107163,0.895025038515061,1,1,1,0.0323089685578997,0.70274743484177,0.370773703438465," g__Clavulina"
"ASV347",-0.030762488024901,0.32646638595748,-0.515044059627126,1,1,1,0.975458956471107,0.744071517450112,0.606522231891087," g__Membranomyces"
"ASV37",-3.47246042618892,-0.747817267394528,0.892180389312098,0.0350683505815848,1,1,0.000515711037964483,0.454570385316474,0.372296251718682," g__Tylospora"
