"","Treatment W","Treatment q","Treatment p","Taxa"
"ASV1",-0.475164444716089,1,0.6346697674632," g__Purpureocillium"
"ASV10",0.428411550254172,1,0.668351516962991," g__Russula"
"ASV1016",-1.78110043532552,1,0.0748960446477862," g__Xylodon"
"ASV1025",0.517907576584063,1,0.604522755511494," g__Pseudeurotium"
"ASV1037",0.0869581408732784,1,0.930704784761388," g__Entocybe"
"ASV1038",-3.80020536037347,0.0166262659860911,0.00014457622596601," g__Aspicilia"
"ASV1069",-2.55372823679796,1,0.0106576403851664," g__Malassezia"
"ASV107",5.13476598247486,3.47469232659804e-05,2.82495311105531e-07," g__Hebeloma"
"ASV1077",-1.67086740265114,1,0.094747871434788," g__Krasilnikovozyma"
"ASV1079",-1.24459942817403,1,0.213279030683132," g__Tolypocladium"
"ASV1095",-0.24131716141614,1,0.80930931097877," g__Ropalospora"
"ASV1096",0.34925995291517,1,0.726894160581678," g__Mucor"
"ASV1109",-0.844307064893993,1,0.398497839239236," f__Hyponectriaceae"
"ASV1118",-0.129424436665798,1,0.897021812629805," o__Hymenochaetales"
"ASV112",-4.91265323784609,0.000109619571664251,8.98521079215175e-07," g__Galerina"
"ASV1134",-1.7747021007747,1,0.0759470882779303," g__Coniophora"
"ASV120",-1.67426630158917,1,0.0940782741986241," g__Tylopilus"
"ASV1205",1.19594318610303,1,0.231718730745734," g__Pseudocamaropycnis"
"ASV121",2.71840852530768,0.682206626804866,0.00655967910389294," g__Umbelopsis"
"ASV1210",-2.6423651844258,0.839758187758433,0.0082329234093964," f__Helotiales_fam_Incertae_sedis"
"ASV1264",-1.01655958456154,1,0.309362988665863," g__Ganoderma"
"ASV1300",-2.01911199784671,1,0.0434755801198918," o__Capnodiales"
"ASV148",-1.9733158523756,1,0.0484595879407806," g__Trechispora"
"ASV1491",-0.831082498897024,1,0.405927025711086," c__GS27"
"ASV15",-0.981008661928391,1,0.326588470066911," f__Hyaloscyphaceae"
"ASV1508",0.163603146149467,1,0.870043567811597," o__Pleosporales"
"ASV151",0.713853757840069,1,0.475317614035846," g__Lecanicillium"
"ASV16",-0.275674622555276,1,0.78279798886789," g__Sebacina"
"ASV165",0.171647018793554,1,0.863715040338872," o__Agaricales"
"ASV1653",-1.04828363028649,1,0.294507949355388," g__Pseudohyphozyma"
"ASV166",0.639403207639635,1,0.522560662819522," g__Mycena"
"ASV178",0.864412982763595,1,0.387361063448648," g__Thelephora"
"ASV18",-1.59507489011667,1,0.110695489803028," o__Helotiales"
"ASV185",2.36140730296165,1,0.0182057227662906," g__Trichoderma"
"ASV19",-0.839078497184194,1,0.401425261690926," g__Lactarius"
"ASV193",-1.44623498978151,1,0.148111302847899," o__Leucosporidiales"
"ASV2",-1.45156484674692,1,0.146622639159636," g__Piloderma"
"ASV202",0.692487027880238,1,0.488631529547659," g__Xenasmatella"
"ASV213",12.2644900073369,1.75617574895832e-32,1.40494059916666e-34," g__Apodus"
"ASV223",0.129683835186512,1,0.896816572208939," g__Tomentellopsis"
"ASV227",3.97833331054935,0.00805040454881373,6.94000392139115e-05," g__Apiotrichum"
"ASV239",-2.09290322443093,1,0.0363577943604575," p__Basidiomycota"
"ASV25",-0.00828077719830867,1,0.993392971230834," g__Cenococcum"
"ASV252",-1.52925078289333,1,0.126202285640473," o__Hypocreales"
"ASV259",-2.10269839185189,1,0.0354921427329071," g__Metapochonia"
"ASV283",-1.938393517504,1,0.052575230708101," p__Chytridiomycota"
"ASV29",-3.29775242735721,0.108182849147756,0.000974620262592394," g__Tricholoma"
"ASV290",-0.181162750435179,1,0.856239831617207," g__Pseudotomentella"
"ASV291",1.06562168979266,1,0.286594690345013," g__Penicillium"
"ASV299",1.44254343690423,1,0.149149127008023," g__Hydnotrya"
"ASV3",-1.8158382810752,1,0.0693951831351099," g__Amanita"
"ASV313",-0.822715893013477,1,0.410669575292085," f__Clavariaceae"
"ASV315",1.61889938108672,1,0.105468914075747," g__Elaphomyces"
"ASV318",-3.10793054861215,0.205358547282775,0.00188402336956675," g__Leptobacillium"
"ASV319",0.133225459770426,1,0.894015076334299," g__Hygrophorus"
"ASV336",-0.406625994133668,1,0.684282702513649," g__Tomentella"
"ASV338",5.564864187869,3.25322258296085e-06,2.62356659916198e-08," o__Sebacinales"
"ASV34",2.37234543139822,1,0.0176755570094486," g__Clavulina"
"ASV353",0.185541390248823,1,0.852804419082726," g__Spencermartinsiella"
"ASV360",0.583800547727484,1,0.559354509707533," g__Cladophialophora"
"ASV37",1.91239361836073,1,0.0558257259175098," g__Tylospora"
"ASV393",-0.269548727209925,1,0.78750745032837," o__Tremellales"
"ASV396",-0.994554517672477,1,0.319952977660817," g__Entoloma"
"ASV4",-1.33083938369456,1,0.183241865986599," g__Cortinarius"
"ASV41",-1.9240485571227,1,0.054348497323342," f__Clavulinaceae"
"ASV412",-1.28402860170302,1,0.199131947983141," g__Peniophorella"
"ASV424",2.75552332539399,0.62114225755242,0.00585983261841906," f__Herpotrichiellaceae"
"ASV444",0.392282522987788,1,0.694849475530225," g__Solicoccozyma"
"ASV449",0.284597805038436,1,0.775952293067127," p__Mucoromycota"
"ASV460",0.440769703783282,1,0.659379728587087," g__Saitozyma"
"ASV461",-3.05770655060492,0.238650522833209,0.00223037871806737," g__Meliniomyces"
"ASV469",-3.09236818284149,0.21445171156954,0.00198566399601426," o__GS20"
"ASV474",-0.896371206632205,1,0.370054540124225," g__Mucronella"
"ASV483",4.22483873047799,0.00282152098062912,2.39111947510943e-05," o__Tremellodendropsidales"
"ASV494",-2.32408253854113,1,0.0201210707229751," o__Chaetothyriales"
"ASV51",1.02137332466815,1,0.307077598598902," f__Tricholomataceae"
"ASV512",-1.77859930774936,1,0.0753054776861494," f__Mortierellaceae"
"ASV542",-0.976631254361374,1,0.328751740201754," g__Porosphaerella"
"ASV550",-4.28991085765695,0.00212706370758301,1.78744849376723e-05," f__Clavicipitaceae"
"ASV563",2.72839603261259,0.668253061964524,0.00636431487585261," g__Lachnellula"
"ASV58",-0.127783512098903,1,0.898320298524365," g__Byssocorticium"
"ASV582",-1.72786448244577,1,0.0840125233708374," c__Cystobasidiomycetes"
"ASV589",1.51138955218025,1,0.130689229677226," g__Stachybotrys"
"ASV595",-0.537936490030561,1,0.590620895343022," g__Sugiyamaella"
"ASV6",-2.11423525306799,1,0.0344951792955726," c__Agaricomycetes"
"ASV607",-4.69353270559124,0.000324917714195069,2.6852703652485e-06," o__GS21"
"ASV614",-3.57741368028139,0.0392122158013553,0.00034701075930403," g__Botryobasidium"
"ASV626",-1.09261717425102,1,0.274561918950725,"k__Fungi"
"ASV631",-3.58840349490131,0.0379288376362801,0.000332709102072632," g__Talaromyces"
"ASV636",-0.32655283652698,1,0.744006120397936," g__Mytilinidion"
"ASV64",-1.1524888596624,1,0.249120244991916," g__Imleria"
"ASV646",-2.7138700464166,0.684973157634762,0.00665022483140546," g__Nectriopsis"
"ASV655",0.541383685565802,1,0.588243149763267," g__Ascocorticium"
"ASV656",0.463941920081266,1,0.64268935786048," g__Phialea"
"ASV660",-0.414395958464539,1,0.678584148284424," o__Eurotiales"
"ASV668",-4.01909196276915,0.00683547530447322,5.84228658501985e-05," o__GS22"
"ASV671",1.97766388852296,1,0.0479666366431394," g__Leptodontidium"
"ASV674",0.454624241544858,1,0.649379591735322," f__Mycenaceae"
"ASV679",-1.03081483574641,1,0.30262765975921," o__Sordariales"
"ASV681",1.87829038011879,1,0.060341451840518," f__Lyophyllaceae"
"ASV7",-2.56140594733886,1,0.0104249464011733," f__Hydnaceae"
"ASV704",-1.42784764676686,1,0.153335715206," g__Hyaloscypha"
"ASV71",-1.23622434429103,1,0.216375184049062," p__Ascomycota"
"ASV8",0.772308210830103,1,0.439931903488308," g__Lactifluus"
"ASV817",-2.21208910789116,1,0.0269605085722749," o__Sporidiobolales"
"ASV831",-0.692664865255647,1,0.4885198931169," f__Nectriaceae"
"ASV833",-1.56858822501157,1,0.116743917902028," g__Glaciozyma"
"ASV85",0.518546956165371,1,0.604076707236054," g__Laccaria"
"ASV850",-4.34023161934676,0.00170799132035026,1.42332610029189e-05," g__Ramicandelaber"
"ASV860",-0.421357025704162,1,0.673494394783916," g__Metacordyceps"
"ASV861",-3.12075311210347,0.198428120115457,0.00180389200104961," g__Sistotremastrum"
"ASV886",-0.710227339775689,1,0.47756316948709," o__Cantharellales"
"ASV888",-0.302827966260793,1,0.762020969520444," g__Phenoliferia"
"ASV89",-1.41747530707229,1,0.15634400883327," g__Leotia"
"ASV899",-0.498426806775384,1,0.618183246352144," g__Volutella"
"ASV9",0.147035078295743,1,0.883104332734462," g__Sistotrema"
"ASV905",1.45309047218638,1,0.146198636101029," f__Cordycipitaceae"
"ASV908",-1.1394867253126,1,0.254500201921962," g__Hyphodiscus"
"ASV910",-1.03225007178361,1,0.301954983850347," f__Entolomataceae"
"ASV919",-2.40115796018782,1,0.0163432799126969," g__Rhizosphaera"
"ASV932",0.78012940021284,1,0.435314712748374," g__Hirsutella"
"ASV945",-1.46903540267564,1,0.141823187049333," g__Cladosporium"
"ASV95",-3.42405354608191,0.0690977991259309,0.000616944635052955," g__Mortierella"
"ASV951",1.29094335993386,1,0.196723318555297," g__Lophium"
"ASV992",1.18727272819219,1,0.235120061678708," f__Chaetosphaeriaceae"
