"","Treatment W","Time_Point W","Treatment_w_Time_Point W","Treatment q","Time_Point q","Treatment_w_Time_Point q","Treatment p","Time_Point p","Treatment_w_Time_Point p","Taxa"
"ASV1",-0.088535321092186,-1.53062723310737,-0.0645181661743208,1,1,1,0.929451212379036,0.125861547173326,0.948557642730756," g__Purpureocillium"
"ASV10",0.0171547940481536,-0.528383917938655,0.495243785964533,1,1,1,0.986313125999939,0.597232897271843,0.620428046194083," g__Russula"
"ASV1016",-0.277204140935006,0.785443630461717,-0.788769677535513,1,1,1,0.781623360173599,0.432193508193752,0.430246635061676," g__Xylodon"
"ASV1025",0.150229855840711,-1.03110332689037,0.769526251932979,1,1,1,0.880583271630848,0.302492367851621,0.441580966321269," g__Pseudeurotium"
"ASV1037",1.18209044034332,0.73533832968779,-1.07590427670043,1,1,1,0.237169817140732,0.462133470130481,0.281970069062083," g__Entocybe"
"ASV1038",-2.98412014623616,-1.45849017389546,1.73257638573947,0.341274090871866,1,1,0.00284395075726555,0.1447054816134,0.0831709894539465," g__Aspicilia"
"ASV1069",-1.78770906638089,-0.335792342040014,1.03737255418561,1,1,1,0.073822958234405,0.73702746538377,0.29956226416233," g__Malassezia"
"ASV107",3.08973652738918,0.639792115196517,0.0940644717404844,0.242404287900414,1,1,0.00200334122231747,0.522307759385596,0.925057942651348," g__Hebeloma"
"ASV1077",-1.8453232210966,-0.945158961163833,1.83331610755092,1,1,1,0.064990534524208,0.344577727513961,0.0667555753459294," g__Krasilnikovozyma"
"ASV1079",-2.50220778497689,-2.30581399729689,2.46040052749403,1,1,1,0.0123421464808554,0.0211210277659532,0.0138782037718663," g__Tolypocladium"
"ASV1095",-0.60751604627936,1.21320615548204,1.02180159368539,1,1,1,0.54350849697422,0.225051011311432,0.306874814933646," g__Ropalospora"
"ASV1096",0.61141902679296,0.966462163813192,0.502280458270986,1,1,1,0.540922209590241,0.333812970940735,0.615470253378111," g__Mucor"
"ASV1109",0.221302039764232,2.34945510888683,-0.294687511954087,1,1,1,0.824857261854484,0.0188009110391773,0.768232603794413," f__Hyponectriaceae"
"ASV1118",0.0834202007240323,1.14713375093386,0.371339728269883,1,1,1,0.933517426637875,0.251326346691451,0.71038451103618," o__Hymenochaetales"
"ASV112",-2.62367579980357,-1.00911526308423,-0.0866493310844374,1,1,1,0.0086986540804304,0.312919358828327,0.930950252791796," g__Galerina"
"ASV1134",0.272975829438405,1.2915278661013,-1.07884461259991,1,1,1,0.78487179552084,0.196520698761651,0.280657003293198," g__Coniophora"
"ASV120",-0.333807041995676,0.495193954377669,-0.754787192607224,1,1,1,0.738525169195702,0.620463217720264,0.450376679692695," g__Tylopilus"
"ASV1205",-0.60751604627936,-0.428393509750648,2.6418438125452,1,1,0.981227240719664,0.543508496974221,0.668364649116762,0.00824560706487113," g__Pseudocamaropycnis"
"ASV121",1.11063087226532,-0.715261441700011,1.34990817800233,1,1,1,0.266727268509169,0.474447509547949,0.177045438135375," g__Umbelopsis"
"ASV1210",-1.89829999064974,-0.622232511300997,1.08262635042732,1,1,1,0.0576565752102093,0.533788991089975,0.278974306393666," f__Helotiales_fam_Incertae_sedis"
"ASV1264",-2.3917624156501,-1.37488093316125,2.56161205136083,1,1,1,0.0167676925772137,0.169168361365273,0.0104187626474685," g__Ganoderma"
