"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1"," g__Purpureocillium",Inf,TRUE,TRUE,TRUE,TRUE
"2"," g__Piloderma",0,FALSE,FALSE,FALSE,FALSE
"3"," g__Amanita",0,FALSE,FALSE,FALSE,FALSE
"4"," g__Cortinarius",0,FALSE,FALSE,FALSE,FALSE
"5"," c__Agaricomycetes",0,FALSE,FALSE,FALSE,FALSE
"6"," f__Hydnaceae",Inf,TRUE,TRUE,TRUE,TRUE
"7"," g__Lactifluus",3,FALSE,FALSE,FALSE,FALSE
"8"," g__Sistotrema",17,FALSE,FALSE,FALSE,FALSE
"9"," g__Russula",0,FALSE,FALSE,FALSE,FALSE
"10"," f__Hyaloscyphaceae",0,FALSE,FALSE,FALSE,FALSE
"11"," g__Sebacina",0,FALSE,FALSE,FALSE,FALSE
"12"," o__Helotiales",1,FALSE,FALSE,FALSE,FALSE
"13"," g__Lactarius",1,FALSE,FALSE,FALSE,FALSE
"14"," g__Cenococcum",0,FALSE,FALSE,FALSE,FALSE
"15"," g__Tricholoma",0,FALSE,FALSE,FALSE,FALSE
"16"," g__Inocybe",0,FALSE,FALSE,FALSE,FALSE
"17"," g__Clavulina",1,FALSE,FALSE,FALSE,FALSE
"18"," g__Tylospora",Inf,TRUE,TRUE,TRUE,TRUE
"19"," f__Clavulinaceae",1,FALSE,FALSE,FALSE,FALSE
"20"," g__Clavaria",Inf,TRUE,TRUE,TRUE,TRUE
"21"," g__Butyriboletus",0,FALSE,FALSE,FALSE,FALSE
"22"," g__Imleria",Inf,TRUE,TRUE,TRUE,TRUE
"23"," p__Ascomycota",0,FALSE,FALSE,FALSE,FALSE
"24"," g__Amphinema",0,FALSE,FALSE,FALSE,FALSE
"25"," g__Laccaria",0,FALSE,FALSE,FALSE,FALSE
"26"," g__Mortierella",3,FALSE,FALSE,FALSE,FALSE
"27"," g__Hebeloma",Inf,TRUE,TRUE,TRUE,TRUE
"28"," g__Tylopilus",0,FALSE,FALSE,FALSE,FALSE
"29"," g__Umbelopsis",0,FALSE,FALSE,FALSE,FALSE
"30"," g__Wilcoxina",27,FALSE,FALSE,FALSE,TRUE
"31"," o__GS25",0,FALSE,FALSE,FALSE,FALSE
"32"," g__Lecanicillium",0,FALSE,FALSE,FALSE,FALSE
"33"," o__Agaricales",1,FALSE,FALSE,FALSE,FALSE
"34"," g__Mycena",1,FALSE,FALSE,FALSE,FALSE
"35"," g__Thelephora",2,FALSE,FALSE,FALSE,FALSE
"36"," g__Trichoderma",Inf,TRUE,TRUE,TRUE,TRUE
"37"," o__Leucosporidiales",Inf,TRUE,TRUE,TRUE,TRUE
"38"," o__Atheliales",Inf,TRUE,TRUE,TRUE,TRUE
"39"," f__Inocybaceae",Inf,TRUE,TRUE,TRUE,TRUE
"40"," g__Apodus",Inf,TRUE,TRUE,TRUE,TRUE
"41"," g__Tomentellopsis",Inf,TRUE,TRUE,TRUE,TRUE
"42"," p__Basidiomycota",3,FALSE,FALSE,FALSE,FALSE
"43"," o__Hypocreales",0,FALSE,FALSE,FALSE,FALSE
"44"," g__Hydnotrya",0,FALSE,FALSE,FALSE,FALSE
"45"," g__Elaphomyces",Inf,TRUE,TRUE,TRUE,TRUE
"46"," g__Suillellus",Inf,TRUE,TRUE,TRUE,TRUE
"47"," g__Membranomyces",Inf,TRUE,TRUE,TRUE,TRUE
"48"," o__Tremellales",Inf,TRUE,TRUE,TRUE,TRUE
"49"," g__Entoloma",Inf,TRUE,TRUE,TRUE,TRUE
"50"," g__Xerocomus",0,FALSE,FALSE,FALSE,FALSE
"51"," g__Hygrocybe",Inf,TRUE,TRUE,TRUE,TRUE
"52"," g__Solicoccozyma",0,FALSE,FALSE,FALSE,FALSE
"53"," g__Sagenomella",Inf,TRUE,TRUE,TRUE,TRUE
"54"," o__Saccharomycetales",0,FALSE,FALSE,FALSE,FALSE
"55"," o__Tremellodendropsidales",Inf,TRUE,TRUE,TRUE,TRUE
"56"," c__Leotiomycetes",0,FALSE,FALSE,FALSE,FALSE
"57"," g__Microglossum",Inf,TRUE,TRUE,TRUE,TRUE
"58"," g__Humicolopsis",11,FALSE,FALSE,FALSE,FALSE
"59","k__Fungi",0,FALSE,FALSE,FALSE,FALSE
"60"," g__Phialea",Inf,TRUE,TRUE,TRUE,TRUE
"61"," o__GS22",Inf,TRUE,TRUE,TRUE,TRUE
"62"," o__Sordariales",0,FALSE,FALSE,FALSE,FALSE
"63"," g__Hyaloscypha",0,FALSE,FALSE,FALSE,FALSE
"64"," g__Rhizopogon",Inf,TRUE,TRUE,TRUE,TRUE
"65"," f__Pseudeurotiaceae",Inf,TRUE,TRUE,TRUE,TRUE
"66"," g__Rhizosphaera",Inf,TRUE,TRUE,TRUE,TRUE
"67"," g__Gyoerffyella",0,FALSE,FALSE,FALSE,FALSE
"68"," g__Calcarisporiella",Inf,TRUE,TRUE,TRUE,TRUE
