"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1"," g__Purpureocillium",Inf,TRUE,TRUE,TRUE,TRUE
"2"," g__Piloderma",0,FALSE,FALSE,FALSE,FALSE
"3"," g__Amanita",1,FALSE,FALSE,FALSE,FALSE
"4"," g__Cortinarius",1,FALSE,FALSE,FALSE,FALSE
"5"," c__Agaricomycetes",1,FALSE,FALSE,FALSE,FALSE
"6"," f__Hydnaceae",Inf,TRUE,TRUE,TRUE,TRUE
"7"," g__Lactifluus",3,FALSE,FALSE,FALSE,FALSE
"8"," g__Sistotrema",0,FALSE,FALSE,FALSE,FALSE
"9"," g__Russula",1,FALSE,FALSE,FALSE,FALSE
"10"," f__Hyaloscyphaceae",1,FALSE,FALSE,FALSE,FALSE
"11"," g__Sebacina",1,FALSE,FALSE,FALSE,FALSE
"12"," o__Helotiales",1,FALSE,FALSE,FALSE,FALSE
"13"," g__Lactarius",0,FALSE,FALSE,FALSE,FALSE
"14"," g__Cenococcum",0,FALSE,FALSE,FALSE,FALSE
"15"," g__Tricholoma",Inf,TRUE,TRUE,TRUE,TRUE
"16"," g__Clavulina",Inf,TRUE,TRUE,TRUE,TRUE
"17"," g__Tylospora",Inf,TRUE,TRUE,TRUE,TRUE
"18"," f__Clavulinaceae",1,FALSE,FALSE,FALSE,FALSE
"19"," f__Tricholomataceae",1,FALSE,FALSE,FALSE,FALSE
"20"," g__Byssocorticium",0,FALSE,FALSE,FALSE,FALSE
"21"," g__Imleria",1,FALSE,FALSE,FALSE,FALSE
"22"," p__Ascomycota",1,FALSE,FALSE,FALSE,FALSE
"23"," g__Laccaria",Inf,TRUE,TRUE,TRUE,TRUE
"24"," g__Leotia",Inf,TRUE,TRUE,TRUE,TRUE
"25"," g__Mortierella",5,FALSE,FALSE,FALSE,FALSE
"26"," g__Hebeloma",67,TRUE,TRUE,TRUE,TRUE
"27"," g__Galerina",63,TRUE,TRUE,TRUE,TRUE
"28"," g__Tylopilus",2,FALSE,FALSE,FALSE,FALSE
"29"," g__Umbelopsis",36,FALSE,FALSE,FALSE,FALSE
"30"," g__Trechispora",3,FALSE,FALSE,FALSE,FALSE
"31"," g__Lecanicillium",3,FALSE,FALSE,FALSE,FALSE
"32"," o__Agaricales",1,FALSE,FALSE,FALSE,FALSE
"33"," g__Mycena",1,FALSE,FALSE,FALSE,FALSE
"34"," g__Thelephora",Inf,TRUE,TRUE,TRUE,TRUE
"35"," g__Trichoderma",36,FALSE,FALSE,FALSE,FALSE
"36"," o__Leucosporidiales",1,FALSE,FALSE,FALSE,FALSE
"37"," g__Xenasmatella",Inf,TRUE,TRUE,TRUE,TRUE
"38"," g__Apodus",Inf,TRUE,TRUE,TRUE,TRUE
"39"," g__Tomentellopsis",0,FALSE,FALSE,FALSE,FALSE
"40"," g__Apiotrichum",Inf,TRUE,TRUE,TRUE,TRUE
"41"," p__Basidiomycota",1,FALSE,FALSE,FALSE,FALSE
"42"," o__Hypocreales",4,FALSE,FALSE,FALSE,FALSE
"43"," g__Metapochonia",3,FALSE,FALSE,FALSE,FALSE
"44"," p__Chytridiomycota",2,FALSE,FALSE,FALSE,FALSE
"45"," g__Pseudotomentella",Inf,TRUE,TRUE,TRUE,TRUE
