SampleID,Type,Location ,Treatment ,Location_Treatment,Soil_Horizon,Treatment_Location_Horizon,Treatment_Horizon,Sample_within_site,Season
DNA1,Water,Downstream_noplume,,NA,NA,NA,NA,NA,Fall
DNA2,Water,Downstream_plume,,NA,NA,NA,NA,NA,Fall
DNA3,Water,Upstream,,NA,NA,NA,NA,NA,Fall
DNA4,Water,Downstream_4K,,NA,NA,NA,NA,NA,Fall
DNA5,Water,NA,NA,NA,NA,NA,NA,NA,Fall
DNA6,Lime,NA,NA,NA,NA,NA,NA,NA,Fall
DNA7,Soil,Site3,Control,Control_Site3,Upper Forest Floor,Control_Site3_Upper Forest Floor,Control Upper Forest Floor,Sample1,Fall
DNA8,Soil,Site3,Control,Control_Site3,Lower Forest Floor ,Control_Site3_Lower Forest Floor,Control Lower Forest Floor ,Sample1,Fall
DNA9,Soil,Site3,Control,Control_Site3,Upper B Horizon,Control_Site3_Upper B Horizon,Control Upper B Horizon,Sample1,Fall
DNA10,Soil,Site4,Control,Control_Site4,Upper Forest Floor,Control_Site4_Upper Forest Floor,Control Upper Forest Floor,Sample2,Fall
DNA11,Soil,Site4,Control,Control_Site4,Lower Forest Floor ,Control_Site4_Lower Forest Floor,Control Lower Forest Floor ,Sample2,Fall
DNA12,Soil,Site4,Control,Control_Site4,Upper B Horizon,Control_Site4_Upper B Horizon,Control Upper B Horizon,Sample2,Fall
DNA13,Soil,Site4,Treatment ,Treatment_Site4,Upper Forest Floor,Treatment_Site4_Upper Forest Floor,Treatment  Upper Forest Floor,Sample2,Fall
DNA14,Soil,Site4,Treatment ,Treatment_Site4,Lower Forest Floor ,Treatment_Site4_Lower Forest Floor,Treatment  Lower Forest Floor ,Sample2,Fall
DNA15,Soil,Site4,Treatment ,Treatment_Site4,Upper B Horizon,Treatment_Site4_Upper B Horizon,Treatment  Upper B Horizon,Sample2,Fall
DNA16,Soil,Site4,Treatment ,Treatment_Site5,Upper Forest Floor,Treatment_Site5_Upper Forest Floor,Treatment  Upper Forest Floor,Sample2,Fall
DNA17,Soil,Site4,Treatment ,Treatment_Site5,Lower Forest Floor ,Treatment_Site5_Lower Forest Floor,Treatment  Lower Forest Floor ,Sample2,Fall
DNA18,Soil,Site4,Treatment ,Treatment_Site5,Upper B Horizon,Treatment_Site5_Upper B Horizon,Treatment  Upper B Horizon,Sample2,Fall
DNA19,Soil,Site2,Control,Control_Site2,Upper Forest Floor,Control_Site2_Upper Forest Floor,Control Upper Forest Floor,Sample2,Fall
DNA20,Soil,Site2,Control,Control_Site2,Lower Forest Floor ,Control_Site2_Lower Forest Floor,Control Lower Forest Floor ,Sample2,Fall
DNA21,Soil,Site2,Control,Control_Site2,Upper B Horizon,Control_Site2_Upper B Horizon,Control Upper B Horizon,Sample2,Fall
DNA22,Soil,Site4,Control,Control_Site4,Upper Forest Floor,Control_Site4_Upper Forest Floor,Control Upper Forest Floor,Sample1,Fall
DNA23,Soil,Site4,Control,Control_Site4,Lower Forest Floor ,Control_Site4_Lower Forest Floor,Control Lower Forest Floor ,Sample1,Fall
DNA24,Soil,Site4,Control,Control_Site4,Upper B Horizon,Control_Site4_Upper B Horizon,Control Upper B Horizon,Sample1,Fall
DNA25,Soil,Site2,Treatment ,Treatment_Site2,Upper Forest Floor,Treatment_Site2_Upper Forest Floor,Treatment  Upper Forest Floor,Sample2,Fall
DNA26,Soil,Site2,Treatment ,Treatment_Site2,Lower Forest Floor ,Treatment_Site2_Lower Forest Floor,Treatment  Lower Forest Floor ,Sample2,Fall
DNA27,Soil,Site2,Treatment ,Treatment_Site2,Upper B Horizon,Treatment_Site2_Upper B Horizon,Treatment  Upper B Horizon,Sample2,Fall
DNA28,Soil,Site4,Treatment ,Treatment_Site4,Upper Forest Floor,Treatment_Site4_Upper Forest Floor,Treatment  Upper Forest Floor,Sample1,Fall
DNA29,Soil,Site4,Treatment ,Treatment_Site4,Lower Forest Floor ,Treatment_Site4_Lower Forest Floor,Treatment  Lower Forest Floor ,Sample1,Fall
DNA30,Soil,Site4,Treatment ,Treatment_Site4,Upper B Horizon,Treatment_Site4_Upper B Horizon,Treatment  Upper B Horizon,Sample1,Fall
DNA31,Soil,Site1,Control,Control_Site1,Upper Forest Floor,Control_Site1_Upper Forest Floor,Control Upper Forest Floor,Sample1,Fall
DNA32,Soil,Site1,Control,Control_Site1,Lower Forest Floor ,Control_Site1_Lower Forest Floor,Control Lower Forest Floor ,Sample1,Fall
DNA33,Soil,Site1,Control,Control_Site1,Upper B Horizon,Control_Site1_Upper B Horizon,Control Upper B Horizon,Sample1,Fall
DNA34,Soil,Site3,Control,Control_Site3,Upper Forest Floor,Control_Site3_Upper Forest Floor,Control Upper Forest Floor,Sample2,Fall
DNA35,Soil,Site3,Control,Control_Site3,Lower Forest Floor ,Control_Site3_Lower Forest Floor,Control Lower Forest Floor ,Sample2,Fall
DNA36,Soil,Site3,Control,Control_Site3,Upper B Horizon,Control_Site3_Upper B Horizon,Control Upper B Horizon,Sample2,Fall
DNA37,Soil,Site1,Treatment ,Treatment_Site1,Upper Forest Floor,Treatment_Site1_Upper Forest Floor,Treatment  Upper Forest Floor,Sample2,Fall
