"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1"," c__Thermoplasmata",19,FALSE,FALSE,FALSE,FALSE
"2"," g__Group_1.1c",39,FALSE,FALSE,FALSE,FALSE
"3"," g__Nitrosotaleaceae",Inf,TRUE,TRUE,TRUE,TRUE
"4"," f__Neisseriaceae",50,FALSE,FALSE,FALSE,FALSE
"5"," f__Oxalobacteraceae",80,FALSE,FALSE,FALSE,FALSE
"6"," g__Massilia",Inf,TRUE,TRUE,TRUE,TRUE
"7"," g__Ellin6067",Inf,TRUE,TRUE,TRUE,TRUE
"8"," f__Nitrosomonadaceae",Inf,TRUE,TRUE,TRUE,TRUE
"9"," g__GOUTA6",Inf,TRUE,TRUE,TRUE,TRUE
"10"," g__A21b",Inf,TRUE,TRUE,TRUE,TRUE
"11"," g__IS-44",Inf,TRUE,TRUE,TRUE,TRUE
"12"," g__AAP99",Inf,TRUE,TRUE,TRUE,TRUE
"13"," g__MND1",Inf,TRUE,TRUE,TRUE,TRUE
"14"," g__TRA3-20",130,FALSE,FALSE,TRUE,TRUE
"15"," o__Burkholderiales",22,FALSE,FALSE,FALSE,FALSE
"16"," g__Burkholderia-Caballeronia-Paraburkholderia",48,FALSE,FALSE,FALSE,FALSE
"17"," g__Pandoraea",50,FALSE,FALSE,FALSE,FALSE
"18"," g__Polaromonas",Inf,TRUE,TRUE,TRUE,TRUE
"19"," g__Variovorax",Inf,TRUE,TRUE,TRUE,TRUE
"20"," g__Rhodoferax",Inf,TRUE,TRUE,TRUE,TRUE
"21"," f__Comamonadaceae",163,TRUE,TRUE,TRUE,TRUE
"22"," g__Undibacterium",Inf,TRUE,TRUE,TRUE,TRUE
"23"," g__Chitinimonas",43,FALSE,FALSE,FALSE,FALSE
"24"," g__PLTA13",Inf,TRUE,TRUE,TRUE,TRUE
"25"," g__Aquicella",97,FALSE,FALSE,FALSE,FALSE
"26"," f__Diplorickettsiaceae",55,FALSE,FALSE,FALSE,FALSE
"27"," g__Vampirovibrionales",44,FALSE,FALSE,FALSE,FALSE
"28"," g__Obscuribacteraceae",111,FALSE,FALSE,FALSE,TRUE
"29"," g__Candidatus_Obscuribacter",97,FALSE,FALSE,FALSE,FALSE
"30"," g__Sericytochromatia",Inf,TRUE,TRUE,TRUE,TRUE
"31"," g__Sphingomonas",Inf,TRUE,TRUE,TRUE,TRUE
"32"," f__Sphingomonadaceae",Inf,TRUE,TRUE,TRUE,TRUE
"33"," g__Plot4-2H12",Inf,TRUE,TRUE,TRUE,TRUE
"34"," g__Sphingopyxis",Inf,TRUE,TRUE,TRUE,TRUE
"35"," g__Novosphingobium",Inf,TRUE,TRUE,TRUE,TRUE
"36"," o__Rhodospirillales",86,FALSE,FALSE,FALSE,FALSE
"37"," g__Dongia",Inf,TRUE,TRUE,TRUE,TRUE
"38"," g__Inquilinus",51,FALSE,FALSE,FALSE,FALSE
"39"," f__Elsteraceae",22,FALSE,FALSE,FALSE,FALSE
"40"," f__Azospirillaceae",Inf,TRUE,TRUE,TRUE,TRUE
"41"," g__Aliidongia",35,FALSE,FALSE,FALSE,FALSE
"42"," g__URHD0088",Inf,TRUE,TRUE,TRUE,TRUE
"43"," o__Elsterales",54,FALSE,FALSE,FALSE,FALSE
"44"," f__Reyranellaceae",Inf,TRUE,TRUE,TRUE,TRUE
"45"," g__Reyranella",129,FALSE,FALSE,TRUE,TRUE
"46"," f__Rhodospirillaceae",128,FALSE,FALSE,TRUE,TRUE
"47"," f__Magnetospirillaceae",54,FALSE,FALSE,FALSE,FALSE
"48"," g__Telmatospirillum",Inf,TRUE,TRUE,TRUE,TRUE
"49"," o__Zavarziniales",Inf,TRUE,TRUE,TRUE,TRUE
"50"," f__Magnetospiraceae",Inf,TRUE,TRUE,TRUE,TRUE
"51"," g__Acidocella",59,FALSE,FALSE,FALSE,FALSE
"52"," g__Roseococcus",Inf,TRUE,TRUE,TRUE,TRUE
"53"," g__Acidisoma",90,FALSE,FALSE,FALSE,FALSE
"54"," g__Rhodopila",Inf,TRUE,TRUE,TRUE,TRUE
"55"," g__Acetobacteraceae",30,FALSE,FALSE,FALSE,FALSE
"56"," g__Rhodovastum",131,FALSE,TRUE,TRUE,TRUE
"57"," f__Acetobacteraceae",65,FALSE,FALSE,FALSE,FALSE
"58"," g__Acidiphilium",Inf,TRUE,TRUE,TRUE,TRUE
"59"," g__Acidisphaera",33,FALSE,FALSE,FALSE,FALSE
"60"," f__Holosporaceae",Inf,TRUE,TRUE,TRUE,TRUE
"61"," g__Candidatus_Captivus",86,FALSE,FALSE,FALSE,FALSE
"62"," g__Candidatus_Paracaedibacter",72,FALSE,FALSE,FALSE,FALSE
"63"," f__Paracaedibacteraceae",Inf,TRUE,TRUE,TRUE,TRUE
"64"," g__Candidatus_Finniella",Inf,TRUE,TRUE,TRUE,TRUE
"65","d__Bacteria",128,FALSE,FALSE,TRUE,TRUE
"66"," g__Rickettsia",Inf,TRUE,TRUE,TRUE,TRUE
"67"," f__Rickettsiaceae",39,FALSE,FALSE,FALSE,FALSE
"68"," o__Rickettsiales",Inf,TRUE,TRUE,TRUE,TRUE
"69"," g__SM2D12",59,FALSE,FALSE,FALSE,FALSE
"70"," o__Micavibrionales",Inf,TRUE,TRUE,TRUE,TRUE
"71"," f__Micavibrionaceae",Inf,TRUE,TRUE,TRUE,TRUE
"72"," g__Rhodoplanes",Inf,TRUE,TRUE,TRUE,TRUE
"73"," f__Xanthobacteraceae",94,FALSE,FALSE,FALSE,FALSE
"74"," g__Pseudolabrys",Inf,TRUE,TRUE,TRUE,TRUE
"75"," g__Afipia",Inf,TRUE,TRUE,TRUE,TRUE
